threeday_yrmo,threeday_yr,year,dayofyear,vartemp2_C_0-4m
213,18,2015,53,8.5
214,18,2015,53,8.5
215,18,2015,53,8.5
216,18,2015,53,8.5
217,19,2015,56,8.6
218,19,2015,56,8.6
219,19,2015,56,8.6
220,19,2015,56,8.6
221,19,2015,56,8.6
222,19,2015,56,8.6
223,19,2015,56,8.6
224,19,2015,56,8.6
225,19,2015,56,8.6
226,19,2015,56,8.6
227,19,2015,56,8.6
228,19,2015,56,8.6
229,20,2015,59,8.5
230,20,2015,59,8.5
231,20,2015,59,8.5
232,20,2015,59,8.5
233,20,2015,59,8.5
234,20,2015,59,8.5
235,20,2015,59,8.5
236,20,2015,59,8.5
237,20,2015,59,8.5
238,20,2015,59,8.5
239,20,2015,59,8.5
240,20,2015,59,8.5
241,21,2015,62,8.5
242,21,2015,62,8.5
243,21,2015,62,8.5
244,21,2015,62,8.5
245,21,2015,62,8.5
246,21,2015,62,8.5
247,21,2015,62,8.5
248,21,2015,62,8.5
249,21,2015,62,8.5
250,21,2015,62,8.5
251,21,2015,62,8.5
252,21,2015,62,8.5
253,22,2015,65,8.5
254,22,2015,65,8.5
255,22,2015,65,8.5
256,22,2015,65,8.5
257,22,2015,65,8.5
258,22,2015,65,8.5
259,22,2015,65,8.5
260,22,2015,65,8.5
261,22,2015,65,8.5
262,22,2015,65,8.5
263,22,2015,65,8.5
264,22,2015,65,8.5
265,23,2015,68,8.7
266,23,2015,68,8.7
267,23,2015,68,8.7
268,23,2015,68,8.7
269,23,2015,68,8.7
270,23,2015,68,8.7
271,23,2015,68,8.7
272,23,2015,68,8.7
273,23,2015,68,8.7
274,23,2015,68,8.7
275,23,2015,68,8.7
276,23,2015,68,8.7
277,24,2015,71,8.9
278,24,2015,71,8.9
279,24,2015,71,8.9
280,24,2015,71,8.9
281,24,2015,71,8.9
282,24,2015,71,8.9
283,24,2015,71,8.9
284,24,2015,71,8.9
285,24,2015,71,8.9
286,24,2015,71,8.9
287,24,2015,71,8.9
288,24,2015,71,8.9
289,25,2015,74,9.0
290,25,2015,74,9.0
291,25,2015,74,9.0
292,25,2015,74,9.0
293,25,2015,74,9.0
294,25,2015,74,9.0
295,25,2015,74,9.0
296,25,2015,74,9.0
297,25,2015,74,9.0
298,25,2015,74,9.0
299,25,2015,74,9.0
300,25,2015,74,9.0
301,26,2015,77,9.0
302,26,2015,77,9.0
303,26,2015,77,9.0
304,26,2015,77,9.0
305,26,2015,77,9.0
306,26,2015,77,9.0
307,26,2015,77,9.0
308,26,2015,77,9.0
309,26,2015,77,9.0
310,26,2015,77,9.0
311,26,2015,77,9.0
312,26,2015,77,9.0
313,27,2015,80,9.0
314,27,2015,80,9.0
315,27,2015,80,9.0
316,27,2015,80,9.0
317,27,2015,80,9.0
318,27,2015,80,9.0
319,27,2015,80,9.0
320,27,2015,80,9.0
321,27,2015,80,9.0
322,27,2015,80,9.0
323,27,2015,80,9.0
324,27,2015,80,9.0
325,28,2015,83,9.1
326,28,2015,83,9.1
327,28,2015,83,9.1
328,28,2015,83,9.1
329,28,2015,83,9.1
330,28,2015,83,9.1
331,28,2015,83,9.1
332,28,2015,83,9.1
333,28,2015,83,9.1
334,28,2015,83,9.1
335,28,2015,83,9.1
336,28,2015,83,9.1
337,29,2015,86,9.2
338,29,2015,86,9.2
339,29,2015,86,9.2
340,29,2015,86,9.2
341,29,2015,86,9.2
342,29,2015,86,9.2
343,29,2015,86,9.2
344,29,2015,86,9.2
345,29,2015,86,9.2
346,29,2015,86,9.2
347,29,2015,86,9.2
348,29,2015,86,9.2
349,30,2015,89,9.4
350,30,2015,89,9.4
351,30,2015,89,9.4
352,30,2015,89,9.4
353,30,2015,89,9.4
354,30,2015,89,9.4
355,30,2015,89,9.4
356,30,2015,89,9.4
357,30,2015,89,9.4
358,30,2015,89,9.4
359,30,2015,89,9.4
360,30,2015,89,9.4
361,31,2015,92,9.5
362,31,2015,92,9.5
363,31,2015,92,9.5
364,31,2015,92,9.5
365,31,2015,92,9.5
366,31,2015,92,9.5
367,31,2015,92,9.5
368,31,2015,92,9.5
369,31,2015,92,9.5
370,31,2015,92,9.5
371,31,2015,92,9.5
372,31,2015,92,9.5
373,32,2015,95,9.5
374,32,2015,95,9.5
375,32,2015,95,9.5
376,32,2015,95,9.5
377,32,2015,95,9.5
378,32,2015,95,9.5
379,32,2015,95,9.5
380,32,2015,95,9.5
381,32,2015,95,9.5
382,32,2015,95,9.5
383,32,2015,95,9.5
384,32,2015,95,9.5
385,33,2015,98,9.7
386,33,2015,98,9.7
387,33,2015,98,9.7
388,33,2015,98,9.7
389,33,2015,98,9.7
390,33,2015,98,9.7
391,33,2015,98,9.7
392,33,2015,98,9.7
393,33,2015,98,9.7
394,33,2015,98,9.7
395,33,2015,98,9.7
396,33,2015,98,9.7
397,34,2015,101,9.9
398,34,2015,101,9.9
399,34,2015,101,9.9
400,34,2015,101,9.9
401,34,2015,101,9.9
402,34,2015,101,9.9
403,34,2015,101,9.9
404,34,2015,101,9.9
405,34,2015,101,9.9
406,34,2015,101,9.9
407,34,2015,101,9.9
408,34,2015,101,9.9
409,35,2015,104,9.7
410,35,2015,104,9.7
411,35,2015,104,9.7
412,35,2015,104,9.7
413,35,2015,104,9.7
414,35,2015,104,9.7
415,35,2015,104,9.7
416,35,2015,104,9.7
417,35,2015,104,9.7
418,35,2015,104,9.7
419,35,2015,104,9.7
420,35,2015,104,9.7
421,36,2015,107,9.9
422,36,2015,107,9.9
423,36,2015,107,9.9
424,36,2015,107,9.9
425,36,2015,107,9.9
426,36,2015,107,9.9
427,36,2015,107,9.9
428,36,2015,107,9.9
429,36,2015,107,9.9
430,36,2015,107,9.9
431,36,2015,107,9.9
432,36,2015,107,9.9
433,37,2015,110,10.2
434,37,2015,110,10.2
435,37,2015,110,10.2
436,37,2015,110,10.2
437,37,2015,110,10.2
438,37,2015,110,10.2
439,37,2015,110,10.2
440,37,2015,110,10.2
441,37,2015,110,10.2
442,37,2015,110,10.2
443,37,2015,110,10.2
444,37,2015,110,10.2
445,38,2015,113,10.3
446,38,2015,113,10.3
447,38,2015,113,10.3
448,38,2015,113,10.3
449,38,2015,113,10.3
450,38,2015,113,10.3
451,38,2015,113,10.3
452,38,2015,113,10.3
453,38,2015,113,10.3
454,38,2015,113,10.3
455,38,2015,113,10.3
456,38,2015,113,10.3
457,39,2015,116,10.3
458,39,2015,116,10.3
459,39,2015,116,10.3
460,39,2015,116,10.3
461,39,2015,116,10.3
462,39,2015,116,10.3
463,39,2015,116,10.3
464,39,2015,116,10.3
465,39,2015,116,10.3
466,39,2015,116,10.3
467,39,2015,116,10.3
468,39,2015,116,10.3
469,40,2015,119,10.5
470,40,2015,119,10.5
471,40,2015,119,10.5
472,40,2015,119,10.5
473,40,2015,119,10.5
474,40,2015,119,10.5
475,40,2015,119,10.5
476,40,2015,119,10.5
477,40,2015,119,10.5
478,40,2015,119,10.5
479,40,2015,119,10.5
480,40,2015,119,10.5
481,41,2015,122,10.8
482,41,2015,122,10.8
483,41,2015,122,10.8
484,41,2015,122,10.8
485,41,2015,122,10.8
486,41,2015,122,10.8
487,41,2015,122,10.8
488,41,2015,122,10.8
489,41,2015,122,10.8
490,41,2015,122,10.8
491,41,2015,122,10.8
492,41,2015,122,10.8
493,42,2015,125,11.0
494,42,2015,125,11.0
495,42,2015,125,11.0
496,42,2015,125,11.0
497,42,2015,125,11.0
498,42,2015,125,11.0
499,42,2015,125,11.0
500,42,2015,125,11.0
501,42,2015,125,11.0
502,42,2015,125,11.0
503,42,2015,125,11.0
504,42,2015,125,11.0
505,43,2015,128,11.2
506,43,2015,128,11.2
507,43,2015,128,11.2
508,43,2015,128,11.2
509,43,2015,128,11.2
510,43,2015,128,11.2
511,43,2015,128,11.2
512,43,2015,128,11.2
513,43,2015,128,11.2
514,43,2015,128,11.2
515,43,2015,128,11.2
516,43,2015,128,11.2
517,44,2015,131,11.5
518,44,2015,131,11.5
519,44,2015,131,11.5
520,44,2015,131,11.5
521,44,2015,131,11.5
522,44,2015,131,11.5
523,44,2015,131,11.5
524,44,2015,131,11.5
525,44,2015,131,11.5
526,44,2015,131,11.5
527,44,2015,131,11.5
