threeday_yrmo,threeday_yr,year,dayofyear,Ksal
1,1,2015,2,0.196
2,1,2015,2,0.196
3,1,2015,2,0.196
4,1,2015,2,0.196
5,1,2015,2,0.196
6,1,2015,2,0.196
7,1,2015,2,0.196
8,1,2015,2,0.196
9,1,2015,2,0.196
10,1,2015,2,0.196
11,1,2015,2,0.196
12,1,2015,2,0.196
13,2,2015,5,0.203
14,2,2015,5,0.203
15,2,2015,5,0.203
16,2,2015,5,0.203
17,2,2015,5,0.203
18,2,2015,5,0.203
19,2,2015,5,0.203
20,2,2015,5,0.203
21,2,2015,5,0.203
22,2,2015,5,0.203
23,2,2015,5,0.203
24,2,2015,5,0.203
25,3,2015,8,0.198
26,3,2015,8,0.198
27,3,2015,8,0.198
28,3,2015,8,0.198
29,3,2015,8,0.198
30,3,2015,8,0.198
31,3,2015,8,0.198
32,3,2015,8,0.198
33,3,2015,8,0.198
34,3,2015,8,0.198
35,3,2015,8,0.198
36,3,2015,8,0.198
37,4,2015,11,0.196
38,4,2015,11,0.196
39,4,2015,11,0.196
40,4,2015,11,0.196
41,4,2015,11,0.196
42,4,2015,11,0.196
43,4,2015,11,0.196
44,4,2015,11,0.196
45,4,2015,11,0.196
46,4,2015,11,0.196
47,4,2015,11,0.196
48,4,2015,11,0.196
49,5,2015,14,0.196
50,5,2015,14,0.196
51,5,2015,14,0.196
52,5,2015,14,0.196
53,5,2015,14,0.196
54,5,2015,14,0.196
55,5,2015,14,0.196
56,5,2015,14,0.196
57,5,2015,14,0.196
58,5,2015,14,0.196
59,5,2015,14,0.196
60,5,2015,14,0.196
61,6,2015,17,0.204
62,6,2015,17,0.204
63,6,2015,17,0.204
64,6,2015,17,0.204
65,6,2015,17,0.204
66,6,2015,17,0.204
67,6,2015,17,0.204
68,6,2015,17,0.204
69,6,2015,17,0.204
70,6,2015,17,0.204
71,6,2015,17,0.204
72,6,2015,17,0.204
73,7,2015,20,0.205
74,7,2015,20,0.205
75,7,2015,20,0.205
76,7,2015,20,0.205
77,7,2015,20,0.205
78,7,2015,20,0.205
79,7,2015,20,0.205
80,7,2015,20,0.205
81,7,2015,20,0.205
82,7,2015,20,0.205
83,7,2015,20,0.205
84,7,2015,20,0.205
85,8,2015,23,0.199
86,8,2015,23,0.199
87,8,2015,23,0.199
88,8,2015,23,0.199
89,8,2015,23,0.199
90,8,2015,23,0.199
91,8,2015,23,0.199
92,8,2015,23,0.199
93,8,2015,23,0.199
94,8,2015,23,0.199
95,8,2015,23,0.199
96,8,2015,23,0.199
97,9,2015,26,0.2
98,9,2015,26,0.2
99,9,2015,26,0.2
100,9,2015,26,0.2
101,9,2015,26,0.2
102,9,2015,26,0.2
103,9,2015,26,0.2
104,9,2015,26,0.2
105,9,2015,26,0.2
106,9,2015,26,0.2
107,9,2015,26,0.2
108,9,2015,26,0.2
109,10,2015,29,0.198
110,10,2015,29,0.198
111,10,2015,29,0.198
112,10,2015,29,0.198
113,10,2015,29,0.198
114,10,2015,29,0.198
115,10,2015,29,0.198
116,10,2015,29,0.198
