threeday_yrmo,threeday_yr,year,dayofyear,varupwelZ1_mmsec_4-12mAvg
197,17,2015,50,3e-05
198,17,2015,50,3e-05
199,17,2015,50,3e-05
200,17,2015,50,3e-05
201,17,2015,50,3e-05
202,17,2015,50,3e-05
203,17,2015,50,3e-05
204,17,2015,50,3e-05
205,18,2015,53,-3e-05
206,18,2015,53,-3e-05
207,18,2015,53,-3e-05
208,18,2015,53,-3e-05
209,18,2015,53,-3e-05
210,18,2015,53,-3e-05
211,18,2015,53,-3e-05
212,18,2015,53,-3e-05
213,18,2015,53,-3e-05
214,18,2015,53,-3e-05
215,18,2015,53,-3e-05
216,18,2015,53,-3e-05
217,19,2015,56,1e-05
218,19,2015,56,1e-05
219,19,2015,56,1e-05
220,19,2015,56,1e-05
221,19,2015,56,1e-05
222,19,2015,56,1e-05
223,19,2015,56,1e-05
224,19,2015,56,1e-05
225,19,2015,56,1e-05
226,19,2015,56,1e-05
227,19,2015,56,1e-05
228,19,2015,56,1e-05
229,20,2015,59,5e-05
230,20,2015,59,5e-05
231,20,2015,59,5e-05
232,20,2015,59,5e-05
233,20,2015,59,5e-05
234,20,2015,59,5e-05
235,20,2015,59,5e-05
236,20,2015,59,5e-05
237,20,2015,59,5e-05
238,20,2015,59,5e-05
239,20,2015,59,5e-05
240,20,2015,59,5e-05
241,21,2015,62,4e-05
242,21,2015,62,4e-05
243,21,2015,62,4e-05
244,21,2015,62,4e-05
245,21,2015,62,4e-05
246,21,2015,62,4e-05
247,21,2015,62,4e-05
248,21,2015,62,4e-05
249,21,2015,62,4e-05
250,21,2015,62,4e-05
251,21,2015,62,4e-05
252,21,2015,62,4e-05
253,22,2015,65,0.0
254,22,2015,65,0.0
255,22,2015,65,0.0
256,22,2015,65,0.0
257,22,2015,65,0.0
258,22,2015,65,0.0
259,22,2015,65,0.0
260,22,2015,65,0.0
261,22,2015,65,0.0
262,22,2015,65,0.0
263,22,2015,65,0.0
264,22,2015,65,0.0
265,23,2015,68,-1e-05
266,23,2015,68,-1e-05
267,23,2015,68,-1e-05
268,23,2015,68,-1e-05
269,23,2015,68,-1e-05
270,23,2015,68,-1e-05
271,23,2015,68,-1e-05
272,23,2015,68,-1e-05
273,23,2015,68,-1e-05
274,23,2015,68,-1e-05
275,23,2015,68,-1e-05
276,23,2015,68,-1e-05
277,24,2015,71,-3e-05
278,24,2015,71,-3e-05
279,24,2015,71,-3e-05
280,24,2015,71,-3e-05
281,24,2015,71,-3e-05
282,24,2015,71,-3e-05
283,24,2015,71,-3e-05
284,24,2015,71,-3e-05
285,24,2015,71,-3e-05
286,24,2015,71,-3e-05
287,24,2015,71,-3e-05
288,24,2015,71,-3e-05
289,25,2015,74,3e-05
290,25,2015,74,3e-05
291,25,2015,74,3e-05
292,25,2015,74,3e-05
293,25,2015,74,3e-05
294,25,2015,74,3e-05
295,25,2015,74,3e-05
296,25,2015,74,3e-05
297,25,2015,74,3e-05
298,25,2015,74,3e-05
299,25,2015,74,3e-05
300,25,2015,74,3e-05
301,26,2015,77,4e-05
302,26,2015,77,4e-05
303,26,2015,77,4e-05
304,26,2015,77,4e-05
305,26,2015,77,4e-05
306,26,2015,77,4e-05
307,26,2015,77,4e-05
308,26,2015,77,4e-05
309,26,2015,77,4e-05
310,26,2015,77,4e-05
311,26,2015,77,4e-05
312,26,2015,77,4e-05
313,27,2015,80,-4e-05
314,27,2015,80,-4e-05
315,27,2015,80,-4e-05
316,27,2015,80,-4e-05
317,27,2015,80,-4e-05
318,27,2015,80,-4e-05
319,27,2015,80,-4e-05
320,27,2015,80,-4e-05
321,27,2015,80,-4e-05
322,27,2015,80,-4e-05
323,27,2015,80,-4e-05
324,27,2015,80,-4e-05
325,28,2015,83,-5e-05
326,28,2015,83,-5e-05
327,28,2015,83,-5e-05
328,28,2015,83,-5e-05
329,28,2015,83,-5e-05
330,28,2015,83,-5e-05
331,28,2015,83,-5e-05
332,28,2015,83,-5e-05
333,28,2015,83,-5e-05
334,28,2015,83,-5e-05
335,28,2015,83,-5e-05
336,28,2015,83,-5e-05
337,29,2015,86,1e-05
338,29,2015,86,1e-05
339,29,2015,86,1e-05
340,29,2015,86,1e-05
341,29,2015,86,1e-05
