Year,Group,Season,Anomaly
1981,NK1-COH,Spring_Summer_Fall,-0.06463792487268716
1982,NK1-COH,Spring_Summer_Fall,-0.08018271104451458
1983,NK1-COH,Spring_Summer_Fall,-0.08458685597329207
1984,NK1-COH,Spring_Summer_Fall,-0.08213760385717706
1985,NK1-COH,Spring_Summer_Fall,-0.07031035490659132
1986,NK1-COH,Spring_Summer_Fall,-0.005937856282219656
1987,NK1-COH,Spring_Summer_Fall,0.053086050166545995
1988,NK1-COH,Spring_Summer_Fall,0.12855639521426898
1989,NK1-COH,Spring_Summer_Fall,-0.043471955950323604
1990,NK1-COH,Spring_Summer_Fall,0.009145334803648986
1991,NK1-COH,Spring_Summer_Fall,-0.07813204341112812
1992,NK1-COH,Spring_Summer_Fall,0.07336073859940395
1993,NK1-COH,Spring_Summer_Fall,0.13902652463529108
1994,NK1-COH,Spring_Summer_Fall,0.16419135303926513
1995,NK1-COH,Spring_Summer_Fall,0.11454874087046818
1996,NK1-COH,Spring_Summer_Fall,-0.006824899619176428
1997,NK1-COH,Spring_Summer_Fall,-0.140224364622914
1998,NK1-COH,Spring_Summer_Fall,-0.19799169250966298
1999,NK1-COH,Spring_Summer_Fall,-0.052287708013713186
2000,NK1-COH,Spring_Summer_Fall,-0.06840511356964285
2001,NK1-COH,Spring_Summer_Fall,0.04601768544615226
2002,NK1-COH,Spring_Summer_Fall,-0.010872073308290098
2003,NK1-COH,Spring_Summer_Fall,0.14334703283871786
2004,NK1-COH,Spring_Summer_Fall,0.20779413136672353
2005,NK1-COH,Spring_Summer_Fall,0.1309045404166227
2006,NK1-COH,Spring_Summer_Fall,0.004555446119598905
2007,NK1-COH,Spring_Summer_Fall,0.04776916804184683
2008,NK1-COH,Spring_Summer_Fall,-0.13020268011880187
2009,NK1-COH,Spring_Summer_Fall,-0.02748651550408976
2010,NK1-COH,Spring_Summer_Fall,0.06667104154278647
2011,NK1-COH,Spring_Summer_Fall,-0.035777454519396734
2012,NK1-COH,Spring_Summer_Fall,-0.25478167340784896
2013,NK1-COH,Spring_Summer_Fall,-0.18056867567537527
2014,NK1-COH,Spring_Summer_Fall,0.035388521477137225
2015,NK1-COH,Spring_Summer_Fall,0.12174910681595463
2016,NK1-COH,Spring_Summer_Fall,0.2008551502526803
2017,NK1-COH,Spring_Summer_Fall,-0.027035282011619977
2018,NK1-COH,Spring_Summer_Fall,0.011687631194900128
1980,NK2-CHI,Spring,-0.060166635562657333
1981,NK2-CHI,Spring,-0.03766378331720155
1982,NK2-CHI,Spring,-0.054420391675531476
1983,NK2-CHI,Spring,-0.09740434076094573
1984,NK2-CHI,Spring,-0.03722132507303222
1985,NK2-CHI,Spring,-0.08866734422001876
1986,NK2-CHI,Spring,0.03465900318705195
1987,NK2-CHI,Spring,0.03810415523885702
1988,NK2-CHI,Spring,0.15379782819151266
1989,NK2-CHI,Spring,-0.06396344975434509
1990,NK2-CHI,Spring,0.020133028350914017
1991,NK2-CHI,Spring,-0.0630532001256423
1992,NK2-CHI,Spring,-0.004529499968324302
1993,NK2-CHI,Spring,0.14129008272233357
1994,NK2-CHI,Spring,0.1436450442419428
1995,NK2-CHI,Spring,0.05652270714004004
1996,NK2-CHI,Spring,-0.005696227834350864
1997,NK2-CHI,Spring,-0.07984008865004277
1998,NK2-CHI,Spring,-0.23156570354486306
1999,NK2-CHI,Spring,0.033762008816367484
2000,NK2-CHI,Spring,-0.06887020939553601
2001,NK2-CHI,Spring,0.022230902337160074
2002,NK2-CHI,Spring,-0.010460448573237358
2003,NK2-CHI,Spring,0.1185117814224732
2004,NK2-CHI,Spring,0.12495871011063286
2005,NK2-CHI,Spring,0.08950640584675362
2006,NK2-CHI,Spring,-0.033223573356801595
2007,NK2-CHI,Spring,0.1134522157233615
2008,NK2-CHI,Spring,-0.13656134370493156
2009,NK2-CHI,Spring,-0.04940867819769679
2010,NK2-CHI,Spring,0.05487749706718148
2011,NK2-CHI,Spring,0.038124165911236574
2012,NK2-CHI,Spring,-0.18849450091579278
2013,NK2-CHI,Spring,-0.13361300975645385
2014,NK2-CHI,Spring,0.05980259754334405
2015,NK2-CHI,Spring,0.06599759661270888
2016,NK2-CHI,Spring,0.1413961575402869
2017,NK2-CHI,Spring,-0.0059481336167923615
2018,NK2-CHI,Spring,0.019587563093255156
1980,NK2-CHI,Summer,-0.06824547788531454
1981,NK2-CHI,Summer,-0.042708780510711364
1982,NK2-CHI,Summer,-0.05880339273577917
1983,NK2-CHI,Summer,-0.03059467623400991
1984,NK2-CHI,Summer,-0.08351491630410735
1985,NK2-CHI,Summer,-0.032614013508446504
1986,NK2-CHI,Summer,-0.016056685727482645
1987,NK2-CHI,Summer,0.03879447115198431
1988,NK2-CHI,Summer,0.0933420600127377
1989,NK2-CHI,Summer,-0.07657512827027091
1990,NK2-CHI,Summer,0.02059336950977908
1991,NK2-CHI,Summer,-0.08240893379625014
1992,NK2-CHI,Summer,0.1195363401272811
1993,NK2-CHI,Summer,0.09346162882163078
1994,NK2-CHI,Summer,0.15149105624236014
1995,NK2-CHI,Summer,0.08681132820729331
1996,NK2-CHI,Summer,-0.06331278330844015
1997,NK2-CHI,Summer,-0.11813967699186989
1998,NK2-CHI,Summer,-0.1270531483923385
1999,NK2-CHI,Summer,-0.05395348727745386
2000,NK2-CHI,Summer,-0.026790915334615306
2001,NK2-CHI,Summer,0.09059271728564333
2002,NK2-CHI,Summer,-0.032451727618717285
2003,NK2-CHI,Summer,0.14728803704776716
2004,NK2-CHI,Summer,0.17707554817009274
2005,NK2-CHI,Summer,0.09267575421097085
2006,NK2-CHI,Summer,-0.03748006676204518
2007,NK2-CHI,Summer,0.01739128069348439
2008,NK2-CHI,Summer,-0.12222355539200613
2009,NK2-CHI,Summer,0.013058905285971534
2010,NK2-CHI,Summer,0.05264002759572506
2011,NK2-CHI,Summer,-0.0686232983893511
2012,NK2-CHI,Summer,-0.20481458627069493
2013,NK2-CHI,Summer,-0.08864071920043948
2014,NK2-CHI,Summer,0.09459531637428675
2015,NK2-CHI,Summer,0.11532172233914295
2016,NK2-CHI,Summer,0.1632444330896874
2017,NK2-CHI,Summer,-0.132908026255528
2018,NK2-CHI,Summer,0.01227296618116469
1980,NK2-CHI,Fall,-0.05183304345066553
1981,NK2-CHI,Fall,-0.060346095505042996
1982,NK2-CHI,Fall,-0.07133486602095296
1983,NK2-CHI,Fall,-0.011744359344383781
1984,NK2-CHI,Fall,-0.079576297597022
1985,NK2-CHI,Fall,0.03848676879033164
1986,NK2-CHI,Fall,-0.041458784344834854
1987,NK2-CHI,Fall,0.0745789667546628
1988,NK2-CHI,Fall,-0.0004084893959763747
1989,NK2-CHI,Fall,-0.03577602613673392
1990,NK2-CHI,Fall,-0.006448897306579937
1991,NK2-CHI,Fall,-0.09035359239845242
1992,NK2-CHI,Fall,0.1717739272416079
1993,NK2-CHI,Fall,0.05130829448722274
1994,NK2-CHI,Fall,0.09448513992801821
1995,NK2-CHI,Fall,0.10938454550072763
1996,NK2-CHI,Fall,-0.061404363757013414
1997,NK2-CHI,Fall,-0.1897065092222583
1998,NK2-CHI,Fall,0.02201279761785102
1999,NK2-CHI,Fall,-0.11824350663698624
2000,NK2-CHI,Fall,-0.022817803872806408
2001,NK2-CHI,Fall,0.08698085965981406
2002,NK2-CHI,Fall,-0.037295429736047936
2003,NK2-CHI,Fall,0.14387801216334317
2004,NK2-CHI,Fall,0.17350786344971958
2005,NK2-CHI,Fall,0.05155510416450859
2006,NK2-CHI,Fall,0.022910647007273965
2007,NK2-CHI,Fall,-0.09712754503984833
2008,NK2-CHI,Fall,-0.09991232924618032
2009,NK2-CHI,Fall,0.07207073667217401
2010,NK2-CHI,Fall,0.06831513158344826
2011,NK2-CHI,Fall,-0.17945331916702933
2012,NK2-CHI,Fall,-0.21987960592021594
2013,NK2-CHI,Fall,-0.04575261643864259
2014,NK2-CHI,Fall,0.09003890746058651
2015,NK2-CHI,Fall,0.17312969573589676
2016,NK2-CHI,Fall,0.16447334110743306
2017,NK2-CHI,Fall,-0.08801725878696942
2018,NK2-CHI,Fall,0.03019748415423784
1980,NK2-CHI,Spring_Summer_Fall,-0.057246781152326065
1981,NK2-CHI,Spring_Summer_Fall,-0.047821088835037884
1982,NK2-CHI,Spring_Summer_Fall,-0.062450697024097224
1983,NK2-CHI,Spring_Summer_Fall,-0.04736644494399478
1984,NK2-CHI,Spring_Summer_Fall,-0.06384264426017872
1985,NK2-CHI,Spring_Summer_Fall,-0.028614309946611627
1986,NK2-CHI,Spring_Summer_Fall,-0.008672540832687758
1987,NK2-CHI,Spring_Summer_Fall,0.049402986176129815
1988,NK2-CHI,Spring_Summer_Fall,0.08486936764132658
1989,NK2-CHI,Spring_Summer_Fall,-0.05992817336922762
1990,NK2-CHI,Spring_Summer_Fall,0.010565580908178163
1991,NK2-CHI,Spring_Summer_Fall,-0.07960803568017205
1992,NK2-CHI,Spring_Summer_Fall,0.09807954314400646
1993,NK2-CHI,Spring_Summer_Fall,0.09437155259635333
1994,NK2-CHI,Spring_Summer_Fall,0.12915030489145884
1995,NK2-CHI,Spring_Summer_Fall,0.08330679373801964
1996,NK2-CHI,Spring_Summer_Fall,-0.04050925346333756
1997,NK2-CHI,Spring_Summer_Fall,-0.13006789501545235
1998,NK2-CHI,Spring_Summer_Fall,-0.11332621210397775
1999,NK2-CHI,Spring_Summer_Fall,-0.04719179740339463
2000,NK2-CHI,Spring_Summer_Fall,-0.03688484077607335
