threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
197,17,2015,50,-0.002
198,17,2015,50,-0.002
199,17,2015,50,-0.002
200,17,2015,50,-0.002
201,17,2015,50,-0.002
202,17,2015,50,-0.002
203,17,2015,50,-0.002
204,17,2015,50,-0.002
205,18,2015,53,-0.005
206,18,2015,53,-0.005
207,18,2015,53,-0.005
208,18,2015,53,-0.005
209,18,2015,53,-0.005
210,18,2015,53,-0.005
211,18,2015,53,-0.005
212,18,2015,53,-0.005
213,18,2015,53,-0.005
214,18,2015,53,-0.005
215,18,2015,53,-0.005
216,18,2015,53,-0.005
217,19,2015,56,-0.003
218,19,2015,56,-0.003
219,19,2015,56,-0.003
220,19,2015,56,-0.003
221,19,2015,56,-0.003
222,19,2015,56,-0.003
223,19,2015,56,-0.003
224,19,2015,56,-0.003
225,19,2015,56,-0.003
226,19,2015,56,-0.003
227,19,2015,56,-0.003
228,19,2015,56,-0.003
229,20,2015,59,-0.004
230,20,2015,59,-0.004
231,20,2015,59,-0.004
232,20,2015,59,-0.004
233,20,2015,59,-0.004
234,20,2015,59,-0.004
235,20,2015,59,-0.004
236,20,2015,59,-0.004
237,20,2015,59,-0.004
238,20,2015,59,-0.004
239,20,2015,59,-0.004
240,20,2015,59,-0.004
241,21,2015,62,-0.004
242,21,2015,62,-0.004
243,21,2015,62,-0.004
244,21,2015,62,-0.004
245,21,2015,62,-0.004
246,21,2015,62,-0.004
247,21,2015,62,-0.004
248,21,2015,62,-0.004
249,21,2015,62,-0.004
250,21,2015,62,-0.004
251,21,2015,62,-0.004
252,21,2015,62,-0.004
253,22,2015,65,-0.005
254,22,2015,65,-0.005
255,22,2015,65,-0.005
256,22,2015,65,-0.005
257,22,2015,65,-0.005
258,22,2015,65,-0.005
259,22,2015,65,-0.005
260,22,2015,65,-0.005
261,22,2015,65,-0.005
262,22,2015,65,-0.005
263,22,2015,65,-0.005
264,22,2015,65,-0.005
265,23,2015,68,-0.005
266,23,2015,68,-0.005
267,23,2015,68,-0.005
268,23,2015,68,-0.005
269,23,2015,68,-0.005
270,23,2015,68,-0.005
271,23,2015,68,-0.005
272,23,2015,68,-0.005
273,23,2015,68,-0.005
274,23,2015,68,-0.005
275,23,2015,68,-0.005
276,23,2015,68,-0.005
277,24,2015,71,-0.004
278,24,2015,71,-0.004
279,24,2015,71,-0.004
280,24,2015,71,-0.004
281,24,2015,71,-0.004
282,24,2015,71,-0.004
283,24,2015,71,-0.004
284,24,2015,71,-0.004
285,24,2015,71,-0.004
286,24,2015,71,-0.004
287,24,2015,71,-0.004
288,24,2015,71,-0.004
289,25,2015,74,-0.003
290,25,2015,74,-0.003
291,25,2015,74,-0.003
292,25,2015,74,-0.003
293,25,2015,74,-0.003
294,25,2015,74,-0.003
295,25,2015,74,-0.003
296,25,2015,74,-0.003
297,25,2015,74,-0.003
298,25,2015,74,-0.003
299,25,2015,74,-0.003
300,25,2015,74,-0.003
301,26,2015,77,-0.002
302,26,2015,77,-0.002
303,26,2015,77,-0.002
304,26,2015,77,-0.002
305,26,2015,77,-0.002
306,26,2015,77,-0.002
307,26,2015,77,-0.002
308,26,2015,77,-0.002
309,26,2015,77,-0.002
310,26,2015,77,-0.002
311,26,2015,77,-0.002
312,26,2015,77,-0.002
313,27,2015,80,-0.003
314,27,2015,80,-0.003
315,27,2015,80,-0.003
316,27,2015,80,-0.003
317,27,2015,80,-0.003
318,27,2015,80,-0.003
319,27,2015,80,-0.003
320,27,2015,80,-0.003
321,27,2015,80,-0.003
322,27,2015,80,-0.003
323,27,2015,80,-0.003
324,27,2015,80,-0.003
325,28,2015,83,-0.006
326,28,2015,83,-0.006
327,28,2015,83,-0.006
328,28,2015,83,-0.006
329,28,2015,83,-0.006
330,28,2015,83,-0.006
331,28,2015,83,-0.006
332,28,2015,83,-0.006
333,28,2015,83,-0.006
334,28,2015,83,-0.006
335,28,2015,83,-0.006
336,28,2015,83,-0.006
337,29,2015,86,-0.004
338,29,2015,86,-0.004
339,29,2015,86,-0.004
340,29,2015,86,-0.004
341,29,2015,86,-0.004
342,29,2015,86,-0.004
343,29,2015,86,-0.004
344,29,2015,86,-0.004
345,29,2015,86,-0.004
346,29,2015,86,-0.004
347,29,2015,86,-0.004
348,29,2015,86,-0.004
349,30,2015,89,-0.001
350,30,2015,89,-0.001
351,30,2015,89,-0.001
352,30,2015,89,-0.001
353,30,2015,89,-0.001
354,30,2015,89,-0.001
355,30,2015,89,-0.001
356,30,2015,89,-0.001
357,30,2015,89,-0.001
358,30,2015,89,-0.001
359,30,2015,89,-0.001
360,30,2015,89,-0.001
361,31,2015,92,-0.004
362,31,2015,92,-0.004
363,31,2015,92,-0.004
364,31,2015,92,-0.004
365,31,2015,92,-0.004
366,31,2015,92,-0.004
367,31,2015,92,-0.004
368,31,2015,92,-0.004
369,31,2015,92,-0.004
370,31,2015,92,-0.004
371,31,2015,92,-0.004
372,31,2015,92,-0.004
