threeday_yrmo,threeday_yr,year,dayofyear,varadvecY2_cmsec_0-40mAvg
1,1,2015,2,-0.005
2,1,2015,2,-0.005
3,1,2015,2,-0.005
4,1,2015,2,-0.005
5,1,2015,2,-0.005
6,1,2015,2,-0.005
7,1,2015,2,-0.005
8,1,2015,2,-0.005
9,1,2015,2,-0.005
10,1,2015,2,-0.005
11,1,2015,2,-0.005
12,1,2015,2,-0.005
13,2,2015,5,0.004
14,2,2015,5,0.004
15,2,2015,5,0.004
16,2,2015,5,0.004
17,2,2015,5,0.004
18,2,2015,5,0.004
19,2,2015,5,0.004
20,2,2015,5,0.004
21,2,2015,5,0.004
22,2,2015,5,0.004
23,2,2015,5,0.004
24,2,2015,5,0.004
25,3,2015,8,-0.001
26,3,2015,8,-0.001
27,3,2015,8,-0.001
28,3,2015,8,-0.001
29,3,2015,8,-0.001
30,3,2015,8,-0.001
31,3,2015,8,-0.001
32,3,2015,8,-0.001
33,3,2015,8,-0.001
34,3,2015,8,-0.001
35,3,2015,8,-0.001
36,3,2015,8,-0.001
37,4,2015,11,0.001
38,4,2015,11,0.001
39,4,2015,11,0.001
40,4,2015,11,0.001
41,4,2015,11,0.001
42,4,2015,11,0.001
43,4,2015,11,0.001
44,4,2015,11,0.001
45,4,2015,11,0.001
46,4,2015,11,0.001
47,4,2015,11,0.001
48,4,2015,11,0.001
49,5,2015,14,0.001
50,5,2015,14,0.001
51,5,2015,14,0.001
52,5,2015,14,0.001
53,5,2015,14,0.001
54,5,2015,14,0.001
55,5,2015,14,0.001
56,5,2015,14,0.001
57,5,2015,14,0.001
58,5,2015,14,0.001
59,5,2015,14,0.001
60,5,2015,14,0.001
61,6,2015,17,0.006
62,6,2015,17,0.006
63,6,2015,17,0.006
64,6,2015,17,0.006
65,6,2015,17,0.006
66,6,2015,17,0.006
67,6,2015,17,0.006
68,6,2015,17,0.006
69,6,2015,17,0.006
70,6,2015,17,0.006
71,6,2015,17,0.006
72,6,2015,17,0.006
73,7,2015,20,0.0
74,7,2015,20,0.0
75,7,2015,20,0.0
76,7,2015,20,0.0
77,7,2015,20,0.0
78,7,2015,20,0.0
79,7,2015,20,0.0
80,7,2015,20,0.0
81,7,2015,20,0.0
82,7,2015,20,0.0
83,7,2015,20,0.0
84,7,2015,20,0.0
85,8,2015,23,-0.0
86,8,2015,23,-0.0
87,8,2015,23,-0.0
88,8,2015,23,-0.0
89,8,2015,23,-0.0
90,8,2015,23,-0.0
91,8,2015,23,-0.0
92,8,2015,23,-0.0
93,8,2015,23,-0.0
94,8,2015,23,-0.0
95,8,2015,23,-0.0
96,8,2015,23,-0.0
97,9,2015,26,-0.0
98,9,2015,26,-0.0
99,9,2015,26,-0.0
100,9,2015,26,-0.0
101,9,2015,26,-0.0
102,9,2015,26,-0.0
103,9,2015,26,-0.0
104,9,2015,26,-0.0
105,9,2015,26,-0.0
106,9,2015,26,-0.0
107,9,2015,26,-0.0
108,9,2015,26,-0.0
109,10,2015,29,-0.003
110,10,2015,29,-0.003
111,10,2015,29,-0.003
112,10,2015,29,-0.003
113,10,2015,29,-0.003
114,10,2015,29,-0.003
115,10,2015,29,-0.003
116,10,2015,29,-0.003
117,10,2015,29,-0.003
118,10,2015,29,-0.003
119,10,2015,29,-0.003
120,10,2015,29,-0.003
121,11,2015,32,-0.005
122,11,2015,32,-0.005
123,11,2015,32,-0.005
124,11,2015,32,-0.005
125,11,2015,32,-0.005
126,11,2015,32,-0.005
127,11,2015,32,-0.005
128,11,2015,32,-0.005
129,11,2015,32,-0.005
130,11,2015,32,-0.005
131,11,2015,32,-0.005
132,11,2015,32,-0.005
133,12,2015,35,-0.003
134,12,2015,35,-0.003
135,12,2015,35,-0.003
136,12,2015,35,-0.003
137,12,2015,35,-0.003
138,12,2015,35,-0.003
139,12,2015,35,-0.003
140,12,2015,35,-0.003
141,12,2015,35,-0.003
142,12,2015,35,-0.003
143,12,2015,35,-0.003
144,12,2015,35,-0.003
145,13,2015,38,0.007
146,13,2015,38,0.007
147,13,2015,38,0.007
148,13,2015,38,0.007
149,13,2015,38,0.007
150,13,2015,38,0.007
151,13,2015,38,0.007
152,13,2015,38,0.007
153,13,2015,38,0.007
154,13,2015,38,0.007
155,13,2015,38,0.007
156,13,2015,38,0.007
157,14,2015,41,0.005
158,14,2015,41,0.005
159,14,2015,41,0.005
160,14,2015,41,0.005
161,14,2015,41,0.005
162,14,2015,41,0.005
163,14,2015,41,0.005
164,14,2015,41,0.005
165,14,2015,41,0.005
166,14,2015,41,0.005
167,14,2015,41,0.005
168,14,2015,41,0.005
169,15,2015,44,0.002
170,15,2015,44,0.002
171,15,2015,44,0.002
172,15,2015,44,0.002
173,15,2015,44,0.002
174,15,2015,44,0.002
175,15,2015,44,0.002
176,15,2015,44,0.002
177,15,2015,44,0.002
178,15,2015,44,0.002
179,15,2015,44,0.002
180,15,2015,44,0.002
181,16,2015,47,-0.006
182,16,2015,47,-0.006
183,16,2015,47,-0.006
184,16,2015,47,-0.006
185,16,2015,47,-0.006
186,16,2015,47,-0.006
187,16,2015,47,-0.006
188,16,2015,47,-0.006
189,16,2015,47,-0.006
190,16,2015,47,-0.006
191,16,2015,47,-0.006
192,16,2015,47,-0.006
193,17,2015,50,-0.006
194,17,2015,50,-0.006
195,17,2015,50,-0.006
196,17,2015,50,-0.006
197,17,2015,50,-0.006
198,17,2015,50,-0.006
199,17,2015,50,-0.006
200,17,2015,50,-0.006
201,17,2015,50,-0.006
202,17,2015,50,-0.006
203,17,2015,50,-0.006
204,17,2015,50,-0.006
205,18,2015,53,-0.006
206,18,2015,53,-0.006
207,18,2015,53,-0.006
208,18,2015,53,-0.006
209,18,2015,53,-0.006
210,18,2015,53,-0.006
211,18,2015,53,-0.006
212,18,2015,53,-0.006
213,18,2015,53,-0.006
214,18,2015,53,-0.006
215,18,2015,53,-0.006
216,18,2015,53,-0.006
217,19,2015,56,-0.001
218,19,2015,56,-0.001
219,19,2015,56,-0.001
220,19,2015,56,-0.001
221,19,2015,56,-0.001
222,19,2015,56,-0.001
223,19,2015,56,-0.001
224,19,2015,56,-0.001
225,19,2015,56,-0.001
226,19,2015,56,-0.001
227,19,2015,56,-0.001
228,19,2015,56,-0.001
229,20,2015,59,0.001
230,20,2015,59,0.001
231,20,2015,59,0.001
232,20,2015,59,0.001
233,20,2015,59,0.001
234,20,2015,59,0.001
235,20,2015,59,0.001
236,20,2015,59,0.001
237,20,2015,59,0.001
238,20,2015,59,0.001
239,20,2015,59,0.001
240,20,2015,59,0.001
241,21,2015,62,-0.002
242,21,2015,62,-0.002
243,21,2015,62,-0.002
244,21,2015,62,-0.002
245,21,2015,62,-0.002
246,21,2015,62,-0.002
247,21,2015,62,-0.002
248,21,2015,62,-0.002
249,21,2015,62,-0.002
250,21,2015,62,-0.002
251,21,2015,62,-0.002
252,21,2015,62,-0.002
253,22,2015,65,-0.0
254,22,2015,65,-0.0
255,22,2015,65,-0.0
256,22,2015,65,-0.0
257,22,2015,65,-0.0
258,22,2015,65,-0.0
259,22,2015,65,-0.0
260,22,2015,65,-0.0
261,22,2015,65,-0.0
262,22,2015,65,-0.0
263,22,2015,65,-0.0
264,22,2015,65,-0.0
265,23,2015,68,-0.001
266,23,2015,68,-0.001
267,23,2015,68,-0.001
268,23,2015,68,-0.001
269,23,2015,68,-0.001
270,23,2015,68,-0.001
271,23,2015,68,-0.001
272,23,2015,68,-0.001
273,23,2015,68,-0.001
274,23,2015,68,-0.001
275,23,2015,68,-0.001
276,23,2015,68,-0.001
277,24,2015,71,0.005
278,24,2015,71,0.005
279,24,2015,71,0.005
280,24,2015,71,0.005
281,24,2015,71,0.005
282,24,2015,71,0.005
283,24,2015,71,0.005
284,24,2015,71,0.005
285,24,2015,71,0.005
286,24,2015,71,0.005
287,24,2015,71,0.005
288,24,2015,71,0.005
289,25,2015,74,0.003
290,25,2015,74,0.003
291,25,2015,74,0.003
292,25,2015,74,0.003
293,25,2015,74,0.003
294,25,2015,74,0.003
295,25,2015,74,0.003
296,25,2015,74,0.003
297,25,2015,74,0.003
298,25,2015,74,0.003
299,25,2015,74,0.003
300,25,2015,74,0.003
301,26,2015,77,-0.002
302,26,2015,77,-0.002
303,26,2015,77,-0.002
304,26,2015,77,-0.002
305,26,2015,77,-0.002
306,26,2015,77,-0.002
307,26,2015,77,-0.002
308,26,2015,77,-0.002
309,26,2015,77,-0.002
310,26,2015,77,-0.002
311,26,2015,77,-0.002
312,26,2015,77,-0.002
313,27,2015,80,0.002
314,27,2015,80,0.002
315,27,2015,80,0.002
316,27,2015,80,0.002
317,27,2015,80,0.002
318,27,2015,80,0.002
319,27,2015,80,0.002
320,27,2015,80,0.002
321,27,2015,80,0.002
322,27,2015,80,0.002
323,27,2015,80,0.002
324,27,2015,80,0.002
325,28,2015,83,-0.0
326,28,2015,83,-0.0
327,28,2015,83,-0.0
328,28,2015,83,-0.0
329,28,2015,83,-0.0
330,28,2015,83,-0.0
331,28,2015,83,-0.0
332,28,2015,83,-0.0
333,28,2015,83,-0.0
334,28,2015,83,-0.0
335,28,2015,83,-0.0
336,28,2015,83,-0.0
337,29,2015,86,0.003
338,29,2015,86,0.003
339,29,2015,86,0.003
340,29,2015,86,0.003
341,29,2015,86,0.003
342,29,2015,86,0.003
343,29,2015,86,0.003
344,29,2015,86,0.003
345,29,2015,86,0.003
346,29,2015,86,0.003
347,29,2015,86,0.003
348,29,2015,86,0.003
349,30,2015,89,0.006
350,30,2015,89,0.006
351,30,2015,89,0.006
352,30,2015,89,0.006
353,30,2015,89,0.006
354,30,2015,89,0.006
355,30,2015,89,0.006
356,30,2015,89,0.006
357,30,2015,89,0.006
358,30,2015,89,0.006
359,30,2015,89,0.006
360,30,2015,89,0.006
361,31,2015,92,-0.005
362,31,2015,92,-0.005
363,31,2015,92,-0.005
364,31,2015,92,-0.005
365,31,2015,92,-0.005
366,31,2015,92,-0.005
367,31,2015,92,-0.005
368,31,2015,92,-0.005
369,31,2015,92,-0.005
370,31,2015,92,-0.005
371,31,2015,92,-0.005
372,31,2015,92,-0.005
373,32,2015,95,-0.001
374,32,2015,95,-0.001
375,32,2015,95,-0.001
376,32,2015,95,-0.001
377,32,2015,95,-0.001
378,32,2015,95,-0.001
379,32,2015,95,-0.001
380,32,2015,95,-0.001
381,32,2015,95,-0.001
382,32,2015,95,-0.001
383,32,2015,95,-0.001
384,32,2015,95,-0.001
385,33,2015,98,-0.005
386,33,2015,98,-0.005
387,33,2015,98,-0.005
388,33,2015,98,-0.005
389,33,2015,98,-0.005
390,33,2015,98,-0.005
391,33,2015,98,-0.005
392,33,2015,98,-0.005
393,33,2015,98,-0.005
394,33,2015,98,-0.005
395,33,2015,98,-0.005
396,33,2015,98,-0.005
397,34,2015,101,-0.001
398,34,2015,101,-0.001
399,34,2015,101,-0.001
400,34,2015,101,-0.001
401,34,2015,101,-0.001
402,34,2015,101,-0.001
403,34,2015,101,-0.001
404,34,2015,101,-0.001
405,34,2015,101,-0.001
406,34,2015,101,-0.001
407,34,2015,101,-0.001
408,34,2015,101,-0.001
409,35,2015,104,0.002
410,35,2015,104,0.002
411,35,2015,104,0.002
412,35,2015,104,0.002
413,35,2015,104,0.002
414,35,2015,104,0.002
415,35,2015,104,0.002
416,35,2015,104,0.002
417,35,2015,104,0.002
418,35,2015,104,0.002
