rank,run_tag,scenario,C09_Bias,sat_Bias,C09_MAE,sat_MAE,C09_MSE,sat_MSE,C09_Model StdDev,sat_Model StdDev,C09_Obs StdDev,sat_Obs StdDev,C09_R,sat_R,C09_RMSE,sat_RMSE,C09_Willmott Skill,sat_Willmott Skill,C09_Categorical Agreement_Count,C09_Timing Window Overlap_Count,sat_Categorical Agreement_Count,sat_Timing Window Overlap_Count,C09_Categorical Agreement_Proportion,C09_Timing Window Overlap_Proportion,sat_Categorical Agreement_Proportion,sat_Timing Window Overlap_Proportion,C09_Categorical Agreement_Total,C09_Timing Window Overlap_Total,sat_Categorical Agreement_Total,sat_Timing Window Overlap_Total,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status,score
1,bt_SGC2_PP123_ann_log_med_exdj0,SC200,-0.8205128205128205,3.928571428571429,10.461538461538462,10.785714285714286,179.7948717948718,146.21428571428572,11.725156286413773,14.558818072682596,11.695905879096149,18.926954108802995,0.3469243988516867,0.7973174645235672,13.40876100894008,12.091909928306848,0.6067984037240344,0.8618069543604595,17,14,9,1,0.4358974358974359,0.358974358974359,0.6428571428571429,0.0714285714285714,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,12.750335468623465
2,bt_SGC3_PP123_ann_log_med_exdj0,SC200,-0.8205128205128205,0.0714285714285714,10.461538461538462,10.5,179.7948717948718,146.21428571428572,11.725156286413773,12.458093017498827,11.695905879096149,18.926954108802995,0.3469243988516867,0.778698507235361,13.40876100894008,12.091909928306848,0.6067984037240344,0.8409809737761212,17,14,11,3,0.4358974358974359,0.358974358974359,0.7857142857142857,0.2142857142857142,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,12.750335468623465
3,bt_SGC2_PP123_ann_lin_med_exdj0,SC200,-0.8205128205128205,-0.3571428571428571,10.461538461538462,10.928571428571429,179.7948717948718,151.78571428571428,11.725156286413773,12.144537698832645,11.695905879096149,18.926954108802995,0.3469243988516867,0.7701701012306876,13.40876100894008,12.320134507614528,0.6067984037240344,0.8310632671106748,17,14,11,3,0.4358974358974359,0.358974358974359,0.7857142857142857,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,12.864447758277304
4,bt_SGC3_PP123_ann_lin_med_exdj0,SC200,-0.8205128205128205,-1.0,10.461538461538462,10.714285714285714,179.7948717948718,160.57142857142858,11.725156286413773,12.986845778144364,11.695905879096149,18.926954108802995,0.3469243988516867,0.7471810079826384,13.40876100894008,12.671678206592391,0.6067984037240344,0.8330534522373311,17,14,11,4,0.4358974358974359,0.358974358974359,0.7857142857142857,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,13.040219607766236
5,bt_SGC4_PP123_ann_lin_med_exdj0,SC200,-0.8205128205128205,-3.357142857142857,10.461538461538462,10.071428571428571,179.7948717948718,162.07142857142858,11.725156286413773,16.49860847564585,11.695905879096149,18.926954108802995,0.3469243988516867,0.7679813978099401,13.40876100894008,12.73072773141538,0.6067984037240344,0.8683598888445541,17,14,11,5,0.4358974358974359,0.358974358974359,0.7857142857142857,0.3571428571428571,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,median,0,ok,13.06974437017773
6,bt_SGC2_PP1_ann_lin_med_exdj0,SC200,-0.8205128205128205,-5.714285714285714,10.461538461538462,11.0,179.7948717948718,170.0,11.725156286413773,11.541628293853057,11.695905879096149,18.926954108802995,0.3469243988516867,0.8104721695400834,13.40876100894008,13.038404810405298,0.6067984037240344,0.8206182839528581,17,14,10,5,0.4358974358974359,0.358974358974359,0.7142857142857143,0.3571428571428571,39,39,14,14,SGC2,PP1-DIA,annual,0,median,0,ok,13.22358290967269
7,bt_SGC3_PP123_all_log_med_exdj0,SC200,-0.8205128205128205,0.5,10.461538461538462,11.5,179.7948717948718,186.07142857142856,11.725156286413773,13.81436696681674,11.695905879096149,18.926954108802995,0.3469243988516867,0.6946368358605747,13.40876100894008,13.640800144105498,0.6067984037240344,0.8105744131138394,17,14,10,4,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,0,ok,13.52478057652279
8,bt_SGC4_PP123_ann_log_med_exdj0,SC200,-0.8205128205128205,-0.3571428571428571,10.461538461538462,11.214285714285714,179.7948717948718,186.92857142857144,11.725156286413773,18.587355807601234,11.695905879096149,18.926954108802995,0.3469243988516867,0.7346722342630114,13.40876100894008,13.672182394503498,0.6067984037240344,0.8595154860203486,17,14,11,3,0.4358974358974359,0.358974358974359,0.7857142857142857,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,median,0,ok,13.540471701721788
9,bt_SGC4_PP1_ann_lin_mean_exdj0,SC200,-0.8205128205128205,-5.285714285714286,10.461538461538462,11.142857142857142,179.7948717948718,188.0,11.725156286413773,15.75983657845448,11.695905879096149,18.926954108802995,0.3469243988516867,0.7485119313690304,13.40876100894008,13.711309200802088,0.6067984037240344,0.8424864492521745,17,14,10,3,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA,annual,0,mean,0,ok,13.560035104871083
10,bt_SGC2_PP123_all_lin_mean_exdj0,SC200,-0.8205128205128205,-5.285714285714286,10.461538461538462,11.142857142857142,179.7948717948718,189.7142857142857,11.725156286413773,14.350744843074189,11.695905879096149,18.926954108802995,0.3469243988516867,0.7407481951046617,13.40876100894008,13.773680906507373,0.6067984037240344,0.8260286040073415,17,14,10,3,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,0,mean,0,ok,13.591220957723728
11,bt_SGC2_PP123_ann_lin_mean_exdj0,SC200,-0.8205128205128205,-5.5,10.461538461538462,10.928571428571429,179.7948717948718,189.92857142857144,11.725156286413773,13.626954081929698,11.695905879096149,18.926954108802995,0.3469243988516867,0.7449010600794007,13.40876100894008,13.781457521923125,0.6067984037240344,0.8212199051014163,17,14,10,4,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,mean,0,ok,13.595109265431603
12,bt_SGC4_PP1_ann_lin_med_exdj0,SC200,-0.8205128205128205,-7.214285714285714,10.461538461538462,11.642857142857142,179.7948717948718,197.64285714285717,11.725156286413773,14.514595047322372,11.695905879096149,18.926954108802995,0.3469243988516867,0.7704401399548964,13.40876100894008,14.058551032836109,0.6067984037240344,0.8311415935706199,17,14,10,3,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC4,PP1-DIA,annual,0,median,0,ok,13.733656020888095
13,bt_SGC3_PP123_ann_lin_mean_exdj0,SC200,-0.8205128205128205,-3.7857142857142856,10.461538461538462,11.357142857142858,179.7948717948718,204.07142857142856,11.725156286413773,12.597375820027777,11.695905879096149,18.926954108802995,0.3469243988516867,0.686121160386167,13.40876100894008,14.285357138392746,0.6067984037240344,0.7866653053200714,17,14,10,5,0.4358974358974359,0.358974358974359,0.7142857142857143,0.3571428571428571,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,annual,0,mean,0,ok,13.847059073666413
14,bt_SGC3_PP1_all_lin_mean_exdj0,SC200,-0.8205128205128205,-4.214285714285714,10.461538461538462,11.357142857142858,179.7948717948718,207.07142857142856,11.725156286413773,13.264960749036138,11.695905879096149,18.926954108802995,0.3469243988516867,0.6868283797398542,13.40876100894008,14.389976670287847,0.6067984037240344,0.7928591218630152,17,14,10,4,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,all,0,mean,0,ok,13.899368839613963
15,bt_SGC2_PP123_all_log_med_exdj1,SC200,-0.8205128205128205,-5.928571428571429,10.461538461538462,11.357142857142858,179.7948717948718,207.5,11.725156286413773,14.901718843468894,11.695905879096149,18.926954108802995,0.3469243988516867,0.7231824829572814,13.40876100894008,14.404860290887934,0.6067984037240344,0.8180689968967756,17,14,10,3,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2142857142857142,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,1,ok,13.906810649914007
16,bt_SGC3_PP1_ann_lin_med_exdj0,SC200,-0.8205128205128205,-6.142857142857143,10.461538461538462,12.285714285714286,179.7948717948718,209.8571428571429,11.725156286413773,11.605109712043715,11.695905879096149,18.926954108802995,0.3469243988516867,0.7302222201193284,13.40876100894008,14.486446867922544,0.6067984037240344,0.781061372225475,17,14,11,4,0.4358974358974359,0.358974358974359,0.7857142857142857,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,annual,0,median,0,ok,13.947603938431312
17,bt_SGC2_PP123_all_log_med_exdj0,SC200,-0.8205128205128205,0.0714285714285714,10.461538461538462,11.928571428571429,179.7948717948718,210.92857142857144,11.725156286413773,14.329931569114704,11.695905879096149,18.926954108802995,0.3469243988516867,0.6501189374137704,13.40876100894008,14.523380165394398,0.6067984037240344,0.7905688915263314,17,14,9,4,0.4358974358974359,0.358974358974359,0.6428571428571429,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,median,0,ok,13.96607058716724
18,bt_SGC2_PP1_all_lin_mean_exdj0,SC200,-0.8205128205128205,-4.642857142857143,10.461538461538462,11.357142857142858,179.7948717948718,211.78571428571428,11.725156286413773,12.778329870750492,11.695905879096149,18.926954108802995,0.3469243988516867,0.6848853690737522,13.40876100894008,14.55285931649565,0.6067984037240344,0.7832718734523149,17,14,10,4,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA,all,0,mean,0,ok,13.980810162717866
19,bt_SGC2_PP1_ann_lin_mean_exdj0,SC200,-0.8205128205128205,-4.214285714285714,10.461538461538462,11.785714285714286,179.7948717948718,212.2142857142857,11.725156286413773,13.167678424917614,11.695905879096149,18.926954108802995,0.3469243988516867,0.6764260345419432,13.40876100894008,14.567576521655402,0.6067984037240344,0.7857462433955877,17,14,10,4,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA,annual,0,mean,0,ok,13.988168765297742
20,bt_SGC3_PP1_ann_lin_mean_exdj0,SC200,-0.8205128205128205,-4.214285714285714,10.461538461538462,11.785714285714286,179.7948717948718,212.2142857142857,11.725156286413773,13.167678424917614,11.695905879096149,18.926954108802995,0.3469243988516867,0.6764260345419432,13.40876100894008,14.567576521655402,0.6067984037240344,0.7857462433955877,17,14,10,4,0.4358974358974359,0.358974358974359,0.7142857142857143,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,annual,0,mean,0,ok,13.988168765297742
