Label,RMSE,MAE,MSE,Bias,R,Willmott Skill,Obs StdDev,Model StdDev
sat,24.39554994548918,16.857142857142858,595.1428571428571,-16.428571428571427,0.5310485038253202,0.6369105002721385,18.926954108802995,18.299799262866916
C09,24.597268974941933,18.76923076923077,605.025641025641,-12.512820512820513,0.09713542081172197,0.3536515094070639,11.695905879096149,18.82652038541603
