OID,lat,lon,depth,NEMO_col,NEMO_row,EWE_row,EWE_col
-1,48.294708251953125,-123.807388305664062,178.819444444444457,39.000000000000000,102.000000000000000,151,1
-1,48.300540924072266,-123.791809082031250,178.305555555555543,40.000000000000000,102.000000000000000,151,2
-1,48.306369781494141,-123.776222229003906,174.118055555555543,41.000000000000000,102.000000000000000,151,3
-1,48.312198638916016,-123.760635375976562,170.569444444444457,42.000000000000000,102.000000000000000,151,4
-1,48.318023681640625,-123.745048522949219,161.229166666666657,43.000000000000000,102.000000000000000,151,5
-1,48.323844909667969,-123.729461669921875,131.062500000000000,44.000000000000000,102.000000000000000,151,6
-1,48.329666137695312,-123.713874816894531,81.770833333333329,45.000000000000000,102.000000000000000,151,7
-1,48.335483551025391,-123.698280334472656,28.236111111111111,46.000000000000000,102.000000000000000,151,8
-1,48.341297149658203,-123.682685852050781,0.000000000000000,47.000000000000000,102.000000000000000,151,9
-1,48.347106933593750,-123.667091369628906,0.000000000000000,48.000000000000000,102.000000000000000,151,10
-1,48.352916717529297,-123.651496887207031,0.000000000000000,49.000000000000000,102.000000000000000,151,11
-1,48.358722686767578,-123.635894775390625,0.000000000000000,50.000000000000000,102.000000000000000,151,12
-1,48.364524841308594,-123.620300292968750,0.000000000000000,51.000000000000000,102.000000000000000,151,13
-1,48.370326995849609,-123.604698181152344,0.000000000000000,52.000000000000000,102.000000000000000,151,14
-1,48.376125335693359,-123.589096069335938,0.000000000000000,53.000000000000000,102.000000000000000,151,15
-1,48.381919860839844,-123.573493957519531,0.000000000000000,54.000000000000000,102.000000000000000,151,16
-1,48.387710571289062,-123.557891845703125,0.000000000000000,55.000000000000000,102.000000000000000,151,17
-1,48.393501281738281,-123.542282104492188,0.000000000000000,56.000000000000000,102.000000000000000,151,18
-1,48.399288177490234,-123.526672363281250,0.000000000000000,57.000000000000000,102.000000000000000,151,19
-1,48.405075073242188,-123.511070251464844,0.000000000000000,58.000000000000000,102.000000000000000,151,20
-1,48.410858154296875,-123.495452880859375,0.000000000000000,59.000000000000000,102.000000000000000,151,21
-1,48.416637420654297,-123.479843139648438,0.000000000000000,60.000000000000000,102.000000000000000,151,22
-1,48.422416687011719,-123.464233398437500,7.986111111111111,61.000000000000000,102.000000000000000,151,23
-1,48.428192138671875,-123.448616027832031,10.861111111111111,62.000000000000000,102.000000000000000,151,24
-1,48.433963775634766,-123.433006286621094,7.319444444444445,63.000000000000000,102.000000000000000,151,25
-1,48.439735412597656,-123.417388916015625,0.000000000000000,64.000000000000000,102.000000000000000,151,26
-1,48.445503234863281,-123.401771545410156,0.000000000000000,65.000000000000000,102.000000000000000,151,27
-1,48.451267242431641,-123.386154174804688,0.000000000000000,66.000000000000000,102.000000000000000,151,28
-1,48.457031250000000,-123.370529174804688,0.000000000000000,67.000000000000000,102.000000000000000,151,29
-1,48.462791442871094,-123.354911804199219,0.000000000000000,68.000000000000000,102.000000000000000,151,30
-1,48.468551635742188,-123.339286804199219,0.000000000000000,69.000000000000000,102.000000000000000,151,31
-1,48.474308013916016,-123.323669433593750,0.000000000000000,70.000000000000000,102.000000000000000,151,32
-1,48.480060577392578,-123.308044433593750,0.000000000000000,71.000000000000000,102.000000000000000,151,33
-1,48.485813140869141,-123.292419433593750,21.444444444444443,72.000000000000000,102.000000000000000,151,34
-1,48.491565704345703,-123.276786804199219,53.687500000000000,73.000000000000000,102.000000000000000,151,35
-1,48.497310638427734,-123.261161804199219,57.881944444444443,74.000000000000000,102.000000000000000,151,36
-1,48.503055572509766,-123.245536804199219,79.888888888888886,75.000000000000000,102.000000000000000,151,37
-1,48.508800506591797,-123.229904174804688,130.763888888888886,76.000000000000000,102.000000000000000,151,38
-1,48.514541625976562,-123.214279174804688,189.388888888888886,77.000000000000000,102.000000000000000,151,39
-1,48.520282745361328,-123.198646545410156,225.944444444444457,78.000000000000000,102.000000000000000,151,40
-1,48.526020050048828,-123.183013916015625,246.520833333333343,79.000000000000000,102.000000000000000,151,41
-1,48.531753540039062,-123.167381286621094,155.722222222222229,80.000000000000000,102.000000000000000,151,42
-1,48.537487030029297,-123.151748657226562,15.000000000000000,81.000000000000000,102.000000000000000,151,43
-1,48.543220520019531,-123.136108398437500,10.000000000000000,82.000000000000000,102.000000000000000,151,44
-1,48.548950195312500,-123.120475769042969,0.000000000000000,83.000000000000000,102.000000000000000,151,45
-1,48.554676055908203,-123.104843139648438,0.000000000000000,84.000000000000000,102.000000000000000,151,46
-1,48.560401916503906,-123.089202880859375,0.000000000000000,85.000000000000000,102.000000000000000,151,47
-1,48.566127777099609,-123.073562622070312,0.000000000000000,86.000000000000000,102.000000000000000,151,48
-1,48.571849822998047,-123.057929992675781,0.000000000000000,87.000000000000000,102.000000000000000,151,49
-1,48.577568054199219,-123.042289733886719,101.333333333333329,88.000000000000000,102.000000000000000,151,50
-1,48.583286285400391,-123.026649475097656,80.263888888888886,89.000000000000000,102.000000000000000,151,51
-1,48.589004516601562,-123.011009216308594,18.812500000000000,90.000000000000000,102.000000000000000,151,52
-1,48.594718933105469,-122.995361328125000,9.291666666666666,91.000000000000000,102.000000000000000,151,53
-1,48.600433349609375,-122.979721069335938,15.902777777777779,92.000000000000000,102.000000000000000,151,54
-1,48.606143951416016,-122.964080810546875,28.333333333333332,93.000000000000000,102.000000000000000,151,55
-1,48.611854553222656,-122.948432922363281,0.000000000000000,94.000000000000000,102.000000000000000,151,56
-1,48.617561340332031,-122.932792663574219,0.000000000000000,95.000000000000000,102.000000000000000,151,57
