threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
243,243,1980,8,26.9
244,244,1980,11,27.0
245,245,1980,14,27.2
246,246,1980,17,27.5
247,247,1980,20,27.3
248,248,1980,23,27.2
249,249,1980,26,27.3
250,250,1980,29,27.4
251,251,1980,32,27.4
252,252,1980,35,27.6
253,253,1980,38,27.3
254,254,1980,41,27.1
255,255,1980,44,27.1
256,256,1980,47,27.3
257,257,1980,50,27.2
258,258,1980,53,27.2
259,259,1980,56,27.2
260,260,1980,59,27.2
261,261,1980,62,27.2
262,262,1980,65,27.0
263,263,1980,68,27.0
264,264,1980,71,27.1
265,265,1980,74,27.6
266,266,1980,77,27.6
267,267,1980,80,27.5
268,268,1980,83,27.4
269,269,1980,86,27.3
270,270,1980,89,27.4
271,271,1980,92,27.4
272,272,1980,95,27.4
273,273,1980,98,27.4
274,274,1980,101,27.6
275,275,1980,104,27.4
276,276,1980,107,27.3
277,277,1980,110,27.4
278,278,1980,113,27.2
279,279,1980,116,26.9
280,280,1980,119,26.7
281,281,1980,122,26.7
282,282,1980,125,26.7
283,283,1980,128,26.5
284,284,1980,131,26.1
285,285,1980,134,25.8
286,286,1980,137,25.5
287,287,1980,140,25.1
288,288,1980,143,25.1
289,289,1980,146,24.3
290,290,1980,149,23.9
291,291,1980,152,23.9
292,292,1980,155,24.5
293,293,1980,158,24.6
294,294,1980,161,24.5
295,295,1980,164,24.4
296,296,1980,167,24.4
297,297,1980,170,24.2
298,298,1980,173,23.7
299,299,1980,176,23.5
300,300,1980,179,23.4
301,301,1980,182,23.6
302,302,1980,185,23.8
303,303,1980,188,24.1
304,304,1980,191,23.8
305,305,1980,194,24.0
306,306,1980,197,24.0
307,307,1980,200,24.0
308,308,1980,203,23.9
309,309,1980,206,24.1
310,310,1980,209,24.4
311,311,1980,212,25.1
312,312,1980,215,25.3
313,313,1980,218,25.3
314,314,1980,221,25.4
315,315,1980,224,25.6
316,316,1980,227,25.7
317,317,1980,230,25.6
318,318,1980,233,25.5
319,319,1980,236,25.6
320,320,1980,239,26.0
321,321,1980,242,26.0
322,322,1980,245,26.1
323,323,1980,248,26.1
324,324,1980,251,26.1
325,325,1980,254,26.1
326,326,1980,257,26.2
327,327,1980,260,26.3
328,328,1980,263,26.3
329,329,1980,266,26.5
330,330,1980,269,26.5
331,331,1980,272,26.5
332,332,1980,275,26.6
333,333,1980,278,26.3
334,334,1980,281,26.4
335,335,1980,284,26.5
336,336,1980,287,26.5
337,337,1980,290,26.5
338,338,1980,293,26.5
339,339,1980,296,26.6
340,340,1980,299,26.8
341,341,1980,302,26.9
342,342,1980,305,26.9
343,343,1980,308,27.1
344,344,1980,311,27.0
345,345,1980,314,27.1
346,346,1980,317,26.7
347,347,1980,320,26.4
348,348,1980,323,26.5
349,349,1980,326,26.6
350,350,1980,329,26.6
351,351,1980,332,26.8
352,352,1980,335,26.9
353,353,1980,338,26.6
354,354,1980,341,26.4
355,355,1980,344,26.6
356,356,1980,347,27.1
357,357,1980,350,27.1
358,358,1980,353,27.0
359,359,1980,356,26.9
360,360,1980,361,26.7
361,361,1981,2,26.2
362,362,1981,5,26.2
363,363,1981,8,26.3
364,364,1981,11,26.5
365,365,1981,14,26.4
366,366,1981,17,26.4
367,367,1981,20,26.6
368,368,1981,23,26.7
369,369,1981,26,26.5
370,370,1981,29,26.4
371,371,1981,32,26.3
372,372,1981,35,26.5
373,373,1981,38,26.6
374,374,1981,41,26.7
375,375,1981,44,26.7
376,376,1981,47,27.0
377,377,1981,50,27.1
378,378,1981,53,26.9
379,379,1981,56,26.6
380,380,1981,59,26.4
381,381,1981,62,26.4
382,382,1981,65,26.8
383,383,1981,68,27.1
384,384,1981,71,27.0
385,385,1981,74,27.0
386,386,1981,77,27.0
387,387,1981,80,27.0
388,388,1981,83,27.1
389,389,1981,86,27.1
390,390,1981,89,27.0
391,391,1981,92,27.0
392,392,1981,95,27.1
393,393,1981,98,27.0
394,394,1981,101,27.1
395,395,1981,104,27.0
396,396,1981,107,26.9
397,397,1981,110,26.7
398,398,1981,113,26.7
399,399,1981,116,26.7
400,400,1981,119,26.6
401,401,1981,122,26.4
402,402,1981,125,26.3
403,403,1981,128,26.0
404,404,1981,131,25.7
405,405,1981,134,25.6
406,406,1981,137,25.5
407,407,1981,140,25.4
408,408,1981,143,25.2
409,409,1981,146,24.9
410,410,1981,149,24.4
411,411,1981,152,24.1
412,412,1981,155,24.1
413,413,1981,158,24.0
414,414,1981,161,23.4
415,415,1981,164,22.8
416,416,1981,167,22.4
417,417,1981,170,22.6
418,418,1981,173,22.7
419,419,1981,176,22.3
420,420,1981,179,22.4
421,421,1981,182,23.1
422,422,1981,185,23.4
423,423,1981,188,23.5
424,424,1981,191,23.4
425,425,1981,194,23.3
426,426,1981,197,23.5
427,427,1981,200,23.7
428,428,1981,203,23.7
429,429,1981,206,23.7
430,430,1981,209,24.2
431,431,1981,212,24.7
432,432,1981,215,24.9
433,433,1981,218,24.8
434,434,1981,221,24.6
435,435,1981,224,25.1
436,436,1981,227,25.5
437,437,1981,230,25.6
438,438,1981,233,25.6
439,439,1981,236,25.5
440,440,1981,239,25.6
441,441,1981,242,25.7
442,442,1981,245,25.9
443,443,1981,248,25.7
444,444,1981,251,25.6
445,445,1981,254,25.8
446,446,1981,257,26.3
447,447,1981,260,26.5
448,448,1981,263,26.6
449,449,1981,266,27.0
450,450,1981,269,26.8
451,451,1981,272,26.9
452,452,1981,275,26.9
453,453,1981,278,26.6
454,454,1981,281,27.0
455,455,1981,284,26.6
456,456,1981,287,26.5
457,457,1981,290,26.7
458,458,1981,293,26.7
459,459,1981,296,26.8
460,460,1981,299,26.9
461,461,1981,302,27.3
462,462,1981,305,27.6
463,463,1981,308,27.2
464,464,1981,311,26.9
465,465,1981,314,26.8
466,466,1981,317,27.2
467,467,1981,320,27.3
468,468,1981,323,26.9
469,469,1981,326,27.1
470,470,1981,329,26.8
471,471,1981,332,26.5
472,472,1981,335,26.7
473,473,1981,338,26.8
474,474,1981,341,27.0
475,475,1981,344,26.6
476,476,1981,347,26.5
477,477,1981,350,26.6
478,478,1981,353,26.7
479,479,1981,356,26.6
480,480,1981,360,26.6
481,481,1982,2,26.8
482,482,1982,5,26.8
483,483,1982,8,27.0
484,484,1982,11,27.1
485,485,1982,14,27.0
486,486,1982,17,27.0
487,487,1982,20,26.9
488,488,1982,23,26.9
489,489,1982,26,26.9
490,490,1982,29,26.9
491,491,1982,32,26.8
492,492,1982,35,26.7
493,493,1982,38,26.8
494,494,1982,41,26.9
495,495,1982,44,27.4
496,496,1982,47,27.1
497,497,1982,50,27.1
498,498,1982,53,27.0
499,499,1982,56,27.1
500,500,1982,59,27.3
501,501,1982,62,27.2
502,502,1982,65,26.9
503,503,1982,68,26.9
504,504,1982,71,27.2
505,505,1982,74,27.3
506,506,1982,77,27.1
