threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
244,244,1980,11,6.0
245,245,1980,14,4.6
246,246,1980,17,9.0
247,247,1980,20,7.1
248,248,1980,23,12.8
249,249,1980,26,14.2
250,250,1980,29,14.0
251,251,1980,32,4.1
252,252,1980,35,10.0
253,253,1980,38,9.8
254,254,1980,41,18.9
255,255,1980,44,21.2
256,256,1980,47,8.9
257,257,1980,50,10.5
258,258,1980,53,21.3
259,259,1980,56,9.0
260,260,1980,59,9.3
261,261,1980,62,12.7
262,262,1980,65,23.0
263,263,1980,68,30.4
264,264,1980,71,15.1
265,265,1980,74,18.2
266,266,1980,77,11.2
267,267,1980,80,19.1
268,268,1980,83,24.0
269,269,1980,86,17.7
270,270,1980,89,22.1
271,271,1980,92,39.3
272,272,1980,95,40.0
273,273,1980,98,33.3
274,274,1980,101,36.6
275,275,1980,104,30.1
276,276,1980,107,35.4
277,277,1980,110,13.2
278,278,1980,113,51.9
279,279,1980,116,34.5
280,280,1980,119,40.0
281,281,1980,122,48.1
282,282,1980,125,52.4
283,283,1980,128,45.6
284,284,1980,131,42.9
285,285,1980,134,41.9
286,286,1980,137,34.4
287,287,1980,140,28.2
288,288,1980,143,29.0
289,289,1980,146,37.1
290,290,1980,149,23.4
291,291,1980,152,30.0
292,292,1980,155,24.2
293,293,1980,158,29.6
294,294,1980,161,22.5
295,295,1980,164,45.0
296,296,1980,167,41.3
297,297,1980,170,38.1
298,298,1980,173,38.5
299,299,1980,176,28.9
300,300,1980,179,20.5
301,301,1980,182,35.3
302,302,1980,185,22.3
303,303,1980,188,33.9
304,304,1980,191,40.6
305,305,1980,194,25.0
306,306,1980,197,22.4
307,307,1980,200,40.0
308,308,1980,203,36.1
309,309,1980,206,35.5
310,310,1980,209,37.9
311,311,1980,212,41.6
312,312,1980,215,24.7
313,313,1980,218,41.9
314,314,1980,221,42.9
315,315,1980,224,42.3
316,316,1980,227,40.7
317,317,1980,230,26.8
318,318,1980,233,41.7
319,319,1980,236,26.2
320,320,1980,239,28.9
321,321,1980,242,30.2
322,322,1980,245,22.0
323,323,1980,248,25.4
324,324,1980,251,21.3
325,325,1980,254,37.8
326,326,1980,257,24.6
327,327,1980,260,36.1
328,328,1980,263,21.0
329,329,1980,266,21.6
330,330,1980,269,29.6
331,331,1980,272,12.0
332,332,1980,275,25.4
333,333,1980,278,29.2
334,334,1980,281,26.2
335,335,1980,284,25.2
336,336,1980,287,10.6
337,337,1980,290,25.4
338,338,1980,293,14.3
339,339,1980,296,20.8
340,340,1980,299,9.7
341,341,1980,302,13.3
342,342,1980,305,7.4
343,343,1980,308,9.3
344,344,1980,311,7.2
345,345,1980,314,7.6
346,346,1980,317,14.5
347,347,1980,320,9.1
348,348,1980,323,6.0
349,349,1980,326,4.5
350,350,1980,329,7.7
351,351,1980,332,5.7
352,352,1980,335,5.0
353,353,1980,338,3.2
354,354,1980,341,6.5
355,355,1980,344,4.4
356,356,1980,347,5.7
357,357,1980,350,3.6
358,358,1980,353,7.5
359,359,1980,356,1.9
360,360,1980,361,4.9
361,361,1981,2,10.2
362,362,1981,5,5.9
363,363,1981,8,5.6
364,364,1981,11,8.5
365,365,1981,14,9.7
366,366,1981,17,7.7
367,367,1981,20,6.8
368,368,1981,23,5.8
369,369,1981,26,7.5
370,370,1981,29,7.4
371,371,1981,32,9.5
372,372,1981,35,13.2
373,373,1981,38,16.4
374,374,1981,41,14.5
375,375,1981,44,5.1
376,376,1981,47,8.1
377,377,1981,50,12.2
378,378,1981,53,13.6
379,379,1981,56,12.0
380,380,1981,59,21.8
381,381,1981,62,15.6
382,382,1981,65,22.0
383,383,1981,68,26.4
384,384,1981,71,31.1
385,385,1981,74,17.9
386,386,1981,77,34.5
387,387,1981,80,33.1
388,388,1981,83,24.8
389,389,1981,86,34.4
390,390,1981,89,13.3
391,391,1981,92,26.8
392,392,1981,95,21.4
393,393,1981,98,24.5
394,394,1981,101,22.1
395,395,1981,104,42.6
396,396,1981,107,40.9
397,397,1981,110,38.6
398,398,1981,113,10.7
399,399,1981,116,49.6
400,400,1981,119,14.6
401,401,1981,122,34.9
402,402,1981,125,29.3
403,403,1981,128,33.2
404,404,1981,131,44.9
405,405,1981,134,20.2
406,406,1981,137,32.9
407,407,1981,140,39.7
408,408,1981,143,35.1
409,409,1981,146,36.3
410,410,1981,149,37.7
411,411,1981,152,38.7
412,412,1981,155,19.1
413,413,1981,158,32.1
414,414,1981,161,24.0
415,415,1981,164,23.7
416,416,1981,167,25.6
417,417,1981,170,14.0
418,418,1981,173,22.1
419,419,1981,176,37.4
420,420,1981,179,27.2
421,421,1981,182,25.2
422,422,1981,185,33.1
423,423,1981,188,25.9
424,424,1981,191,25.0
425,425,1981,194,29.7
426,426,1981,197,35.6
427,427,1981,200,30.4
428,428,1981,203,36.5
429,429,1981,206,35.7
430,430,1981,209,35.3
431,431,1981,212,32.8
432,432,1981,215,37.4
