threeday_yrmo,threeday_yr,year,dayofyear,stdfilter_varmixing_m
163,163,1979.0,128.0,0.9
164,164,1979.0,131.0,1.0
165,165,1979.0,134.0,1.0
166,166,1979.0,137.0,1.1
167,167,1979.0,140.0,1.1
168,168,1979.0,143.0,1.0
169,169,1979.0,146.0,0.9
170,170,1979.0,149.0,0.9
171,171,1979.0,152.0,0.8
172,172,1979.0,155.0,0.8
173,173,1979.0,158.0,0.9
174,174,1979.0,161.0,0.9
175,175,1979.0,164.0,1.0
176,176,1979.0,167.0,1.0
177,177,1979.0,170.0,1.0
178,178,1979.0,173.0,0.9
179,179,1979.0,176.0,0.8
180,180,1979.0,179.0,0.8
181,181,1979.0,182.0,0.8
182,182,1979.0,185.0,0.9
183,183,1979.0,188.0,0.9
184,184,1979.0,191.0,1.0
185,185,1979.0,194.0,0.9
186,186,1979.0,197.0,0.9
187,187,1979.0,200.0,0.8
188,188,1979.0,203.0,0.8
189,189,1979.0,206.0,0.7
190,190,1979.0,209.0,0.7
191,191,1979.0,212.0,0.8
192,192,1979.0,215.0,0.8
193,193,1979.0,218.0,0.8
194,194,1979.0,221.0,0.8
195,195,1979.0,224.0,0.8
196,196,1979.0,227.0,0.8
197,197,1979.0,230.0,0.7
198,198,1979.0,233.0,0.7
199,199,1979.0,236.0,0.8
200,200,1979.0,239.0,0.8
201,201,1979.0,242.0,0.9
202,202,1979.0,245.0,1.0
203,203,1979.0,248.0,1.0
204,204,1979.0,251.0,0.9
205,205,1979.0,254.0,0.8
206,206,1979.0,257.0,0.8
207,207,1979.0,260.0,0.7
208,208,1979.0,263.0,0.8
209,209,1979.0,266.0,0.9
210,210,1979.0,269.0,1.0
211,211,1979.0,272.0,1.0
212,212,1979.0,275.0,1.0
213,213,1979.0,278.0,0.9
214,214,1979.0,281.0,0.8
215,215,1979.0,284.0,0.8
216,216,1979.0,287.0,0.8
217,217,1979.0,290.0,0.8
218,218,1979.0,293.0,0.9
219,219,1979.0,296.0,1.0
220,220,1979.0,299.0,1.0
221,221,1979.0,302.0,1.1
222,222,1979.0,305.0,1.1
223,223,1979.0,308.0,1.1
224,224,1979.0,311.0,1.1
225,225,1979.0,314.0,1.1
226,226,1979.0,317.0,1.1
227,227,1979.0,320.0,1.1
228,228,1979.0,323.0,1.1
229,229,1979.0,326.0,1.1
230,230,1979.0,329.0,1.1
231,231,1979.0,332.0,1.2
232,232,1979.0,335.0,1.2
233,233,1979.0,338.0,1.2
234,234,1979.0,341.0,1.2
235,235,1979.0,344.0,1.2
236,236,1979.0,347.0,1.2
237,237,1979.0,350.0,1.2
238,238,1979.0,353.0,1.2
239,239,1979.0,356.0,1.1
240,240,1979.0,361.0,1.1
241,241,1980.0,2.0,1.2
242,242,1980.0,5.0,1.2
243,243,1980.0,8.0,1.2
244,244,1980.0,11.0,1.2
245,245,1980.0,14.0,1.2
246,246,1980.0,17.0,1.2
247,247,1980.0,20.0,1.2
248,248,1980.0,23.0,1.2
249,249,1980.0,26.0,1.2
250,250,1980.0,29.0,1.2
251,251,1980.0,32.0,1.2
252,252,1980.0,35.0,1.1
253,253,1980.0,38.0,1.1
254,254,1980.0,41.0,1.1
255,255,1980.0,44.0,1.1
256,256,1980.0,47.0,1.1
257,257,1980.0,50.0,1.2
258,258,1980.0,53.0,1.2
259,259,1980.0,56.0,1.2
260,260,1980.0,59.0,1.2
261,261,1980.0,62.0,1.1
262,262,1980.0,65.0,1.1
263,263,1980.0,68.0,1.1
264,264,1980.0,71.0,1.1
265,265,1980.0,74.0,1.1
266,266,1980.0,77.0,1.1
267,267,1980.0,80.0,1.1
268,268,1980.0,83.0,1.1
269,269,1980.0,86.0,1.1
270,270,1980.0,89.0,1.1
271,271,1980.0,92.0,1.1
272,272,1980.0,95.0,1.2
273,273,1980.0,98.0,1.2
274,274,1980.0,101.0,1.2
275,275,1980.0,104.0,1.2
276,276,1980.0,107.0,1.2
277,277,1980.0,110.0,1.1
278,278,1980.0,113.0,1.0
279,279,1980.0,116.0,1.0
280,280,1980.0,119.0,0.9
281,281,1980.0,122.0,0.9
282,282,1980.0,125.0,0.9
283,283,1980.0,128.0,0.9
284,284,1980.0,131.0,1.0
285,285,1980.0,134.0,1.0
286,286,1980.0,137.0,1.1
287,287,1980.0,140.0,1.1
288,288,1980.0,143.0,1.0
289,289,1980.0,146.0,0.9
290,290,1980.0,149.0,0.9
291,291,1980.0,152.0,0.8
292,292,1980.0,155.0,0.8
293,293,1980.0,158.0,0.9
294,294,1980.0,161.0,0.9
295,295,1980.0,164.0,1.0
296,296,1980.0,167.0,1.0
297,297,1980.0,170.0,1.0
298,298,1980.0,173.0,0.9
299,299,1980.0,176.0,0.8
300,300,1980.0,179.0,0.8
301,301,1980.0,182.0,0.8
302,302,1980.0,185.0,0.9
303,303,1980.0,188.0,0.9
304,304,1980.0,191.0,1.0
305,305,1980.0,194.0,0.9
306,306,1980.0,197.0,0.9
307,307,1980.0,200.0,0.8
308,308,1980.0,203.0,0.8
309,309,1980.0,206.0,0.7
310,310,1980.0,209.0,0.7
311,311,1980.0,212.0,0.8
312,312,1980.0,215.0,0.8
313,313,1980.0,218.0,0.8
314,314,1980.0,221.0,0.8
315,315,1980.0,224.0,0.8
316,316,1980.0,227.0,0.8
317,317,1980.0,230.0,0.7
318,318,1980.0,233.0,0.7
319,319,1980.0,236.0,0.8
320,320,1980.0,239.0,0.8
321,321,1980.0,242.0,0.9
322,322,1980.0,245.0,1.0
323,323,1980.0,248.0,1.0
324,324,1980.0,251.0,0.9
325,325,1980.0,254.0,0.8
326,326,1980.0,257.0,0.8
327,327,1980.0,260.0,0.7
328,328,1980.0,263.0,0.8
329,329,1980.0,266.0,0.9
330,330,1980.0,269.0,1.0
331,331,1980.0,272.0,1.0
332,332,1980.0,275.0,1.0
333,333,1980.0,278.0,0.9
334,334,1980.0,281.0,0.8
335,335,1980.0,284.0,0.8
336,336,1980.0,287.0,0.8
337,337,1980.0,290.0,0.8
338,338,1980.0,293.0,0.9
339,339,1980.0,296.0,1.0
340,340,1980.0,299.0,1.0
341,341,1980.0,302.0,1.1
342,342,1980.0,305.0,1.1
