Date,Day of Year,Year,Total Biomass (C),N Bound (g m^-2),N Free (g m^-2),PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN
1997-01-26,26,1997,1.6673390002095332,2.8164510138674546,22.183548986132546,0.9300792431493974,0.610931728246077,0.057098569390627574,0.05927782839621013,0.009951631027221117
1997-01-29,29,1997,1.5165758258689477,2.5617834896434926,22.438216510356508,0.8438411558011792,0.5492046123967981,0.047644342636724686,0.06615007488092162,0.009735640153323986
1997-02-01,32,1997,1.7542056354922508,2.9631851950882613,22.03681480491174,0.9933820513059508,0.6259577679746556,0.053680404918795485,0.06936888097310966,0.011816530319739062
1997-02-04,35,1997,2.1565130527781426,3.6427585350982135,21.357241464901787,1.2441744342165175,0.757208620827153,0.066696931970007,0.07288052194382784,0.015552543820637577
1997-02-07,38,1997,2.2973793064314383,3.880708287890943,21.119291712109057,1.2859554705754765,0.8368790294764177,0.07361309212755482,0.08110389380522494,0.019827820446763962
1997-02-10,41,1997,2.517301039355543,4.252197701614093,20.747802298385906,1.4277106680960026,0.8936081295868136,0.08184004145551405,0.08971612040164335,0.024426079815569914
1997-02-13,44,1997,2.5596466494689007,4.323727448427197,20.676272551572804,1.4680563343021105,0.879691282195865,0.08363315375908367,0.10030511797599073,0.027960761235851162
1997-02-16,47,1997,2.5425600283269616,4.294864912714462,20.705135087285537,1.4736816931445644,0.8405251249952136,0.08665723731425011,0.11088361536275666,0.03081235751017647
1997-02-19,50,1997,2.342264658170489,3.956528138801501,21.043471861198498,1.2806314381788364,0.8140587670623133,0.09294972837252435,0.12074245719133683,0.03388226736547812
1997-02-22,53,1997,2.9261806787009235,4.942872768075884,20.057127231924117,1.6982147219046106,0.9317373163295244,0.12987570222818626,0.12460174792498913,0.04175119031361252
1997-02-25,56,1997,3.4665601451195927,5.855675920810122,19.14432407918988,2.073731495974199,1.0537527401492282,0.1557188479686683,0.13261356121807727,0.05074349980941921
1997-02-28,59,1997,3.8032754026915665,6.424451693735754,18.575548306264245,2.2211028216020114,1.1770090656460457,0.1922372302075602,0.14759714126868068,0.0653291439672686
1997-03-03,62,1997,3.2589721398884963,5.505020506568405,19.494979493431593,1.7442958546134661,1.1010963966261667,0.1774464716748247,0.1668788784798586,0.06925453849417984
1997-03-06,65,1997,2.6535212602466345,4.482299426092288,20.51770057390771,1.2823301226462958,0.9761526370948216,0.15047249303392643,0.17726059331084199,0.06730541416074871
1997-03-09,68,1997,2.4450716716711813,4.130188634579698,20.869811365420304,1.0500970991152638,0.9917892810308708,0.1571433110057183,0.1760364829650465,0.07000549755428197
1997-03-12,71,1997,3.126056882802327,5.2805014912201464,19.719498508779854,1.638196227010691,1.0620203342077867,0.18255924128417703,0.16943636069882592,0.07384471960084618
1997-03-15,74,1997,3.6898106750803743,6.232788302500632,18.76721169749937,2.125570271150121,1.1201626879988977,0.1933946914408567,0.17027096523428864,0.08041205925620952
