YEAR,Timestep,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,PINK_H_MT_KM2,SOCKEYE_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,PINK_H_N,SOCKEYE_H_N
Title,1,1,1,1,1,1,1,1,1,1,1
Weight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Type,interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
1959,110,0,0,0,0,0,0,0,0,0,0
1959,111,0,0,0,0,0,0,0,0,0,0
1959,112,0,0,0,0,0,0,0,0,0,0
1959,113,0,0,0,0,0,0,0,0,0,0
1959,114,0,0,0,0,0,0,0,0,0,0
1959,115,0,0,0,0,0,0,0,0,0,0
1959,116,0,0,0,0,0,0,0,0,0,0
1959,117,0,0,0,0,0,0,0,0,0,0
1959,118,0,0,0,0,0,0,0,0,0,0
1959,119,0,0,0,0,0,0,0,0,0,0
1959,120,0,0,0,0,0,0,0,0,0,0
1960,121,0,0,0,0,0,0,0,0,0,0
1960,122,0,0,0,0,0,0,0,0,0,0
1960,123,0,0,0,0,0,0,0,0,0,0
1960,124,0,0,0,0,0,0,0,0,0,0
1960,125,0,0,0,0,0,0,0,0,0,0
1960,126,0,0,0,0,0,0,0,0,0,0
1960,127,0,0,0,0,0,0,0,0,0,0
1960,128,0,0,0,0,0,0,0,0,0,0
1960,129,0,0,0,0,0,0,0,0,0,0
1960,130,0,0,0,0,0,0,0,0,0,0
1960,131,0,0,0,0,0,0,0,0,0,0
1960,132,0,0,0,0,0,0,0,0,0,0
1961,133,0,0,0.00017,0,0,0,0,4550000,0,2109000
1961,134,0,0,0,0,0,0,0,0,0,0
1961,135,0,0,0,0,0,0,0,0,0,0
1961,136,0,0,0,0,0,0,0,0,0,0
1961,137,0,0,0,0,0,0,0,0,0,0
1961,138,0,0,0,0,0,0,0,0,0,0
1961,139,0,0,0,0,0,0,0,0,0,0
1961,140,0,0,0,0,0,0,0,0,0,0
1961,141,0,0,0,0,0,0,0,0,0,0
1961,142,0,0,0,0,0,0,0,0,0,0
1961,143,0,0,0,0,0,0,0,0,0,0
1961,144,0,0,0,0,0,0,0,0,0,0
1962,145,0,0,0.00017,0.0001,0,0,0,4510000,3592000,4006000
1962,146,0,0,0,0,0,0,0,0,0,0
1962,147,0,0,0,0,0,0,0,0,0,0
1962,148,0,0,0.00001,0.00003,0,0,0,28600,1055200,0
1962,149,0,0,0,0,0,0,0,0,0,0
1962,150,0,0,0,0,0,0,0,0,0,0
1962,151,0,0,0,0,0,0,0,0,0,0
1962,152,0,0,0,0,0,0,0,0,0,0
1962,153,0,0,0,0,0,0,0,0,0,0
1962,154,0,0,0,0,0,0,0,0,0,0
1962,155,0,0,0,0,0,0,0,0,0,0
1962,156,0,0,0,0,0,0,0,0,0,0
1963,157,0,0,0.00025,0,0,0,0,6840000,0,2297000
1963,158,0,0,0,0,0,0,0,0,0,0
1963,159,0,0,0,0,0,0,0,0,0,0
1963,160,0,0,0,0,0,0,0,0,0,0
1963,161,0,0,0,0,0,0,0,0,0,0
1963,162,0,0,0,0,0,0,0,0,0,0
1963,163,0,0,0,0,0,0,0,0,0,0
1963,164,0,0,0,0,0,0,0,0,0,0
1963,165,0,0,0,0,0,0,0,0,0,0
1963,166,0,0,0,0,0,0,0,0,0,0
1963,167,0,0,0,0,0,0,0,0,0,0
1963,168,0,0,0,0,0,0,0,0,0,0
1964,169,0,0,0.00076,0.0001,0.00003,0,0,20930000,3480325,3026000
1964,170,0,0,0,0,0,0,0,0,0,0
1964,171,0,0,0,0,0,0,0,0,0,0
1964,172,0,0,0.00001,0.00003,0,0,0,99700,1055400,0
1964,173,0,0,0,0,0,0,0,0,0,0
1964,174,0,0,0,0,0,0,0,0,0,0
1964,175,0,0,0,0,0,0,0,0,0,0
1964,176,0,0,0,0,0,0,0,0,0,0
1964,177,0,0,0,0,0,0,0,0,0,0
1964,178,0,0,0,0,0,0,0,0,0,0
1964,179,0,0,0,0,0,0,0,0,0,0
1964,180,0,0,0,0,0,0,0,0,0,0
1965,181,0,0,0.00056,0,0.00004,0,0,15360000,0,4188000
1965,182,0,0,0,0,0,0,0,0,0,0
1965,183,0,0,0,0,0,0,0,0,0,0
1965,184,0,0,0,0,0,0,0,0,0,0
1965,185,0,0,0,0,0,0,0,0,0,0
1965,186,0,0,0,0,0,0,0,0,0,0
1965,187,0,0,0,0,0,0,0,0,0,0
1965,188,0,0,0,0,0,0,0,0,0,0
1965,189,0,0,0,0,0,0,0,0,0,0
1965,190,0,0,0,0,0,0,0,0,0,0
1965,191,0,0,0,0,0,0,0,0,0,0
1965,192,0,0,0,0,0,0,0,0,0,0
1966,193,0,0,0.00004,0.00009,0.00014,0,0,982000,2724000,12454000
1966,194,0,0,0,0,0,0,0,0,0,0
1966,195,0,0,0,0,0,0,0,0,0,0
1966,196,0,0,0.00001,0.00004,0,0,0,43900,1267800,0
1966,197,0,0,0.00033,0,0,0,0,10274000,0,0
1966,198,0,0,0,0,0,0,0,0,0,0
1966,199,0,0,0,0,0,0,0,0,0,0
1966,200,0,0,0,0,0,0,0,0,0,0
1966,201,0,0,0,0,0,0,0,0,0,0
1966,202,0,0,0,0,0,0,0,0,0,0
1966,203,0,0,0,0,0,0,0,0,0,0
1966,204,0,0,0,0,0,0,0,0,0,0
1967,205,0,0,0.00001,0,0.0002,0,0,227000,0,21758000
1967,206,0,0,0,0,0,0,0,0,0,0
1967,207,0,0,0,0,0,0,0,0,0,0
1967,208,0,0,0,0,0,0,0,0,0,0
1967,209,0,0,0.00069,0,0,0,0,21840000,0,0
1967,210,0,0,0,0,0,0,0,0,0,0
1967,211,0,0,0,0,0,0,0,0,0,0
1967,212,0,0,0,0,0,0,0,0,0,0
1967,213,0,0,0,0,0,0,0,0,0,0
1967,214,0,0,0,0,0,0,0,0,0,0
1967,215,0,0,0,0,0,0,0,0,0,0
1967,216,0,0,0,0,0,0,0,0,0,0
1968,217,0,0,0.00002,0.00034,0.00011,0,0,471000,12192424,11860000
1968,218,0,0,0,0,0,0,0,0,0,0
1968,219,0,0,0,0,0,0,0,0,0,0
1968,220,0,0,0.00108,0.00001,0,0,0,33769900,281000,0
1968,221,0,0,0,0,0,0,0,0,0,0
1968,222,0.00013,0.00002,0.00002,0,0,173806,6995,176000,0,0
1968,223,0.00007,0,0,0,0,103824,0,0,0,0
1968,224,0,0,0,0,0,0,0,0,0,0
1968,225,0,0,0,0,0,0,0,0,0,0
1968,226,0,0,0,0,0,0,0,0,0,0
1968,227,0,0,0,0,0,0,0,0,0,0
1968,228,0,0,0,0,0,0,0,0,0,0
1969,229,0,0,0.0001,0,0.00008,0,0,2703000,0,13584000
1969,230,0,0,0,0,0,0,0,0,0,0
1969,231,0,0,0,0,0,0,0,0,0,0
1969,232,0,0,0,0,0.00009,0,0,0,0,7645000
1969,233,0,0,0.00168,0,0,0,0,49674200,0,0
1969,234,0,0,0,0,0,0,0,0,0,0
1969,235,0.00011,0,0.00034,0,0,192999,0,2013800,0,0
1969,236,0.00025,0,0,0,0,408503,0,0,0,0
1969,237,0,0,0,0,0,0,0,0,0,0
1969,238,0,0,0,0,0,0,0,0,0,0
1969,239,0,0,0,0,0,0,0,0,0,0
1969,240,0,0,0,0,0,0,0,0,0,0
1970,241,0,0,0.00012,0.00037,0.00046,0,0,3230000,13439500,46013000
1970,242,0,0,0,0,0,0,0,0,0,0
1970,243,0.00001,0,0,0,0,1646,0,0,0,0
1970,244,0.00001,0.00058,0.00193,0.00001,0.00001,816,315972,61419400,145700,374000
1970,245,0,0.00013,0,0,0,0,69118,0,0,0
1970,246,0,0,0.00042,0,0,0,0,1601100,0,0
1970,247,0.00005,0,0,0,0,67326,0,0,0,0
1970,248,0,0,0,0,0,0,0,0,0,0
1970,249,0,0,0,0,0,0,0,0,0,0
1970,250,0,0,0,0,0,0,0,0,0,0
1970,251,0,0,0,0,0,0,0,0,0,0
1970,252,0,0,0,0,0,0,0,0,0,0
1971,253,0,0,0.00005,0,0.00013,0,0,1240000,0,14182000
1971,254,0,0,0,0,0,0,0,0,0,0
