time,biomass,climatology,anomaly,interannual_multiplier,seasonal_shape,final_forcing_multiplier
1996-01-01,0.40798404221597534,0.5004507652334576,-0.09246672301748221,0.6137218918707523,0.4398345945706438,0.2699361194901008
1996-02-01,0.8290699082788121,0.8016889321308309,0.027380976147981184,1.1143835459938876,0.7045858472632078,0.7851788749302812
1996-03-01,1.0682113652412895,1.0719942906520665,-0.0037829254107770716,0.9841968956703185,0.9421509706175478,0.9272620605345681
1996-04-01,1.1077682127706185,1.2334795924070188,-0.12571137963640022,0.47484292390154886,1.0840766647332793,0.5147661332153894
1996-05-01,1.3550664102810461,1.3612172026200013,-0.006150792338955213,0.9743051732487774,1.196342293847146,1.1656024858715832
1996-06-01,1.5360269375968245,1.4696619808186095,0.06636495677821497,1.2772384390168279,1.2916518994384922,1.6497474557919405
1996-07-01,1.5395583328021938,1.6083335551019071,-0.06877522229971333,0.7126927191841875,1.4135271365058477,1.007410498556991
1996-08-01,1.6130304615427538,1.643837416323002,-0.030806954780248308,0.871304488561926,1.4447306583919377,1.2588003074199219
1996-09-01,1.4930084378523667,1.5362441814182994,-0.04323574356593274,0.8193834421378574,1.3501694544925333,1.1063064950914852
1996-10-01,1.209210407369383,1.2394164198641537,-0.03020601249477073,0.8738149143838215,1.089294404976771,0.9518416972235529
1996-11-01,0.6551135723532877,0.7135289325417087,-0.05841536018842097,0.7559708608360042,0.6271040640981026,0.4740723991699994
1996-12-01,0.3890841183834827,0.47393671678996363,-0.0848525984064809,0.645529763435984,0.4165320110644913,0.2688838105659757
1997-01-01,0.4413589483940372,0.5004507652334576,-0.05909181683942033,0.7531449750810815,0.4398345945706438,0.3312592147677051
1997-02-01,0.7958963686843774,0.8016889321308309,-0.005792563446453514,0.9758016681429096,0.7045858472632078,0.6875360451093235
1997-03-01,0.976203716405136,1.0719942906520665,-0.0957905742469305,0.5998365618545517,0.9421509706175478,0.5651365989631586
1997-04-01,1.2261882020951285,1.2334795924070188,-0.0072913903118903,0.9695403452896626,1.0840766647332793,1.0510560638459694
1997-05-01,1.3638093326712573,1.3612172026200013,0.0025921300512559142,1.0108285776715022,1.196342293847146,1.209296979297773
1997-06-01,1.3595832680073674,1.4696619808186095,-0.11007871281124215,0.5401481144520481,1.2916518994384922,0.6976833380101081
1997-07-01,1.554355325565556,1.6083335551019071,-0.05397822953635112,0.7745068960481505,1.4135271365058477,1.0947865149749745
1997-08-01,1.6364199192207516,1.643837416323002,-0.007417497102250481,0.9690135363922242,1.4447306583919377,1.399963564422638
1997-09-01,1.4531629343525618,1.5362441814182994,-0.0830812470657376,0.6529295524887999,1.3501694544925333,0.8815655377058569
