YEAR,Timestep,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,PINK_H_MT_KM2,SOCKEYE_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,PINK_H_N,SOCKEYE_H_N,COHO_H_N_adj,COHO_H_MT_KM2_adj,CHIN_H_N_adj,CHIN_H_MT_KM2_adj,PINK_H_N_adj,PINK_H_MT_KM2_adj,SOCKEYE_H_N_adj,SOCKEYE_H_MT_KM2_adj,CHUM_H_N_adj,CHUM_H_MT_KM2_adj,COHO_H_MT_KM2_rel1950,CHIN_H_MT_KM2_rel1950,PINK_H_MT_KM2_rel1950,SOCKEYE_H_MT_KM2_rel1950,CHUM_H_MT_KM2_rel1950
1950,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,10,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,11,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1950,12,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1951,13,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1951,14,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1951,15,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1951,16,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
1951,17,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,258333.33333333334,0.0008166666666666667,583333.3333333334,1.105e-06,3783333.3333333335,5.6666666666666664e-05,1100000.0,0.0011,1366666.6666666667,5.333333333333334e-05,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0000000000000002
