,Title,YEAR_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_,CHIN_H_N_,COHO_H_N_,CHUM_H_N_,SOCKEYE_H_N_,PINK_H_N_,COHO_H_N_adj,COHO_H_MT_KM2_adj,CHIN_H_N_adj,CHIN_H_MT_KM2_adj,PINK_H_N_adj,PINK_H_MT_KM2_adj,SOCKEYE_H_N_adj,SOCKEYE_H_MT_KM2_adj,CHUM_H_N_adj,CHUM_H_MT_KM2_adj
20,20,1970.0,5e-06,5.833333333333333e-05,0.0002041666666666,3.833333333333333e-05,3.0833333333333335e-05,69788.0,385090.0,66250500.0,46387000.0,13585200.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,46387000.0,0.046387000000000005,66250500.0,0.002585385365853659
21,21,1971.0,2.833333333333333e-05,9.666666666666668e-05,0.0001308333333333,1.1666666666666666e-05,0.0,575466.0,649247.0,49633026.0,14207000.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,14207000.0,0.014207000000000001,49633026.0,0.0019368985756097563
22,22,1972.0,4.666666666666667e-05,0.0001458333333333,0.0001033333333333,8.333333333333334e-06,4.333333333333334e-05,988239.0,982144.0,39342132.0,16769000.0,19148486.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,16769000.0,0.016769000000000003,39342132.0,0.001535302712195122
23,23,1973.0,4.333333333333334e-05,8.5e-05,0.0001541666666666,2.583333333333333e-05,0.0,925129.0,569181.0,57079285.0,33340000.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,33340000.0,0.03334,57079285.0,0.002227484292682927
24,24,1974.0,3.75e-05,6.666666666666667e-05,0.00016,4.916666666666667e-05,5.083333333333334e-05,807162.0,446236.0,60666544.0,55624000.0,22833819.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,55624000.0,0.05562400000000001,60666544.0,0.0023674748878048783
25,25,1975.0,1.3333333333333332e-05,0.000135,0.0001908333333333,4.25e-05,0.0,284019.0,899407.0,72343153.0,59019000.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,59019000.0,0.059019,72343153.0,0.0028231474341463415
26,26,1976.0,7.666666666666667e-05,0.0001,0.0001683333333333,4.5e-05,5.75e-05,1666042.0,672372.0,63591983.0,49987000.0,25496967.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,49987000.0,0.049987000000000004,63591983.0,0.00248163836097561
27,27,1977.0,9.75e-05,0.0003033333333333,0.0001633333333333,7.75e-05,0.0,2113958.0,2037591.0,61264240.0,96997000.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,96997000.0,0.096997,61264240.0,0.002390799609756098
28,28,1978.0,0.0002108333333333,0.0003691666666666,0.00014,4.083333333333333e-05,6.916666666666666e-05,4587342.0,2487379.0,52820525.0,47162000.0,31029220.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,47162000.0,0.047162,52820525.0,0.002061288780487805
29,29,1979.0,0.0001646153846153,0.0002446153846153,0.0001323076923076,4.538461538461539e-05,0.0,3844253.0,1766533.0,51188024.0,65131000.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,65131000.0,0.06513100000000001,51188024.0,0.001997581424390244
30,30,1980.0,0.0002953846153846,0.0006246153846153,0.0002138461538461,4.9230769230769225e-05,5.307692307692308e-05,6930550.0,4561348.0,77573891.0,61074000.0,24726864.0,4561348.0,0.016185428387096773,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,61074000.0,0.061074,77573891.0,0.0030272737951219514
31,31,1981.0,0.0004041666666666,0.0006583333333333,0.0003158333333333,7.166666666666667e-05,5e-06,8749515.0,4427696.0,88230335.0,72095000.0,1515947.0,4427696.0,0.01571117935483871,8749515.0,1.5674131157142858e-05,45400000.0,0.0006799999999999999,72095000.0,0.072095,88230335.0,0.003443135024390244
32,32,1982.0,0.00031,0.0011061538461538,0.000256923076923,4.307692307692309e-05,5.923076923076924e-05,7274729.0,8070764.0,77828874.0,54360000.0,28162968.0,8070764.0,0.028638194838709677,7274729.0,1.3032157380000001e-05,45400000.0,0.0006799999999999999,54360000.0,0.054360000000000006,77828874.0,0.0030372243512195125
33,33,1983.0,0.0004592307692307,0.0012592307692307,0.00052,5.769230769230769e-05,7.692307692307693e-07,10804773.0,9196999.0,129880262.0,64472800.0,52067.0,9196999.0,0.03263451258064516,10804773.0,1.935597906e-05,45400000.0,0.0006799999999999999,64472800.0,0.06447280000000001,129880262.0,0.005068498029268293
34,34,1984.0,0.0005330769230769,0.001386923076923,0.0004838461538461,5.384615384615385e-05,4.538461538461539e-05,12547973.0,10138055.0,125507928.0,63186000.0,21335310.0,10138055.0,0.035973743548387095,12547973.0,2.2478797345714286e-05,45400000.0,0.0006799999999999999,63186000.0,0.063186,125507928.0,0.00489787036097561
35,35,1985.0,0.0006608333333333,0.002755,0.0004516666666666,6.916666666666666e-05,0.0,14370434.0,18606329.0,98442769.0,71937000.0,0.0,18606329.0,0.06602245774193549,14370434.0,2.5743606051428573e-05,45400000.0,0.0006799999999999999,71937000.0,0.071937,98442769.0,0.003841669034146342
36,36,1986.0,0.0008523076923076,0.0019661538461538,0.0004346153846153,2.846153846153846e-05,5.0769230769230766e-05,20076246.0,14380650.0,92305117.0,31417625.0,21716230.0,14380650.0,0.05102811290322581,20076246.0,3.596516069142857e-05,45400000.0,0.0006799999999999999,31417625.0,0.031417625000000005,92305117.0,0.0036021509073170736
37,37,1987.0,0.0011376923076923,0.00175,0.0005461538461538,3.76923076923077e-05,1.6923076923076924e-05,26832445.0,12794648.0,139905816.0,33075261.0,4747923.0,12794648.0,0.04540036387096774,26832445.0,4.806840861428572e-05,45400000.0,0.0006799999999999999,33075261.0,0.033075261,139905816.0,0.00545973916097561
38,38,1988.0,0.0014107692307692,0.0015215384615384,0.00053,6e-05,8.846153846153847e-05,33270881.0,11115579.0,146678237.0,56594646.0,40123272.0,11115579.0,0.039442377096774194,33270881.0,5.9602406820000006e-05,45400000.0,0.0006799999999999999,56594646.0,0.056594646000000005,146678237.0,0.005724028760975611
39,39,1989.0,0.0013638461538461,0.0015384615384615,0.0005761538461538,5.153846153846154e-05,9.23076923076923e-06,32180595.0,11238778.0,161437059.0,52413890.0,4761590.0,11238778.0,0.03987953483870968,32180595.0,5.764923732857143e-05,45400000.0,0.0006799999999999999,52413890.0,0.052413890000000005,161437059.0,0.006299982790243903
40,40,1990.0,0.0012753846153846,0.0017730769230769,0.0005161538461538,8.461538461538461e-05,0.0001,30065616.0,12958779.0,133965943.0,64186394.0,42934581.0,12958779.0,0.04598276419354839,30065616.0,5.386040352e-05,45400000.0,0.0006799999999999999,64186394.0,0.06418639400000001,133965943.0,0.005227939239024391
41,41,1991.0,0.0014084615384615,0.0017646153846153,0.0005392307692307,6.461538461538462e-05,1.7692307692307694e-05,33204686.0,12907568.0,157213280.0,45233191.0,6420670.0,12907568.0,0.04580104774193548,33204686.0,5.948382320571429e-05,45400000.0,0.0006799999999999999,45233191.0,0.045233191000000006,157213280.0,0.006135152390243903
42,42,1992.0,0.0011661538461538,0.0018453846153846,0.0005115384615384,0.0001184615384615,8.615384615384617e-05,27483294.0,13497141.0,133624030.0,91189098.0,46245503.0,13497141.0,0.04789308096774194,27483294.0,4.923435810857143e-05,46245503.0,0.000692663921585903,91189098.0,0.09118909800000001,133624030.0,0.0052145962926829275
43,43,1993.0,0.001106923076923,0.0016438461538461,0.0006153846153846,0.0001099999999999,1.3846153846153848e-05,26055396.0,12011995.0,178627153.0,77503119.0,6523082.0,12011995.0,0.04262320806451613,26055396.0,4.6676380834285716e-05,45400000.0,0.0006799999999999999,77503119.0,0.07750311900000001,178627153.0,0.006970815726829269
44,44,1994.0,0.0009661538461538,0.0017761538461538,0.0005946153846153,9.923076923076922e-05,5.692307692307692e-05,22782777.0,12969641.0,164081087.0,62575414.0,35785922.0,12969641.0,0.04602130677419355,22782777.0,4.081371765428572e-05,45400000.0,0.0006799999999999999,62575414.0,0.06257541400000001,164081087.0,0.006403164370731708
