time,biomass,climatology,anomaly,interannual_multiplier,seasonal_shape,final_forcing_multiplier
1983-06-01,0.572557375547613,0.6045549204646248,-0.03199754491701179,0.8599468302103068,1.5189575787703562,1.3062227550874903
1983-07-01,0.5510135243157935,0.7200443831172009,-0.16903085880140734,0.2601523764148225,1.8091274022653439,0.4706487929365037
1983-08-01,0.719984651013469,0.7801687955981748,-0.06018414458470578,0.7365741577352113,1.9601913154279433,1.4438262671612132
1983-09-01,0.6043245559888528,0.6533651434186079,-0.049040587429755034,0.7853494780396673,1.6415943410688805,1.289225258911317
1983-10-01,0.4071345427599117,0.4045212331890169,0.002613309570894784,1.0114384491058552,1.0163685252181187,1.0279942048666193
1983-11-01,0.16309777869453243,0.173613005987754,-0.010515227293221574,0.9539748778447121,0.43620650877430595,0.41613005092303684
1983-12-01,0.0968541824697633,0.08848420651126372,0.008369975958499573,1.0366353627158489,0.22231852149755169,0.23046324117106573
1984-01-01,0.049305085917951755,0.06786037458178666,-0.018555288663834907,0.9187835504107316,0.170500688655352,0.15665322807023907
1984-02-01,0.11065880379808468,0.11201303995450763,-0.0013542361564229527,0.9940725119116871,0.28143523474963084,0.27976703074802084
1984-03-01,0.1961656514936426,0.2166760407400114,-0.020510389246368804,0.9102260803125813,0.544403333889089,0.495530112714967
1984-04-01,0.3586454093833704,0.39948471887840664,-0.040839309495036225,0.8212464499499392,1.003714171868704,0.8242967004116163
1984-05-01,0.5017113434921985,0.5552915915770583,-0.05358024808485984,0.7654793953140717,1.3951823778147232,1.067983362922463
1984-06-01,0.6919090093601318,0.6045549204646248,0.087354088895507,1.382348616921605,1.5189575787703562,2.0997289081757917
1984-07-01,0.7044509373718482,0.7200443831172009,-0.015593445745352708,0.9317475290606075,1.8091274022653439,1.68564998681657
1984-08-01,0.7400887621209977,0.7801687955981748,-0.040080033477177035,0.8245697990794513,1.9601913154279433,1.6163145591197046
1984-09-01,0.5622454774476353,0.6533651434186079,-0.09111966597097254,0.6011694621412057,1.6415943410688805,0.9868763870744258
1984-10-01,0.3319346694433745,0.4045212331890169,-0.07258656374564237,0.6822888017475991,1.0163685252181187,0.6934568632050446
