Month,SalinVertMean
1,10.398339485235436
2,10.382354349561053
3,10.374373004788508
4,10.364351057462091
5,10.328318036711892
6,10.275407023144453
7,10.27118565442937
8,10.325857442138865
9,10.399150538707103
10,10.45156823623304
11,10.449033320031923
12,10.42391211093376
