Date,SalinVertMean10m
1979-01-15,26.379728651237027
1979-02-15,26.41426576217079
1979-03-15,26.530087789305664
1979-04-15,26.529209896249007
1979-05-15,25.164345570630488
1979-06-15,23.18172386272945
1979-07-15,22.9640263367917
1979-08-15,24.749960095770152
1979-09-15,25.68158419792498
1979-10-15,26.287170790103747
1979-11-15,26.421767757382288
1979-12-15,26.38359936153232
1980-01-15,26.44900239425379
1980-02-15,26.493894652833198
1980-03-15,26.54864325618516
1980-04-15,26.47970869912211
1980-05-15,24.78697126895451
1980-06-15,23.610454908220273
1980-07-15,23.64756584197925
1980-08-15,25.023762968874703
1980-09-15,25.633679169992018
1980-10-15,25.921009577015163
1980-11-15,26.042378292098963
1980-12-15,26.034736632083
1981-01-15,25.714265762170793
1981-02-15,25.975837988826814
1981-03-15,26.204249800478852
1981-04-15,26.112809257781322
1981-05-15,24.812430167597768
1981-06-15,22.610255387071028
1981-07-15,23.2023942537909
1981-08-15,24.68749002394254
1981-09-15,25.638208300079807
1981-10-15,26.10925778132482
1981-11-15,26.21604150039904
1981-12-15,25.947645650438947
1982-01-15,26.18798882681564
1982-02-15,26.23683160415004
1982-03-15,26.333998403830805
1982-04-15,26.420650438946527
1982-05-15,25.44499201915403
1982-06-15,23.4731843575419
1982-07-15,22.338447725458895
1982-08-15,23.210534716679966
1982-09-15,24.68066640063847
1982-10-15,25.75592577813248
1982-11-15,25.84523144453312
1982-12-15,26.31845570630487
1983-01-15,26.317278531524344
1983-02-15,26.34712689545092
1983-03-15,26.266719872306464
1983-04-15,26.13497605746209
1983-05-15,25.102833200319235
1983-06-15,23.436412609736628
1983-07-15,22.891201117318438
1983-08-15,24.029708699122107
1983-09-15,25.329150039904228
1983-10-15,26.10548683160415
1983-11-15,26.03208300079808
1983-12-15,25.78992418196329
1984-01-15,25.78876695929769
1984-02-15,26.09046288906624
1984-03-15,25.964664804469272
1984-04-15,25.995849960095768
1984-05-15,25.061332801276933
1984-06-15,23.93409816440543
1984-07-15,23.25612529928172
1984-08-15,24.316959297685553
1984-09-15,25.35191540303272
1984-10-15,25.795351157222665
1984-11-15,25.985015961691943
1984-12-15,26.03198324022346
1985-01-15,26.332821229050282
1985-02-15,26.657222665602553
1985-03-15,26.98343974461293
1985-04-15,26.66498403830806
1985-05-15,25.471827613727054
1985-06-15,23.482102952913014
1985-07-15,24.422585794094175
1985-08-15,25.459956105347164
1985-09-15,26.17677573822825
1985-10-15,26.77581803671189
1985-11-15,26.154090183559454
1985-12-15,26.35826017557861
1986-01-15,26.818754988028733
1986-02-15,26.678611332801278
1986-03-15,26.564185953711096
1986-04-15,26.218016759776532
1986-05-15,25.20091779728651
1986-06-15,23.680646448523543
1986-07-15,23.23709098164406
1986-08-15,24.998084596967278
1986-09-15,25.952513966480446
1986-10-15,26.422366320830008
1986-11-15,26.701496408619313
1986-12-15,26.67651636073424
1987-01-15,26.609297685554665
1987-02-15,26.46821628092578
1987-03-15,26.401995211492416
1987-04-15,26.09770550678372
1987-05-15,25.259177972865125
1987-06-15,24.060794094173986
1987-07-15,24.26807661612131
1987-08-15,25.237669592976854
1987-09-15,26.227474062250593
1987-10-15,26.924102154828415
1987-11-15,26.895291300877897
1987-12-15,26.890143655227455
1988-01-15,26.82258579409417
1988-02-15,26.683699122106944
1988-03-15,26.804748603351953
1988-04-15,26.44790502793296
1988-05-15,24.42027134876297
1988-06-15,22.758419792498007
1988-07-15,23.162011173184357
1988-08-15,24.784557063048684
1988-09-15,25.8683160415004
1988-10-15,26.392877094972068
1988-11-15,26.525498802873102
1988-12-15,26.392697525937745
1989-01-15,26.563208300079808
1989-02-15,26.538028731045486
1989-03-15,26.60692338387869
1989-04-15,26.647286512370314
1989-05-15,25.233120510774143
1989-06-15,24.090003990422986
1989-07-15,24.044832402234636
1989-08-15,24.561951316839586
1989-09-15,25.89800478850758
1989-10-15,26.834138068635276
1989-11-15,26.259477254588987
1989-12-15,26.044573024740625
1990-01-15,26.41941340782123
1990-02-15,26.72843176376696
1990-03-15,26.76430566640064
1990-04-15,26.525219473264166
1990-05-15,24.982043096568237
1990-06-15,22.58669193934557
1990-07-15,23.13693136472466
1990-08-15,24.588387869114126
1990-09-15,25.677414205905826
1990-10-15,26.598004788507584
1990-11-15,26.116101356743815
1990-12-15,26.101596169193932
1991-01-15,26.262090981644054
1991-02-15,26.229628890662408
1991-03-15,26.29640861931365
1991-04-15,26.45117717478053
1991-05-15,24.839604948124503
1991-06-15,23.60450917797286
1991-07-15,23.781504389465287
1991-08-15,24.532222665602557
1991-09-15,25.34183958499601
1991-10-15,26.50600558659218
1991-11-15,26.525019952114928
1991-12-15,26.579130087789306
1992-01-15,26.470670391061454
1992-02-15,26.32118914604948
1992-03-15,26.30383080606544
1992-04-15,26.108220271348763
1992-05-15,25.10067837190742
1992-06-15,24.28459696727853
1992-07-15,24.079529130087792
1992-08-15,25.192877094972065
1992-09-15,26.217238627294492
1992-10-15,26.537789305666404
1992-11-15,26.160494812450114
1992-12-15,26.423403830806066
1993-01-15,26.56735833998404
1993-02-15,26.58320031923384
1993-03-15,26.71669992019154
1993-04-15,26.23896648044693
1993-05-15,24.596608140462887
1993-06-15,23.561572226656025
1993-07-15,23.850039904229845
1993-08-15,24.502134876296886
1993-09-15,25.673244213886676
1993-10-15,26.578312051077415
1993-11-15,26.759557063048682
1993-12-15,26.76975259377494
1994-01-15,26.607142857142858
1994-02-15,26.839385474860336
1994-03-15,26.67114924181963
1994-04-15,26.085375099760576
1994-05-15,24.59008379888268
