Date,MixingTurboZ
1979-01-15,16.730446927374302
1979-02-15,14.941181165203513
1979-03-15,15.207302474062251
1979-04-15,13.488607342378291
1979-05-15,12.676077414205906
1979-06-15,11.738707102952914
1979-07-15,11.12108938547486
1979-08-15,11.103790901835595
1979-09-15,11.587490023942538
1979-10-15,12.111871508379888
1979-11-15,15.12102952913009
1979-12-15,15.935514764565042
1980-01-15,17.709337589784518
1980-02-15,15.623782920989624
1980-03-15,15.211632083000797
1980-04-15,13.901755786113329
1980-05-15,12.440303272146847
1980-06-15,11.75658419792498
1980-07-15,11.354449321628092
1980-08-15,11.224700718276136
1980-09-15,11.67743415802075
1980-10-15,11.99780526735834
1980-11-15,14.499221867517958
1980-12-15,15.244413407821229
1981-01-15,14.580526735833999
1981-02-15,15.625379090183559
1981-03-15,13.204209896249003
1981-04-15,14.029189944134078
1981-05-15,12.424421388667199
1981-06-15,12.213926576217077
1981-07-15,11.179708699122106
1981-08-15,11.319054269752595
1981-09-15,11.72476057462091
1981-10-15,13.042657621707901
1981-11-15,15.444592976855548
1981-12-15,16.375179569034316
1982-01-15,16.254569034317637
1982-02-15,17.69618914604948
1982-03-15,14.487988826815643
1982-04-15,14.43940542697526
1982-05-15,12.226097366320829
1982-06-15,11.413128491620112
1982-07-15,11.184377494014365
1982-08-15,10.921947326416602
1982-09-15,11.024521149241819
1982-10-15,12.714066241021547
1982-11-15,14.151935355147646
1982-12-15,17.712649640861933
1983-01-15,17.166280925778135
1983-02-15,17.44684756584198
1983-03-15,15.077653631284916
1983-04-15,13.503611332801277
1983-05-15,12.312509976057461
1983-06-15,12.133160415003989
1983-07-15,11.48178371907422
1983-08-15,11.006624102154827
1983-09-15,11.543076616121308
1983-10-15,12.49852354349561
1983-11-15,17.474501197126894
1983-12-15,17.187051077414207
1984-01-15,15.322266560255386
1984-02-15,16.742198723064643
1984-03-15,14.663088587390263
1984-04-15,14.605067837190743
1984-05-15,13.10033918595371
1984-06-15,11.805446927374302
1984-07-15,11.511252992817237
1984-08-15,11.324381484437351
1984-09-15,11.39880287310455
1984-10-15,13.032801276935357
1984-11-15,14.816640063846767
1984-12-15,15.300578611332801
1985-01-15,14.145131683958498
1985-02-15,16.067677573822824
1985-03-15,15.099920191540301
1985-04-15,13.565822027134875
1985-05-15,12.495430965682363
1985-06-15,11.687609736632082
1985-07-15,11.562809257781325
1985-08-15,11.54094173982442
1985-09-15,11.633240223463686
1985-10-15,13.928531524341581
1985-11-15,14.632442138866718
1985-12-15,14.414185953711092
1986-01-15,17.682681564245808
1986-02-15,15.9462889066241
1986-03-15,16.000039904229844
1986-04-15,13.961891460494812
1986-05-15,13.085694333599362
1986-06-15,11.631205107741419
1986-07-15,11.212589784517158
1986-08-15,10.944493216280927
1986-09-15,11.473244213886671
1986-10-15,11.914465283320032
1986-11-15,15.523463687150839
1986-12-15,17.011272944932163
1987-01-15,18.652214684756583
1987-02-15,16.543515562649638
1987-03-15,15.226177174780524
1987-04-15,13.553810853950518
1987-05-15,12.546548284118115
1987-06-15,12.029229848363926
1987-07-15,11.534796488427773
1987-08-15,11.183938547486035
1987-09-15,11.556344772545888
1987-10-15,12.322306464485235
1987-11-15,15.567797286512368
1987-12-15,18.903551476456506
1988-01-15,18.646887470071825
1988-02-15,16.26165203511572
1988-03-15,15.91763766959298
1988-04-15,14.157681564245808
1988-05-15,13.139066241021549
1988-06-15,12.238387869114126
1988-07-15,11.61769752593775
1988-08-15,11.242358339984039
1988-09-15,11.564205905826018
1988-10-15,12.148084596967278
1988-11-15,16.022047086991222
1988-12-15,14.767577813248206
1989-01-15,15.768335993615322
1989-02-15,15.428790901835596
1989-03-15,14.804928172386271
1989-04-15,14.074421388667199
1989-05-15,12.569114126097366
1989-06-15,11.836013567438147
1989-07-15,11.924581005586592
1989-08-15,11.564205905826018
1989-09-15,11.118375897845173
1989-10-15,13.187649640861931
1989-11-15,13.436731843575417
1989-12-15,14.320590582601756
1990-01-15,15.766799680766164
1990-02-15,16.95185554668795
1990-03-15,14.389884277733438
1990-04-15,13.02356344772546
1990-05-15,12.538627294493217
1990-06-15,11.845051875498802
1990-07-15,11.006125299281724
1990-08-15,11.22256584197925
1990-09-15,11.104130087789304
1990-10-15,13.543675179569034
1990-11-15,14.869792498004788
1990-12-15,16.937330407023147
1991-01-15,14.999102154828412
1991-02-15,15.401695929768556
1991-03-15,14.400937749401436
1991-04-15,13.685275339185955
1991-05-15,12.188447725458898
1991-06-15,11.941101356743815
1991-07-15,11.167996807661613
1991-08-15,11.394253790901836
1991-09-15,11.126596169193935
1991-10-15,12.277234636871508
1991-11-15,15.143016759776536
1991-12-15,15.931085395051877
1992-01-15,17.68405826017558
1992-02-15,15.983459696727854
1992-03-15,13.131025538707103
1992-04-15,13.20782122905028
1992-05-15,11.926875498802874
1992-06-15,11.995430965682361
1992-07-15,11.895530726256982
1992-08-15,11.400977653631283
1992-09-15,11.819213886671987
1992-10-15,13.320849960095769
1992-11-15,14.785215482841181
1992-12-15,16.408739026336793
1993-01-15,16.370949720670392
1993-02-15,15.971288906624103
1993-03-15,15.079110135674382
1993-04-15,14.700837988826816
1993-05-15,12.803531524341581
1993-06-15,11.55133679169992
1993-07-15,11.846368715083798
1993-08-15,11.131923383878691
1993-09-15,11.1329209896249
1993-10-15,12.03697126895451
1993-11-15,14.430945730247405
1993-12-15,16.611372705506785
1994-01-15,15.753252194732642
1994-02-15,17.492857142857144
1994-03-15,15.071308858739025
1994-04-15,12.950079808459698
1994-05-15,11.962330407023144
