Date,SalinVertMean
1979-01-15,10.364006384676776
1979-02-15,10.370810055865922
1979-03-15,10.374780526735833
1979-04-15,10.380287310454909
1979-05-15,10.363427773343975
1979-06-15,10.31121308858739
1979-07-15,10.29088188347965
1979-08-15,10.358739026336792
1979-09-15,10.420969672785317
1979-10-15,10.460893854748603
1979-11-15,10.459776536312852
1979-12-15,10.428810853950518
1980-01-15,10.399321628092578
1980-02-15,10.383359936153232
1980-03-15,10.378092577813248
1980-04-15,10.373743016759777
1980-05-15,10.332960893854748
1980-06-15,10.292158818834798
1980-07-15,10.287669592976856
1980-08-15,10.35219473264166
1980-09-15,10.421029529130088
1980-10-15,10.46354748603352
1980-11-15,10.459377494014364
1980-12-15,10.424341580207503
1981-01-15,10.382561851556265
1981-02-15,10.366161213088589
1981-03-15,10.362430167597765
1981-04-15,10.35887869114126
1981-05-15,10.324880287310455
1981-06-15,10.25195530726257
1981-07-15,10.250718276137272
1981-08-15,10.316640063846767
1981-09-15,10.384956105347166
1981-10-15,10.416739824421388
1981-11-15,10.402254588986432
1981-12-15,10.357242617717478
1982-01-15,10.338228252194734
1982-02-15,10.320031923383878
1982-03-15,10.302793296089385
1982-04-15,10.30568635275339
1982-05-15,10.288627294493216
1982-06-15,10.24173982442139
1982-07-15,10.215183559457303
1982-08-15,10.256783719074221
1982-09-15,10.338208300079808
1982-10-15,10.397585794094173
1982-11-15,10.383379888268156
1982-12-15,10.366899441340781
1983-01-15,10.337071029529131
1983-02-15,10.319253790901834
1983-03-15,10.296348762968876
1983-04-15,10.288587390263368
1983-05-15,10.261711891460495
1983-06-15,10.21025538707103
1983-07-15,10.186452513966481
1983-08-15,10.222007182761372
1983-09-15,10.28906624102155
1983-10-15,10.354688747007183
1983-11-15,10.33330007980846
1983-12-15,10.290802075019952
1984-01-15,10.274401436552274
1984-02-15,10.266460494812451
1984-03-15,10.253332003192337
1984-04-15,10.241440542697525
1984-05-15,10.221628092577815
1984-06-15,10.188687150837989
1984-07-15,10.180367118914605
1984-08-15,10.249541101356744
1984-09-15,10.321687948922586
1984-10-15,10.357003192338388
1984-11-15,10.34670790103751
1984-12-15,10.327494014365522
1985-01-15,10.333699122106943
1985-02-15,10.345550678371906
1985-03-15,10.356185155626497
1985-04-15,10.357182761372705
1985-05-15,10.327773343974462
1985-06-15,10.266819632881084
1985-07-15,10.283938547486033
1985-08-15,10.341919393455706
1985-09-15,10.403032721468477
1985-10-15,10.4530526735834
1985-11-15,10.437629688747009
1985-12-15,10.442617717478052
1986-01-15,10.4335794094174
1986-02-15,10.398902633679171
1986-03-15,10.37713487629689
1986-04-15,10.350718276137272
1986-05-15,10.312829209896249
1986-06-15,10.25147645650439
1986-07-15,10.230726256983239
1986-08-15,10.30153631284916
1986-09-15,10.385395051875498
1986-10-15,10.442398244213887
1986-11-15,10.461851556264964
1986-12-15,10.440782122905029
1987-01-15,10.406085395051877
1987-02-15,10.37691540303272
1987-03-15,10.354788507581803
1987-04-15,10.3414205905826
1987-05-15,10.31388667198723
1987-06-15,10.272346368715084
1987-07-15,10.2768156424581
1987-08-15,10.329668794892259
1987-09-15,10.397166799680768
1987-10-15,10.456005586592179
1987-11-15,10.472366320830009
1987-12-15,10.437190742218675
1988-01-15,10.4085794094174
1988-02-15,10.38405826017558
1988-03-15,10.376935355147644
1988-04-15,10.360375099760574
1988-05-15,10.302394253790903
1988-06-15,10.228950518754989
1988-07-15,10.215542697525938
1988-08-15,10.280925778132483
1988-09-15,10.36087390263368
1988-10-15,10.424162011173184
1988-11-15,10.425458898643257
1988-12-15,10.400977653631283
1989-01-15,10.395650438946529
1989-02-15,10.400837988826815
1989-03-15,10.403032721468476
1989-04-15,10.392059058260175
1989-05-15,10.352653631284916
1989-06-15,10.30452913008779
1989-07-15,10.296388667198723
1989-08-15,10.328910614525139
1989-09-15,10.401276935355147
1989-10-15,10.46975259377494
1989-11-15,10.461033519553071
1989-12-15,10.441879489225858
1990-01-15,10.43038707102953
1990-02-15,10.417278531524342
1990-03-15,10.415482841181165
1990-04-15,10.417897047086992
1990-05-15,10.376795690343176
1990-06-15,10.2914205905826
1990-07-15,10.270430965682362
1990-08-15,10.332023144453311
1990-09-15,10.399501197126897
1990-10-15,10.456185155626496
1990-11-15,10.437649640861931
1990-12-15,10.401396648044694
1991-01-15,10.395869912210694
1991-02-15,10.380845969672786
1991-03-15,10.36759776536313
1991-04-15,10.365283320031924
1991-05-15,10.32065043894653
1991-06-15,10.280746209098163
1991-07-15,10.281863527533918
1991-08-15,10.316300877893058
1991-09-15,10.362430167597765
1991-10-15,10.438946528332005
1991-11-15,10.452214684756584
1991-12-15,10.430686352753392
1992-01-15,10.401975259377496
1992-02-15,10.363906624102153
1992-03-15,10.353571428571428
1992-04-15,10.349181963288109
1992-05-15,10.310774142059058
1992-06-15,10.27462090981644
1992-07-15,10.270430965682362
1992-08-15,10.307482043096568
1992-09-15,10.373723064644851
1992-10-15,10.408619313647247
1992-11-15,10.392617717478053
1992-12-15,10.379828411811653
1993-01-15,10.36755786113328
1993-02-15,10.357841181165204
1993-03-15,10.354329608938547
1993-04-15,10.335095770151636
1993-05-15,10.272785315243416
1993-06-15,10.211173184357541
1993-07-15,10.208878691141262
1993-08-15,10.261612130885874
1993-09-15,10.344094173982441
1993-10-15,10.421348762968876
1993-11-15,10.443196328810854
1993-12-15,10.433898643256185
1994-01-15,10.414285714285716
1994-02-15,10.401117318435755
1994-03-15,10.38024740622506
1994-04-15,10.362210694333598
1994-05-15,10.314485235434956
