Date,xvelocMean10m
1979-01-15,-0.7614724660814047
1979-02-15,-0.5323623304070231
1979-03-15,-0.6350159616919395
1979-04-15,-0.6758379888268157
1979-05-15,-0.775538707102953
1979-06-15,-0.6469273743016761
1979-07-15,-0.47244612928970475
1979-08-15,-0.15698324022346358
1979-09-15,-0.4273543495610534
1979-10-15,-0.5873104549082202
1979-11-15,-0.39173982442138866
1979-12-15,-0.5403431763766959
1980-01-15,-0.6809656823623305
1980-02-15,-0.5294293695131684
1980-03-15,-0.6613128491620112
1980-04-15,-0.682462090981644
1980-05-15,-0.7777733439744613
1980-06-15,-0.5816241021548284
1980-07-15,-0.2989624900239425
1980-08-15,-0.32454110135674386
1980-09-15,-0.458339984038308
1980-10-15,-0.5149441340782123
1980-11-15,-0.5532322426177174
1980-12-15,-0.6493016759776536
1981-01-15,-0.6864525139664804
1981-02-15,-0.5671189146049481
1981-03-15,-0.45734237829209895
1981-04-15,-0.6139265762170789
1981-05-15,-0.7507781324820432
1981-06-15,-0.7503790901835595
1981-07-15,-0.4180167597765363
1981-08-15,-0.4775538707102953
1981-09-15,-0.3511771747805269
1981-10-15,-0.4075219473264167
1981-11-15,-0.7355347166799681
1981-12-15,-0.5930766161213089
1982-01-15,-0.4931763766959298
1982-02-15,-0.466340782122905
1982-03-15,-0.3812250598563448
1982-04-15,-0.5682561851556266
1982-05-15,-0.7510375099760574
1982-06-15,-0.8038906624102156
1982-07-15,-0.5863527533918595
1982-08-15,-0.43770949720670377
1982-09-15,-0.5397446129289705
1982-10-15,-0.5700917797286513
1982-11-15,-0.56731843575419
1982-12-15,-0.8006384676775739
1983-01-15,-0.4473264166001596
1983-02-15,-0.4759177972865124
1983-03-15,-0.4487430167597765
1983-04-15,-0.73487629688747
1983-05-15,-0.764365522745411
1983-06-15,-0.9512968874700719
1983-07-15,-0.722146847565842
1983-08-15,-0.35626496408619307
1983-09-15,-0.3834397446129289
1983-10-15,-0.5787709497206704
1983-11-15,-0.5813447725458898
1983-12-15,-0.6433758978451716
1984-01-15,-0.6122306464485237
1984-02-15,-0.44465283320031923
1984-03-15,-0.5955706304868316
1984-04-15,-0.4621508379888268
1984-05-15,-0.8841580207501994
1984-06-15,-0.5768954509177974
1984-07-15,-0.40828012769353556
1984-08-15,-0.31626097366320827
1984-09-15,-0.4042897047086991
1984-10-15,-0.6502593774940144
1984-11-15,-0.6283120510774143
1984-12-15,-0.5035913806863528
1985-01-15,-0.494173982442139
1985-02-15,-0.34201915403032707
1985-03-15,-0.3703312051077415
1985-04-15,-0.524221867517957
1985-05-15,-0.7796288906624103
1985-06-15,-0.5452114924181963
1985-07-15,-0.4620311252992817
1985-08-15,-0.3381484437350358
1985-09-15,-0.388048683160415
1985-10-15,-0.37891061452513963
1985-11-15,-0.6680566640063847
1985-12-15,-0.3530925778132483
1986-01-15,-0.4413208300079808
1986-02-15,-0.454608938547486
1986-03-15,-0.6335195530726256
1986-04-15,-0.7046488427773344
1986-05-15,-0.8444533120510773
1986-06-15,-0.6473064644852354
1986-07-15,-0.6302474062250598
1986-08-15,-0.19557063048683157
1986-09-15,-0.39632881085395055
1986-10-15,-0.29361532322426187
1986-11-15,-0.6439744612928971
1986-12-15,-0.5859936153232242
1987-01-15,-0.35436951316839593
1987-02-15,-0.5298882681564246
1987-03-15,-0.5902833200319234
1987-04-15,-0.6547685554668796
1987-05-15,-0.7887270550678372
1987-06-15,-0.8659616919393456
1987-07-15,-0.5233040702314445
1987-08-15,-0.1712889066241021
1987-09-15,-0.36600159616919387
1987-10-15,-0.28675179569034315
1987-11-15,-0.5108938547486034
1987-12-15,-0.5113727055067837
1988-01-15,-0.6459896249002394
1988-02-15,-0.5434557063048684
1988-03-15,-0.5351755786113328
1988-04-15,-0.48270151636073416
1988-05-15,-1.0343575418994415
1988-06-15,-0.755047885075818
1988-07-15,-0.3294493216280926
1988-08-15,-0.27344373503591374
1988-09-15,-0.34966081404628885
1988-10-15,-0.33739026336791694
1988-11-15,-0.571049481245012
1988-12-15,-0.49036312849162017
1989-01-15,-0.3595969672785316
1989-02-15,-0.6480845969672786
1989-03-15,-0.2191739824421389
1989-04-15,-0.608878691141261
1989-05-15,-0.7890462889066242
1989-06-15,-0.5092976855546689
1989-07-15,-0.6842777334397446
1989-08-15,-0.3250199521149242
1989-09-15,-0.20732242617717475
1989-10-15,-0.4799082202713488
1989-11-15,-0.4095371109337589
1989-12-15,-0.43294094173982445
1990-01-15,-0.5624102154828411
1990-02-15,-0.5649441340782124
1990-03-15,-0.4622306464485235
1990-04-15,-0.6128491620111732
1990-05-15,-0.8050678371907423
1990-06-15,-0.8476656025538707
1990-07-15,-0.5166799680766161
1990-08-15,-0.28391859537110925
1990-09-15,-0.3551276935355147
1990-10-15,-0.523224261771748
1990-11-15,-0.3945530726256983
1990-12-15,-0.6569832402234637
1991-01-15,-0.5481843575418994
1991-02-15,-0.652733439744613
1991-03-15,-0.5797885075818036
1991-04-15,-0.6793296089385475
1991-05-15,-0.8279130087789306
1991-06-15,-0.7194932162809258
1991-07-15,-0.46462490023942543
1991-08-15,-0.4173583399840383
1991-09-15,-0.385654429369513
1991-10-15,-0.4874301675977655
1991-11-15,-0.73487629688747
1991-12-15,-0.47244612928970464
1992-01-15,-0.34646847565841976
1992-02-15,-0.653391859537111
1992-03-15,-0.666660015961692
1992-04-15,-0.8101157222665603
1992-05-15,-0.8012370311252992
1992-06-15,-0.5061452513966481
1992-07-15,-0.6055466879489225
1992-08-15,-0.35351157222665597
1992-09-15,-0.455147645650439
1992-10-15,-0.6055067837190743
1992-11-15,-0.8270151636073424
1992-12-15,-0.7739824421388667
1993-01-15,-0.6576017557861132
1993-02-15,-0.6222865123703113
1993-03-15,-0.639146049481245
1993-04-15,-0.5708898643256185
1993-05-15,-0.8495211492418197
1993-06-15,-0.5640063846767758
1993-07-15,-0.5187350359138068
1993-08-15,-0.34507182761372707
1993-09-15,-0.27198723064644864
1993-10-15,-0.3490622505985634
1993-11-15,-0.32490023942537916
1993-12-15,-0.47771348762968885
1994-01-15,-0.49361532322426177
1994-02-15,-0.44962090981644054
1994-03-15,-0.6327414205905827
1994-04-15,-0.6087589784517159
1994-05-15,-0.8225059856344772
1994-06-15,-0.7928371907422187
1994-07-15,-0.5310055865921789
1994-08-15,-0.3673383878691141
1994-09-15,-0.1440343176376697
1994-10-15,-0.41961292897047087
1994-11-15,-0.6146049481245013
1994-12-15,-0.4702913008778931
1995-01-15,-0.3184557063048683
1995-02-15,-0.8906025538707104
1995-03-15,-0.6294493216280926
1995-04-15,-0.5467079010375101
1995-05-15,-0.7277334397446129
1995-06-15,-0.7273343974461294
1995-07-15,-0.4239824421388667
1995-08-15,-0.27970869912210694
1995-09-15,-0.23270151636073427
1995-10-15,-0.6201316839584996
1995-11-15,-0.3971867517956904
1995-12-15,-0.6452314445331204
1996-01-15,-0.614485235434956
1996-02-15,-0.7021348762968874
1996-03-15,-0.5016759776536313
1996-04-15,-0.6934756584197925
1996-05-15,-0.5014565043894653
1996-06-15,-0.6613328012769354
1996-07-15,-0.4136871508379887
1996-08-15,-0.31310853950518763
1996-09-15,-0.49555067837190736
1996-10-15,-0.6730047885075818
1996-11-15,-0.4015762170790103
1996-12-15,-0.5471069433359936
1997-01-15,-0.4971069433359936
1997-02-15,-0.7081205107741422
1997-03-15,-0.29954110135674394
1997-04-15,-0.7526137270550679
1997-05-15,-0.9177374301675977
1997-06-15,-1.0328212290502792
1997-07-15,-0.5373902633679171
1997-08-15,-0.6224660814046289
1997-09-15,-0.4125897845171587
1997-10-15,-0.8747605746209098
1997-11-15,-0.7651436552274541
1997-12-15,-0.64890263367917
1998-01-15,-0.6131683958499601
1998-02-15,-0.4251197126895451
1998-03-15,-0.4931364724660814
1998-04-15,-0.6748204309656824
1998-05-15,-0.9566041500399042
1998-06-15,-0.7273144453312052
1998-07-15,-0.3375498802873106
1998-08-15,-0.36761771747805266
1998-09-15,-0.16133280127693525
1998-10-15,-0.33266161213088585
1998-11-15,-0.5282721468475658
1998-12-15,-0.5267158818834796
1999-01-15,-0.39070231444533127
1999-02-15,-0.39798483639265764
1999-03-15,-0.413048683160415
1999-04-15,-0.7672386272944932
1999-05-15,-0.6409217877094973
1999-06-15,-0.8539305666400637
1999-07-15,-0.5503790901835596
1999-08-15,-0.41494413407821235
1999-09-15,-0.31037509976057465
1999-10-15,-0.49273743016759775
1999-11-15,-0.6250598563447726
1999-12-15,-0.5109736632083002
2000-01-15,-0.4746608140462889
2000-02-15,-0.5767158818834797
2000-03-15,-0.5935754189944134
2000-04-15,-0.40646448523543494
2000-05-15,-0.8109936153232243
2000-06-15,-0.6261372705506781
2000-07-15,-0.85
2000-08-15,-0.22112928970470855
2000-09-15,-0.3508579409417399
2000-10-15,-0.4952913008778931
2000-11-15,-0.6296488427773346
2000-12-15,-0.5371508379888268
2001-01-15,-0.46907422186751807
2001-02-15,-0.6355746209098164
2001-03-15,-0.4726057462090981
2001-04-15,-0.3376496408619314
2001-05-15,-0.6762968874700718
2001-06-15,-0.8515762170790104
2001-07-15,-0.3970670391061452
2001-08-15,-0.6291500399042298
2001-09-15,-0.2942138866719872
2001-10-15,-0.3195929768555467
2001-11-15,-0.5150837988826814
2001-12-15,-0.6705706304868316
2002-01-15,-0.3582801276935355
2002-02-15,-0.59231843575419
2002-03-15,-0.42785315243415795
2002-04-15,-0.4774740622505985
2002-05-15,-0.8247206703910615
2002-06-15,-0.8661811652035114
2002-07-15,-0.44830407023144464
2002-08-15,-0.4514365522745411
2002-09-15,-0.27639664804469266
2002-10-15,-0.4092378292098962
2002-11-15,-0.44465283320031923
2002-12-15,-0.4952913008778931
2003-01-15,-0.39331604150039917
2003-02-15,-0.5997206703910616
2003-03-15,-0.3614525139664805
2003-04-15,-0.4733240223463688
2003-05-15,-0.8061053471667996
2003-06-15,-0.6329209896249003
2003-07-15,-0.38078611332801277
2003-08-15,-0.34972067039106147
2003-09-15,-0.3510375099760575
2003-10-15,-0.5455905826017557
2003-11-15,-0.6719473264166002
2003-12-15,-0.3542498004788507
2004-01-15,-0.46803671189146046
2004-02-15,-0.6780526735833998
2004-03-15,-0.47023144453312044
2004-04-15,-0.6393655227454111
2004-05-15,-0.6583798882681565
2004-06-15,-0.6271149241819634
2004-07-15,-0.2351556264964085
2004-08-15,-0.5162809257781324
2004-09-15,-0.47627693535514765
2004-10-15,-0.5527533918595371
2004-11-15,-0.5785913806863526
2004-12-15,-0.6218874700718278
2005-01-15,-0.56646049481245
2005-02-15,-0.6107940941739823
2005-03-15,-0.712170790103751
2005-04-15,-0.509756584197925
2005-05-15,-0.9986831604150039
2005-06-15,-0.762490023942538
2005-07-15,-0.4176376695929768
2005-08-15,-0.39331604150039906
2005-09-15,-0.22779329608938545
2005-10-15,-0.4299680766161213
2005-11-15,-0.620171588188348
2005-12-15,-0.5206703910614524
2006-01-15,-0.3852354349561054
2006-02-15,-0.8802274541101358
2006-03-15,-0.5251197126895452
2006-04-15,-0.6268156424581005
2006-05-15,-0.8671588188347965
2006-06-15,-0.47302474062250593
2006-07-15,-0.4056863527533919
2006-08-15,-0.2527334397446129
2006-09-15,-0.24313647246608153
2006-10-15,-0.2606743814844374
2006-11-15,-0.38707102952913003
2006-12-15,-0.6091580207501996
