Date,yvelocMean10m
1979-01-15,-1.217218675179569
1979-02-15,-0.9966280925778134
1979-03-15,-1.2738427773343974
1979-04-15,-1.2676775738228252
1979-05-15,-1.850219473264166
1979-06-15,-2.584297685554669
1979-07-15,-3.2315841979249798
1979-08-15,-3.5542298483639265
1979-09-15,-2.075
1979-10-15,-2.6933758978451716
1979-11-15,-0.12468076616121301
1979-12-15,-0.41845570630486845
1980-01-15,-0.8488826815642461
1980-02-15,-0.5885075818036712
1980-03-15,-1.2493415802075019
1980-04-15,-1.199341580207502
1980-05-15,-1.8332202713487633
1980-06-15,-2.4520351157222664
1980-07-15,-3.384098164405427
1980-08-15,-3.2140662410215484
1980-09-15,-2.3372306464485235
1980-10-15,-2.7129688747007186
1980-11-15,-0.03264166001596158
1980-12-15,-0.5789904229848365
1981-01-15,-1.3333798882681565
1981-02-15,-0.13615323224261763
1981-03-15,-1.4999401436552273
1981-04-15,-0.9400039904229849
1981-05-15,-1.7314046288906626
1981-06-15,-1.6580407023144454
1981-07-15,-3.3437350359138067
1981-08-15,-3.1062849162011177
1981-09-15,-1.7704509177972865
1981-10-15,-1.4835794094173982
1981-11-15,-0.049301675977653524
1981-12-15,-1.033000798084597
1982-01-15,-0.9410814046288908
1982-02-15,1.2406025538707106
1982-03-15,-1.8581604150039905
1982-04-15,-1.7344972067039108
1982-05-15,-3.110415003990423
1982-06-15,-2.46121308858739
1982-07-15,-2.750139664804469
1982-08-15,-3.3177972865123704
1982-09-15,-3.253790901835595
1982-10-15,-0.18545490822027136
1982-11-15,-1.4638667198723063
1982-12-15,0.3295091779728651
1983-01-15,0.1896249002394253
1983-02-15,0.9786911412609741
1983-03-15,-0.17643655227454133
1983-04-15,-2.079768555466879
1983-05-15,-1.6649241819632883
1983-06-15,-1.175977653631285
1983-07-15,-1.7394253790901835
1983-08-15,-3.0205307262569834
1983-09-15,-3.7035714285714283
1983-10-15,-1.7177573822825223
1983-11-15,1.2174381484437349
1983-12-15,-0.5895251396648046
1984-01-15,-1.1297885075818033
1984-02-15,0.6548483639265765
1984-03-15,-0.697386272944932
1984-04-15,-1.0110534716679966
1984-05-15,-0.9
1984-06-15,-2.1455506783719076
1984-07-15,-3.832362330407023
1984-08-15,-3.5458300079808462
1984-09-15,-3.2898643256185154
1984-10-15,-1.7325618515562646
1984-11-15,0.08625299281723849
1984-12-15,-2.4976456504389466
1985-01-15,-2.3870111731843577
1985-02-15,-1.0909417398244212
1985-03-15,-1.0060055865921786
1985-04-15,-1.8164405426975259
1985-05-15,-2.343635275339186
1985-06-15,-3.2136272944932163
1985-07-15,-3.5669193934557066
1985-08-15,-3.475818036711892
1985-09-15,-3.622885075818037
1985-10-15,-0.5021149241819634
1985-11-15,-2.5219074221867515
1985-12-15,-2.6260574620909813
1986-01-15,0.5753990422984837
1986-02-15,-0.7444333599361533
1986-03-15,0.4358140462889067
1986-04-15,-0.9357940941739824
1986-05-15,-1.4853750997605746
1986-06-15,-2.6093774940143653
1986-07-15,-2.4317637669592975
1986-08-15,-4.423563447725459
1986-09-15,-2.8652434158020754
1986-10-15,-2.8593774940143653
1986-11-15,-0.7474062250598563
1986-12-15,-0.31187150837988836
1987-01-15,0.3498802873104548
1987-02-15,-1.1897645650438948
1987-03-15,-0.6052075019952116
1987-04-15,-0.9727254588986431
1987-05-15,-0.961053471667997
1987-06-15,-2.785754189944134
1987-07-15,-2.5066041500399043
1987-08-15,-4.329429369513168
1987-09-15,-3.0696927374301675
1987-10-15,-3.784417398244214
1987-11-15,-0.5306664006384676
1987-12-15,-0.4432362330407023
1988-01-15,0.06843575418994413
1988-02-15,-1.301755786113328
1988-03-15,-0.31534317637669596
1988-04-15,-1.506165203511572
1988-05-15,-0.18244213886671998
1988-06-15,-2.0979648842777334
1988-07-15,-3.5905626496408622
1988-08-15,-3.4574820430965687
1988-09-15,-3.253391859537111
1988-10-15,-3.546588188347965
1988-11-15,0.6704708699122106
1988-12-15,-1.812509976057462
1989-01-15,-1.4576616121308856
1989-02-15,-2.290003990422985
1989-03-15,-0.40849960095770144
1989-04-15,-1.842059058260176
1989-05-15,-1.285614525139665
1989-06-15,-3.1361133280127693
1989-07-15,-1.85963687150838
1989-08-15,-3.270869912210694
1989-09-15,-4.537729449321628
1989-10-15,-1.224780526735834
1989-11-15,-2.1575418994413407
1989-12-15,-1.805367118914605
1990-01-15,-1.1629888268156423
1990-02-15,-1.116021548284118
1990-03-15,-1.8090582601755787
1990-04-15,-1.8323224261771744
1990-05-15,-1.5956304868316042
1990-06-15,-1.6113727055067837
1990-07-15,-3.904588986432562
1990-08-15,-2.8423583399840378
1990-09-15,-3.938886671987231
1990-10-15,-0.6335195530726259
1990-11-15,-1.3520550678371908
1990-12-15,-0.7900837988826815
1991-01-15,-1.83926576217079
1991-02-15,-0.5564245810055867
1991-03-15,-1.5337988826815643
1991-04-15,-1.1816440542697526
1991-05-15,-1.959197924980048
1991-06-15,-2.5567438148443733
1991-07-15,-3.9528332003192337
1991-08-15,-1.5538707102952913
1991-09-15,-4.493715083798882
1991-10-15,-3.6361332801276935
1991-11-15,-0.7366919393455709
1991-12-15,-0.37061053471668
1992-01-15,0.8487031125299279
1992-02-15,-0.3023144453312049
1992-03-15,-2.916819632881085
1992-04-15,-0.701316839584996
1992-05-15,-2.528152434158021
1992-06-15,-2.8120510774142056
1992-07-15,-2.783659217877095
1992-08-15,-2.9972067039106145
1992-09-15,-2.9521947326416598
1992-10-15,-1.9664006384676775
1992-11-15,-0.9326416600159616
1992-12-15,-1.6112529928172388
