Month,yvelocMean10m
1,-0.7136981245011971
2,-0.8432177773343975
3,-0.8165777134876298
4,-1.4543730047885075
5,-1.7685160614525142
6,-2.337967877094972
7,-3.190591580207502
8,-3.2875568635275343
9,-3.242333898643256
10,-2.0307277533918593
11,-0.812705506783719
12,-0.8425912809257781
