Month,xvelocMean4m
1,-1.0688253192338388
2,-1.1676451516360733
3,-1.0689694732641661
4,-1.3421912410215484
5,-2.009805965682362
6,-2.0910145650438947
7,-1.840912310454908
8,-1.464599461292897
9,-1.442561851556265
10,-1.3366610135674382
11,-1.2588188347964884
12,-1.2395406025538707
