Date,TempVertMean4m
1979-01-15,5.7331205107741425
1979-02-15,5.703770949720671
1979-03-15,7.06693934557063
1979-04-15,9.024600957701518
1979-05-15,11.965562649640862
1979-06-15,14.431504389465283
1979-07-15,16.287130885873903
1979-08-15,16.222805267358343
1979-09-15,13.818894652833201
1979-10-15,11.5981843575419
1979-11-15,8.987709497206705
1979-12-15,7.025199521149243
1980-01-15,5.909936153232242
1980-02-15,5.766999201915403
1980-03-15,7.077653631284916
1980-04-15,9.129289704708698
1980-05-15,12.078830806065442
1980-06-15,14.449421388667199
1980-07-15,16.221687948922586
1980-08-15,16.131304868316043
1980-09-15,13.708679169992019
1980-10-15,11.50943735035914
1980-11-15,8.842238627294494
1980-12-15,6.8842777334397445
1981-01-15,6.614365522745411
1981-02-15,6.53316041500399
1981-03-15,7.956045490822026
1981-04-15,8.984616919393455
1981-05-15,11.625678371907421
1981-06-15,13.72094972067039
1981-07-15,16.526037509976057
1981-08-15,16.954469273743015
1981-09-15,14.380407023144455
1981-10-15,11.00137669592977
1981-11-15,9.077693535514765
1981-12-15,6.924541101356745
1982-01-15,5.446209098164406
1982-02-15,5.941320830007981
1982-03-15,6.984856344772545
1982-04-15,8.526177174780527
1982-05-15,11.38549481245012
1982-06-15,15.206424581005587
1982-07-15,16.480486831604154
1982-08-15,16.231943335993616
1982-09-15,14.482841181165204
1982-10-15,11.115682362330407
1982-11-15,7.959098164405427
1982-12-15,6.8692936951316845
1983-01-15,6.399042298483639
1983-02-15,6.765662410215483
1983-03-15,7.89221867517957
1983-04-15,9.728511572226656
1983-05-15,13.024082202713487
1983-06-15,15.15395051875499
1983-07-15,16.08330007980846
1983-08-15,16.860035913806865
1983-09-15,14.32366320830008
1983-10-15,11.237809257781326
1983-11-15,9.088707102952915
1983-12-15,6.091879489225858
1984-01-15,5.585095770151636
1984-02-15,6.491859537110933
1984-03-15,7.637729449321627
1984-04-15,8.970590582601757
1984-05-15,11.044313647246607
1984-06-15,14.285814046288907
1984-07-15,15.951276935355148
1984-08-15,16.506863527533916
1984-09-15,13.652254588986434
1984-10-15,10.670031923383878
1984-11-15,7.999341580207503
1984-12-15,5.895650438946529
1985-01-15,5.142677573822825
1985-02-15,5.707761372705507
1985-03-15,7.166500399042299
1985-04-15,8.771149241819632
1985-05-15,11.610913806863527
1985-06-15,14.335235434956104
1985-07-15,16.554688747007184
1985-08-15,15.794972067039105
1985-09-15,13.398184357541899
1985-10-15,10.401656025538706
1985-11-15,6.758180367118914
1985-12-15,4.769154030327215
1986-01-15,5.954888268156425
1986-02-15,5.767118914604948
1986-03-15,7.1374102154828405
1986-04-15,8.651935355147646
1986-05-15,10.917118914604949
1986-06-15,14.049581005586592
1986-07-15,15.841300877893058
1986-08-15,16.007980845969673
1986-09-15,13.94166001596169
1986-10-15,11.324840383080607
1986-11-15,8.51865522745411
1986-12-15,6.654848363926577
1987-01-15,6.124261771747805
1987-02-15,6.461572226656026
1987-03-15,7.386193136472466
1987-04-15,9.232960893854749
1987-05-15,11.86841580207502
1987-06-15,14.169513168395849
1987-07-15,16.169592976855547
1987-08-15,16.10143655227454
1987-09-15,14.313727055067837
1987-10-15,11.520530726256984
1987-11-15,9.103870710295292
1987-12-15,6.956723862729449
1988-01-15,5.7883280127693535
1988-02-15,5.906504389465284
1988-03-15,7.188367916999201
1988-04-15,9.146927374301676
1988-05-15,11.458140462889066
1988-06-15,14.214146049481245
1988-07-15,16.137829209896246
1988-08-15,15.862649640861932
1988-09-15,13.83497605746209
1988-10-15,11.278411811652035
1988-11-15,8.561512370311254
1988-12-15,6.7659816440542695
1989-01-15,5.67061053471668
1989-02-15,4.440522745411013
1989-03-15,6.397067039106145
1989-04-15,9.031524341580207
1989-05-15,12.484297685554669
1989-06-15,14.830307262569832
1989-07-15,16.077254588986435
1989-08-15,16.586352753391857
1989-09-15,14.51378691141261
1989-10-15,11.094473264166002
1989-11-15,8.298603351955308
1989-12-15,6.671448523543496
1990-01-15,6.188647246608141
1990-02-15,5.513826815642458
1990-03-15,6.882601755786113
1990-04-15,9.623543495610534
1990-05-15,12.073024740622506
1990-06-15,14.224700718276136
1990-07-15,16.43244213886672
1990-08-15,17.190283320031924
1990-09-15,15.244213886671988
1990-10-15,10.707162809257781
1990-11-15,8.071867517956903
1990-12-15,5.83230247406225
1991-01-15,4.507083000798085
1991-02-15,5.8689345570630485
1991-03-15,6.700718276137271
1991-04-15,8.993236233040703
1991-05-15,11.656803671189147
1991-06-15,13.811691939345573
1991-07-15,15.537529928172388
1991-08-15,16.010335195530725
1991-09-15,14.092438148443733
1991-10-15,11.231165203511573
1991-11-15,8.08816839584996
1991-12-15,6.695869912210694
1992-01-15,6.198164405426975
1992-02-15,6.755426975259377
1992-03-15,8.431025538707104
1992-04-15,10.102374301675978
1992-05-15,12.76999201915403
1992-06-15,15.304409417398247
1992-07-15,17.016440542697524
1992-08-15,16.61528332003192
1992-09-15,13.648723064644852
1992-10-15,11.279030327214684
1992-11-15,8.75462889066241
1992-12-15,6.5329209896249
1993-01-15,4.767358339984038
1993-02-15,5.638727055067837
1993-03-15,7.080606544293695
1993-04-15,9.0109736632083
1993-05-15,12.265822027134877
1993-06-15,15.192278531524341
1993-07-15,16.374241819632882
1993-08-15,16.664784517158818
1993-09-15,14.880147645650439
1993-10-15,11.903431763766958
1993-11-15,8.449122106943337
1993-12-15,6.743395849960095
1994-01-15,6.693555466879489
1994-02-15,6.296268954509178
1994-03-15,7.263328012769354
1994-04-15,9.673922585794093
1994-05-15,12.634138068635275
