Month,TempVertMean4m
1,5.89364874301676
2,6.116530327214685
3,7.203710095770151
4,9.151072924980047
5,12.016156225059856
6,14.60636073423783
7,16.470241420590582
8,16.67488627294493
9,14.362364824421388
10,11.223637270550679
11,8.519536113328012
12,6.61794493216281
