Date,yvelocVertMean
1979-01-15,0.04142059058260176
1979-02-15,0.04876296887470071
1979-03-15,0.03497605746209098
1979-04-15,0.03529529130087789
1979-05-15,0.019892258579409416
1979-06-15,0.013786911412609739
1979-07-15,0.021847565841979246
1979-08-15,0.027753391859537114
1979-09-15,0.03292098962490024
1979-10-15,0.02990822027134876
1979-11-15,0.03166400638467677
1979-12-15,0.034976057462090974
1980-01-15,0.04938148443735036
1980-02-15,0.04171987230646449
1980-03-15,0.03603351955307262
1980-04-15,0.021568236233040706
1980-05-15,0.01025538707102953
1980-06-15,0.0143854748603352
1980-07-15,0.019333599361532325
1980-08-15,0.0342976855546688
1980-09-15,0.036312849162011177
1980-10-15,0.036691939345570634
1980-11-15,0.026556264964086192
1980-12-15,0.031005586592178776
1981-01-15,0.04686751795690343
1981-02-15,0.0414804469273743
1981-03-15,0.04704708699122107
1981-04-15,0.038547486033519554
1981-05-15,0.026077414205905824
1981-06-15,0.015722266560255382
1981-07-15,0.011652035115722268
1981-08-15,0.023284118116520355
1981-09-15,0.03503591380686353
1981-10-15,0.04152035115722267
1981-11-15,0.03651237031125299
1981-12-15,0.03198324022346368
1982-01-15,0.02813248204309657
1982-02-15,0.041500399042298484
1982-03-15,0.03926576217079011
1982-04-15,0.03593375897845172
1982-05-15,0.030187549880287313
1982-06-15,0.019094173982442137
1982-07-15,0.025618515562649647
1982-08-15,0.03747007182761373
1982-09-15,0.0481245011971269
1982-10-15,0.05397047086991221
1982-11-15,0.05572625698324023
1982-12-15,0.05736233040702315
1983-01-15,0.06334796488427773
1983-02-15,0.07360335195530728
1983-03-15,0.041061452513966486
1983-04-15,0.041699920191540306
1983-05-15,0.04086193136472466
1983-06-15,0.04211891460494813
1983-07-15,0.04950119712689545
1983-08-15,0.056065442936951315
1983-09-15,0.05450917797286512
1983-10-15,0.049999999999999996
1983-11-15,0.040403032721468474
1983-12-15,0.0366121308858739
1984-01-15,0.04854349561053471
1984-02-15,0.04970071827613727
1984-03-15,0.04309656823623304
1984-04-15,0.03507581803671189
1984-05-15,0.018994413407821233
1984-06-15,0.018575418994413406
1984-07-15,0.024561053471668
1984-08-15,0.04577015163607342
1984-09-15,0.051675977653631286
1984-10-15,0.041919393455706305
1984-11-15,0.030706304868316037
1984-12-15,0.024481245011971273
1985-01-15,0.039066241021548286
1985-02-15,0.032681564245810056
1985-03-15,0.04018355945730247
1985-04-15,0.04048284118116521
1985-05-15,0.02663607342378292
1985-06-15,0.018375897845171588
1985-07-15,0.025139664804469275
1985-08-15,0.02869114126097367
1985-09-15,0.04409417398244214
1985-10-15,0.041540303272146854
1985-11-15,0.028391859537110938
1985-12-15,0.03316041500399042
1986-01-15,0.04046288906624102
1986-02-15,0.04357541899441341
1986-03-15,0.02974860335195531
1986-04-15,0.035853950518754986
1986-05-15,0.036731843575419
1986-06-15,0.02031125299281724
1986-07-15,0.030506783719074223
1986-08-15,0.03328012769353552
1986-09-15,0.03914604948124501
1986-10-15,0.040143655227454104
1986-11-15,0.0440143655227454
1986-12-15,0.05149640861931365
1987-01-15,0.04652833200319234
1987-02-15,0.05772146847565841
1987-03-15,0.034317637669592976
1987-04-15,0.035953711093375904
1987-05-15,0.02984836392657621
1987-06-15,0.030267358339984035
1987-07-15,0.03936552274541102
1987-08-15,0.045770151636073425
1987-09-15,0.05053870710295291
1987-10-15,0.05434956105347166
1987-11-15,0.04363527533918595
1987-12-15,0.046787709497206696
1988-01-15,0.0545490822027135
1988-02-15,0.0460095770151636
1988-03-15,0.04187948922585795
1988-04-15,0.0330806065442937
1988-05-15,0.019393455706304862
1988-06-15,0.01961292897047087
1988-07-15,0.020411013567438144
1988-08-15,0.03144453312051078
1988-09-15,0.040283320031923385
1988-10-15,0.04086193136472466
1988-11-15,0.029150039904229843
1988-12-15,0.020231444533120514
1989-01-15,0.031025538707102954
1989-02-15,0.029469273743016756
1989-03-15,0.05197525937749401
1989-04-15,0.04136073423782921
1989-05-15,0.02871109337589784
1989-06-15,0.020311252992817237
1989-07-15,0.022286512370311255
1989-08-15,0.02615722266560256
1989-09-15,0.03703112529928173
1989-10-15,0.03956504389465283
1989-11-15,0.03186352753391859
1989-12-15,0.03377893056664007
1990-01-15,0.025498802873104544
1990-02-15,0.03585395051875499
1990-03-15,0.026476456504389463
1990-04-15,0.030307262569832405
1990-05-15,0.030865921787709496
1990-06-15,0.024980047885075816
1990-07-15,0.025359138068635267
1990-08-15,0.03605347166799681
1990-09-15,0.04183958499600957
1990-10-15,0.0390462889066241
1990-11-15,0.03126496408619314
1990-12-15,0.032681564245810056
1991-01-15,0.03749002394253791
1991-02-15,0.060175578611332804
1991-03-15,0.027853152434158014
1991-04-15,0.025478850758180367
1991-05-15,0.01512370311252993
1991-06-15,0.020710295291300876
1991-07-15,0.023902633679169998
1991-08-15,0.040223463687150844
1991-09-15,0.04367517956903432
1991-10-15,0.040822027134876294
1991-11-15,0.03790901835594573
1991-12-15,0.048304070231444535
1992-01-15,0.06779728651237031
1992-02-15,0.0666001596169194
1992-03-15,0.064804469273743
1992-04-15,0.05688347964884278
1992-05-15,0.03405826017557861
1992-06-15,0.030766161213088585
1992-07-15,0.03409816440542698
1992-08-15,0.04000399042298484
1992-09-15,0.044553072625698326
1992-10-15,0.0441340782122905
1992-11-15,0.03830806065442937
1992-12-15,0.03910614525139665
1993-01-15,0.05183559457302473
1993-02-15,0.05133679169992019
1993-03-15,0.0556264964086193
1993-04-15,0.046049481245011965
1993-05-15,0.046149241819632876
1993-06-15,0.032063048683160414
