Date,xvelocVertMean
1979-01-15,-0.018395849960095773
1979-02-15,-0.020570630486831595
1979-03-15,-0.021069433359936166
1979-04-15,-0.015203511572226656
1979-05-15,-0.016340782122905035
1979-06-15,-0.012948922585794095
1979-07-15,-0.00826017557861134
1979-08-15,-0.005646448523543486
1979-09-15,-0.011412609736632077
1979-10-15,-0.010694333599361542
1979-11-15,-0.01783719074221867
1979-12-15,-0.02088986432561852
1980-01-15,-0.024620909816440543
1980-02-15,-0.0209098164405427
1980-03-15,-0.01999201915403032
1980-04-15,-0.015343176376695928
1980-05-15,-0.015143655227454103
1980-06-15,-0.011452513966480445
1980-07-15,-0.00871907422186751
1980-08-15,-0.009058260175578616
1980-09-15,-0.01296887470071827
1980-10-15,-0.011731843575418998
1980-11-15,-0.015682362330407023
1980-12-15,-0.019353551476456503
1981-01-15,-0.022226656025538704
1981-02-15,-0.021628092577813247
1981-03-15,-0.015861931364724656
1981-04-15,-0.01763766959297686
1981-05-15,-0.01955307262569831
1981-06-15,-0.016021548284118108
1981-07-15,-0.007023144453312029
1981-08-15,-0.009557063048683168
1981-09-15,-0.010993615323224275
1981-10-15,-0.016779728651237027
1981-11-15,-0.019293695131683962
1981-12-15,-0.017318435754189954
1982-01-15,-0.015023942537909018
1982-02-15,-0.021687948922585805
1982-03-15,-0.021149241819632885
1982-04-15,-0.0170191540303272
1982-05-15,-0.013467677573822829
1982-06-15,-0.015403032721468467
1982-07-15,-0.013308060654429387
1982-08-15,-0.009736632083000794
1982-09-15,-0.014006384676775747
1982-10-15,-0.019632881085395057
1982-11-15,-0.020670391061452503
1982-12-15,-0.026037509976057444
1983-01-15,-0.02861133280127693
1983-02-15,-0.02964884277733439
1983-03-15,-0.023982442138866716
1983-04-15,-0.01739824421388666
1983-05-15,-0.0174780526735834
1983-06-15,-0.019173982442138856
1983-07-15,-0.017677573822825206
1983-08-15,-0.013567438148443751
1983-09-15,-0.013387869114126096
1983-10-15,-0.014305666400638472
1983-11-15,-0.024221867517956897
1983-12-15,-0.01843575418994413
1984-01-15,-0.022645650438946528
1984-02-15,-0.023423782920989622
1984-03-15,-0.021149241819632885
1984-04-15,-0.017936951316839596
1984-05-15,-0.015383080606544298
1984-06-15,-0.013367916999201916
1984-07-15,-0.012909018355945734
1984-08-15,-0.015163607342378298
1984-09-15,-0.0142657621707901
1984-10-15,-0.016181165203511566
1984-11-15,-0.01342777334397445
1984-12-15,-0.014425379090183564
1985-01-15,-0.017338387869114142
1985-02-15,-0.020111731843575398
1985-03-15,-0.016320830007980854
1985-04-15,-0.01889465283320032
1985-05-15,-0.020051875498802874
1985-06-15,-0.016280925778132498
1985-07-15,-0.013687150837988818
1985-08-15,-0.009636871508379882
1985-09-15,-0.012250598563447722
1985-10-15,-0.014784517158818834
1985-11-15,-0.016600159616919397
1985-12-15,-0.01997206703910614
1986-01-15,-0.027813248204309658
1986-02-15,-0.024660814046288906
1986-03-15,-0.021348762968874696
1986-04-15,-0.017617717478052682
1986-05-15,-0.018535514764565032
1986-06-15,-0.014046288906624101
1986-07-15,-0.010474860335195528
1986-08-15,-0.005806065442936939
1986-09-15,-0.009836392657621713
1986-10-15,-0.013268156424580995
1986-11-15,-0.018216280925778136
1986-12-15,-0.024960095770151628
1987-01-15,-0.0295291300877893
1987-02-15,-0.02783320031923384
1987-03-15,-0.021029529130087786
1987-04-15,-0.017079010375099755
1987-05-15,-0.01630087789305665
1987-06-15,-0.017517956903431744
1987-07-15,-0.01149241819632881
1987-08-15,-0.011013567438148436
1987-09-15,-0.013667198723064641
1987-10-15,-0.01458499600957701
1987-11-15,-0.02242617717478053
1987-12-15,-0.028092577813248205
1988-01-15,-0.027055067837190735
1988-02-15,-0.024780526735834005
1988-03-15,-0.018715083798882686
1988-04-15,-0.018096568236233047
1988-05-15,-0.021109337589784515
1988-06-15,-0.01642059058260176
1988-07-15,-0.010175578611332807
1988-08-15,-0.007621707901037528
1988-09-15,-0.009337589784517144
1988-10-15,-0.011711891460494818
1988-11-15,-0.01755786113328012
1988-12-15,-0.01418595371109338
1989-01-15,-0.019074221867517963
1989-02-15,-0.02092976855546689
1989-03-15,-0.02398244213886672
1989-04-15,-0.01995211492418197
1989-05-15,-0.019034317637669593
1989-06-15,-0.014584996009577019
1989-07-15,-0.013387869114126087
1989-08-15,-0.009357541899441348
1989-09-15,-0.007881085395051873
1989-10-15,-0.013627294493216277
1989-11-15,-0.01584197924980048
1989-12-15,-0.019413407821229044
1990-01-15,-0.02144852354349561
1990-02-15,-0.022486033519553073
1990-03-15,-0.01839584996009577
1990-04-15,-0.01634078212290503
1990-05-15,-0.01658020750199521
1990-06-15,-0.020550678371907417
1990-07-15,-0.009417398244213896
1990-08-15,-0.010155626496408627
1990-09-15,-0.009557063048683168
1990-10-15,-0.015203511572226654
1990-11-15,-0.01937350359138068
1990-12-15,-0.019253790901835592
1991-01-15,-0.020490822027134873
1991-02-15,-0.026955307262569825
1991-03-15,-0.01747805267358339
1991-04-15,-0.014904229848363924
1991-05-15,-0.013826815642458105
1991-06-15,-0.014265762170790104
1991-07-15,-0.010275339185953705
1991-08-15,-0.015562649640861943
1991-09-15,-0.012909018355945722
1991-10-15,-0.011831604150039898
1991-11-15,-0.019912210694333604
1991-12-15,-0.02306464485235436
1992-01-15,-0.03112529928172386
1992-02-15,-0.03078611332801276
1992-03-15,-0.01871508379888268
1992-04-15,-0.02120909816440542
1992-05-15,-0.016061452513966488
1992-06-15,-0.01701915403032722
1992-07-15,-0.015582601755786117
1992-08-15,-0.011492418196328815
