Month,xvelocVertMean
1,-0.023609836392657624
2,-0.023141959297685553
3,-0.01994662809257781
4,-0.017367817238627296
5,-0.01641161213088587
6,-0.015029928172386273
7,-0.010858439744612928
8,-0.01007881085395052
9,-0.011232043096568237
10,-0.014156025538707104
11,-0.018641759776536312
12,-0.021306364724660812
