Month,MixingTurboZ
1,16.307163806863528
2,15.859954110135675
3,15.00664854349561
4,13.656790702314444
5,12.39915003990423
6,11.734334596967278
7,11.294196927374301
8,11.18899092178771
9,11.364762569832402
10,12.566811652035117
11,14.850662909018357
12,16.341374700718276
