year,biweekly,ewe_row,ewe_col,date_rep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,zmin_m,zmax_m,avg_nitrogen_primary_mmol_m2_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,N_FLUX_MULT
2015,2,128,31,2015-01-26 00:00:00,329.942,0.01658,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,329.942,4.6213986114,16.580000000000002,2015-01-26,4448,0.00427116500213742,0.000203935909667052,0.291257083415985,0.0481211878359318,0.053812213242054,0.890204310417175,0.172417357563972,0.514158725738525,0.585570633411407,0.00362030160613358,0.0203198157250881,0.262962847948074,0.0262017864733934,0.163240015506744,0.16611884534359,0.568259716033936,0.894952297210693,0.772205531597137,0.130992278456688,0.129535779356956,1.577698
2015,2,126,32,2015-01-27 00:00:00,519.1909999999999,0.026089999999999995,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,519.1909999999999,7.272152579699999,26.089999999999996,2015-01-26,4448,0.004079504404217,0.000195934262592345,0.281202584505081,0.042595949023962,0.00480794906616211,0.915214478969574,0.177850723266602,0.509711503982544,0.568897187709808,0.00349836866371334,0.0215377006679773,0.257210910320282,0.0230237357318401,0.123615279793739,0.135346591472626,0.585572600364685,0.939405620098114,0.809576272964478,0.128646612167358,0.120785526931286,1.0
2015,2,127,29,2015-01-27 00:00:00,322.579,0.016210000000000002,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,322.579,4.5182672793,16.21,2015-01-26,4448,0.0042647160589695,0.000203848816454411,0.291278213262558,0.0520344600081444,0.00725944899022579,0.865185856819153,0.167192399501801,0.510628700256348,0.591572105884552,0.00361705990508199,0.0193218216300011,0.259599924087524,0.0288879536092281,0.326667487621307,0.322786450386047,0.552956819534302,1.44167768955231,1.29641199111938,0.223019659519196,0.136271595954895,1.0
2015,4,19,10,2015-02-15 00:00:00,507.251,0.025490000000000002,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,507.251,7.1049125817,25.490000000000002,2015-02-16,4455,0.00270756427198648,0.000127417792100459,0.192163541913033,0.0340568646788597,0.00456460518762469,0.642712831497192,0.124326750636101,0.369942188262939,0.426587551832199,0.00208750599995255,0.0143044525757432,0.134808242321014,0.0289383344352245,0.241574734449387,0.228756949305534,0.533794283866882,1.62950313091278,1.32271337509155,0.217126682400703,0.0808672085404396,0.717135
2015,4,20,14,2015-02-15 00:00:00,497.102,0.02498,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,497.102,6.962758583399999,24.98,2015-02-16,4455,0.00269681308418512,0.000126531886053272,0.19122539460659,0.0193756595253944,0.457937449216843,0.6203892827034,0.116919964551926,0.353058129549026,0.410885602235794,0.00206590816378593,0.0130749959498644,0.131264537572861,0.0263858269900084,0.203564286231995,0.19564089179039,0.510937452316284,1.52570736408234,1.27613961696625,0.21340200304985,0.0785097256302834,0.717135
2015,4,21,6,2015-02-15 00:00:00,506.1565,0.025435000000000003,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,506.1565,7.08958224855,25.435000000000002,2015-02-16,4455,0.00271646631881595,0.000128365296404809,0.193332269787788,0.0271957740187645,0.22793635725975,0.667792856693268,0.132889553904533,0.392775684595108,0.450298875570297,0.00211868179030716,0.0156400129199028,0.138691768050194,0.0321317948400974,0.300628662109375,0.274060487747192,0.556639492511749,1.74069440364838,1.42796993255615,0.224924594163895,0.0831185728311539,0.717135
2015,4,14,20,2015-02-16 00:00:00,473.7195,0.023805,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,473.7195,6.63524692065,23.805,2015-02-16,4455,0.00260602543130517,0.000121258301078342,0.185007780790329,0.0160119719803333,0.382182091474533,0.550704598426819,0.0954530313611031,0.303328305482864,0.367928713560104,0.00191424321383238,0.00958243850618601,0.116816975176334,0.022681463509798,0.14248825609684,0.150988504290581,0.473986208438873,1.35921275615692,1.23646771907806,0.21914342045784,0.0774364620447159,1.0
2015,4,17,22,2015-02-16 00:00:00,480.6845,0.024155000000000003,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,480.6845,6.73280358615,24.155,2015-02-16,4455,0.00262044556438923,0.000122121055028401,0.186269208788872,0.0314381532371044,0.190850302577019,0.555502235889435,0.0972873345017433,0.310079246759415,0.375026017427444,0.00194169010501355,0.00984744448214769,0.11927904188633,0.0232773423194885,0.148210555315018,0.155280202627182,0.478501945734024,1.40159225463867,1.24512231349945,0.220940098166466,0.0780836641788483,1.0
2015,4,18,19,2015-02-16 00:00:00,464.26699999999994,0.023329999999999997,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,464.26699999999994,6.502848588899999,23.33,2015-02-16,4455,0.00263926293700933,0.000123253033962101,0.187650188803673,0.0265256576240063,0.304178535938263,0.561421275138855,0.099983274936676,0.317074954509735,0.38197535276413,0.00197553844191134,0.0102073755115271,0.121627874672413,0.0238926187157631,0.158091202378273,0.167999237775803,0.479175686836243,1.31981575489044,1.18853175640106,0.20457062125206,0.0779938623309135,0.717135
2015,4,41,4,2015-02-18 00:00:00,450.4364999999999,0.022635,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,450.4364999999999,6.309128924549999,22.634999999999998,2015-02-19,4456,0.00264801946468651,0.000125276696053334,0.193090572953224,0.0417932346463203,0.00226427754387259,0.624266445636749,0.122873842716217,0.389166414737701,0.460974484682083,0.00209731608629227,0.0131206316873431,0.141558527946472,0.0305978283286095,0.33077871799469,0.306163728237152,0.505557358264923,2.03127932548523,1.60006093978882,0.294242024421692,0.0816606879234314,1.0
2015,4,52,3,2015-02-18 00:00:00,494.6144999999999,0.024854999999999995,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,494.6144999999999,6.927916917149999,24.854999999999997,2015-02-19,4456,0.00263801426626742,0.000124589336337522,0.194032698869705,0.041361965239048,0.000498929410241544,0.603639721870422,0.117829367518425,0.384178400039673,0.467309087514877,0.00211949576623738,0.0120271509513259,0.141915157437325,0.0296553317457438,0.273525983095169,0.273645043373108,0.488468050956726,1.83558392524719,1.51786398887634,0.293581128120422,0.0884524434804916,1.0
2015,4,128,31,2015-02-19 00:00:00,334.9169999999999,0.016829999999999998,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,334.9169999999999,4.691081943899999,16.83,2015-02-19,4456,0.00406585168093443,0.00018620683113113,0.264427721500397,0.0430409237742424,0.0401910096406937,0.716682016849518,0.14159944653511,0.433550179004669,0.505403280258179,0.00300612207502127,0.0152429630979896,0.23486365377903,0.0278278887271881,0.237886592745781,0.232229650020599,0.53270012140274,1.4548556804657,1.0912778377533,0.200536504387856,0.0943135917186737,1.53467
2015,4,127,29,2015-02-19 00:00:00,345.663,0.01737,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,345.663,4.8415979421,17.37,2015-02-19,4456,0.00405645836144686,0.000185883924132213,0.26423117518425,0.0484624952077866,0.00458120508119464,0.688101172447205,0.135532632470131,0.427262932062149,0.508554577827454,0.00299828103743494,0.0141095034778118,0.230668246746063,0.0304871611297131,0.440963298082352,0.395887970924377,0.511398911476135,2.21896529197693,1.66834509372711,0.327670097351074,0.100456699728966,1.0
2015,4,126,32,2015-02-19 00:00:00,517.6985,0.026015,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,517.6985,7.251247579949999,26.015,2015-02-19,4456,0.00387589517049491,0.000178495582076721,0.254865288734436,0.0451771505177021,0.00300012063235044,0.737761437892914,0.143887728452682,0.42393946647644,0.482154071331024,0.00289083644747734,0.0159001126885414,0.2299784719944,0.0237950831651688,0.169258311390877,0.178467243909836,0.556756794452667,1.52496469020844,1.14229667186737,0.195883467793465,0.0862671732902527,1.0
2015,4,59,16,2015-02-19 00:00:00,505.5595,0.025405,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,505.5595,7.08122024865,25.405,2015-02-19,4456,0.00289672729559243,0.000133905108668841,0.198389410972595,0.0113853868097067,0.50853431224823,0.664654552936554,0.123520500957966,0.387577831745148,0.446095675230026,0.00222891941666603,0.0144919697195292,0.139034569263458,0.0294231735169888,0.28855362534523,0.266537994146347,0.504501402378082,1.67643880844116,1.38986098766327,0.240432590246201,0.0821571946144104,0.717135
2015,4,126,29,2015-02-19 00:00:00,323.87249999999995,0.016274999999999998,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,323.87249999999995,4.536384945749999,16.275,2015-02-19,4456,0.00405536638572812,0.000185842756764032,0.264209270477295,0.0490394830703735,0.00305741420015693,0.687572419643402,0.135462582111359,0.427582859992981,0.509566307067871,0.00299736484885216,0.014094740152359,0.230683103203773,0.0307180732488632,0.436431527137756,0.391035586595535,0.510866105556488,2.17978620529175,1.6360000371933,0.322789877653122,0.101194284856319,1.0
2015,4,55,11,2015-02-19 00:00:00,518.992,0.02608,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,518.992,7.2693652464,26.08,2015-02-19,4456,0.00282914866693318,0.000131960114231333,0.198155462741852,0.0384682640433311,0.042691420763731,0.672467112541199,0.129626780748367,0.408026307821274,0.474674433469772,0.00221891421824694,0.0149775790050626,0.143210783600807,0.0323612205684185,0.342523396015167,0.316559195518494,0.52512514591217,1.91166186332703,1.53569078445435,0.272427290678024,0.0884185805916786,1.0
2015,4,12,4,2015-02-19 00:00:00,396.20899999999995,0.01991,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,396.20899999999995,5.5495806003,19.91,2015-02-19,4456,0.00261509488336742,0.000122697834740393,0.186887547373772,0.0289914421737194,0.162601962685585,0.624583184719086,0.123066648840904,0.358262687921524,0.412027686834335,0.00197030184790492,0.0137119041755795,0.133299708366394,0.027564899995923,0.11699290573597,0.11866357177496,0.545173466205597,0.992006421089172,0.776160418987274,0.131308346986771,0.0754486694931984,1.577698
2015,4,5,4,2015-02-19 00:00:00,519.987,0.02613,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,519.987,7.2833019129,26.13,2015-02-19,4456,0.00253959000110626,0.000121019591460936,0.184998050332069,0.0263528060168028,0.00355034810490906,0.631018400192261,0.128820464015007,0.350748032331467,0.39930522441864,0.00192773714661598,0.0137627571821213,0.133926957845688,0.0238890685141087,0.0985501706600189,0.105458118021488,0.572373867034912,1.10832786560059,0.834341168403625,0.129532769322395,0.0697173774242401,1.0
2015,4,68,19,2015-02-20 00:00:00,499.19149999999996,0.025085,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,499.19149999999996,6.992025583049999,25.085,2015-02-19,4456,0.00295286206528544,0.000135671798489057,0.198411181569099,0.0318461768329144,0.22339802980423,0.666852355003357,0.12289521843195,0.384299039840698,0.446304738521576,0.00224620336666703,0.0142609411850572,0.13505220413208,0.0304349549114704,0.3113993704319,0.289012134075165,0.502199232578278,1.73696804046631,1.44187903404236,0.257294654846191,0.0866315811872482,1.0
2015,4,74,39,2015-02-20 00:00:00,492.4254999999999,0.024744999999999996,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,492.4254999999999,6.897256250849998,24.744999999999997,2015-02-19,4456,0.00287965917959809,0.000129146748804487,0.188581377267838,0.00780746806412935,0.377038210630417,0.586129069328308,0.0968454703688622,0.302903771400452,0.360242575407028,0.00205508735962212,0.0102141760289669,0.115495979785919,0.0209518056362867,0.130234271287918,0.139194622635841,0.460067242383957,1.59047150611877,1.31969904899597,0.2471614331007,0.0743193700909615,1.0
2015,4,57,26,2015-02-20 00:00:00,503.3705,0.025295,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,503.3705,7.05055958235,25.295,2015-02-19,4456,0.00282240961678326,0.000129287014715374,0.192266955971718,0.0207642521709204,0.353262931108475,0.57627922296524,0.0987958610057831,0.32047963142395,0.376495569944382,0.00209552492015064,0.0103495456278324,0.124553002417088,0.0210174433887005,0.150309681892395,0.156513690948486,0.4373579621315,1.41192984580994,1.20450699329376,0.226032748818398,0.0729860067367554,0.717135
2015,5,58,43,2015-03-04 00:00:00,290.2415,0.014584999999999999,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,290.2415,4.06532561805,14.584999999999999,2015-03-03,4460,0.00255828956142068,0.000113170375698246,0.170363083481789,0.0379404164850712,0.00339565263129771,0.515082180500031,0.0950350612401962,0.315870314836502,0.372986912727356,0.00168757536448538,0.00923344772309065,0.0956758707761765,0.0376029647886753,0.347619444131851,0.291361659765244,0.574204742908478,2.79288864135742,2.04114103317261,0.396079301834106,0.0596785023808479,1.0
2015,5,77,35,2015-03-10 00:00:00,261.38649999999996,0.013134999999999997,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,261.38649999999996,3.6611622895499996,13.134999999999998,2015-03-09,4462,0.00276722433045506,0.00012090725795133,0.179088443517685,0.0209623202681541,0.3679518699646,0.547220468521118,0.105596870183945,0.360736936330795,0.419712036848068,0.00185423099901527,0.0117045678198338,0.116790607571602,0.0414261631667614,0.51993054151535,0.428546518087387,0.508166074752808,2.09517931938171,1.67286574840546,0.295062720775604,0.0614102408289909,0.717135
2015,5,69,35,2015-03-10 00:00:00,259.9935,0.013065,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,259.9935,3.64165095645,13.065,2015-03-09,4462,0.00271169515326619,0.000118700132588856,0.176757961511612,0.00443094410002232,0.380631923675537,0.537516474723816,0.106281280517578,0.368637293577194,0.423703730106354,0.00180443271528929,0.0115483645349741,0.111785367131233,0.0462683625519276,0.622908771038055,0.464373677968979,0.555130839347839,2.79345536231995,2.00874352455139,0.386665672063828,0.0600223354995251,1.0
2015,5,68,19,2015-03-10 00:00:00,259.9935,0.013065,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,259.9935,3.64165095645,13.065,2015-03-09,4462,0.00280115636996925,0.000125125327031128,0.186237767338753,0.0315565206110477,0.193762972950935,0.581391155719757,0.117779634892941,0.413690239191055,0.490200877189636,0.00196809368208051,0.0137646794319153,0.129285424947739,0.0458872802555561,0.746692299842834,0.554180502891541,0.488774091005325,2.59382128715515,1.77420330047607,0.392466694116592,0.0754413530230522,1.0
2015,5,20,14,2015-03-10 00:00:00,282.18199999999996,0.01418,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,282.18199999999996,3.9524386193999996,14.18,2015-03-09,4462,0.00254301563836634,0.000115465561975725,0.177696868777275,0.019168097525835,0.427561700344086,0.544612288475037,0.11642487347126,0.400989294052124,0.470769613981247,0.00177518324926496,0.0134649565443397,0.1251160800457,0.0460780151188374,0.714582920074463,0.532410502433777,0.502150893211365,2.29967021942139,1.63228726387024,0.323688417673111,0.0668482407927513,0.717135
2015,5,19,10,2015-03-10 00:00:00,229.54649999999998,0.011535,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,229.54649999999998,3.21518896155,11.535,2015-03-09,4462,0.00255163921974599,0.000116214061563369,0.178594470024109,0.0378738716244698,0.00345707521773875,0.552746176719666,0.119980119168758,0.409662812948227,0.482366234064102,0.00179173215292394,0.0140984151512384,0.126988723874092,0.0465439110994339,0.751011967658997,0.553122341632843,0.498927652835846,2.31079030036926,1.58256530761719,0.324194729328156,0.0702119097113609,0.717135
2015,5,21,6,2015-03-10 00:00:00,227.5565,0.011435,1,2.0,20.0,0.0,0.0,0.0,0.0,0.1,20.0,227.5565,3.18731562855,11.435,2015-03-09,4462,0.00256063230335712,0.000117111310828477,0.179864838719368,0.0275427047163248,0.226969644427299,0.602962613105774,0.133102968335152,0.445944666862488,0.515900909900665,0.00181627436541021,0.016955504193902,0.134199470281601,0.0488256961107254,0.794946789741516,0.58555656671524,0.536413908004761,2.59325933456421,1.67765307426453,0.332587689161301,0.0727077573537827,0.717135
