date,year,month,season,ZC2-AMP,Total
1978-01-02,1978,1,Winter,0.899754062817768,3.1305149992697134
1978-01-05,1978,1,Winter,0.8867656660672472,3.0902906761113824
1978-01-08,1978,1,Winter,0.8767524072074332,3.041743317394886
1978-01-11,1978,1,Winter,0.8721519045368796,2.9945645678547805
1978-01-14,1978,1,Winter,0.8739775025986253,2.9654177075309
1978-01-17,1978,1,Winter,0.8806623150860463,2.9704238145556117
1978-01-20,1978,1,Winter,0.890240839146132,3.0037215930905052
1978-01-23,1978,1,Winter,0.9017855968170166,3.043326193193777
1978-01-26,1978,1,Winter,0.9133895700616379,3.0754403167363176
1978-01-29,1978,1,Winter,0.9209056814525951,3.111522568594843
1978-02-01,1978,2,Winter,0.9208071092833943,3.146289469144739
1978-02-04,1978,2,Winter,0.9127108711434725,3.152769957407383
1978-02-07,1978,2,Winter,0.897333948137431,3.1233462539606904
1978-02-10,1978,2,Winter,0.881375339719606,3.078137897104342
1978-02-13,1978,2,Winter,0.8670680724844826,3.028325780981794
1978-02-16,1978,2,Winter,0.8519967681528007,2.9729242018459905
1978-02-19,1978,2,Winter,0.8359899971699783,2.9078246138439403
1978-02-22,1978,2,Winter,0.8210634546420047,2.8395079953075584
1978-02-25,1978,2,Winter,0.8065236195003023,2.7700237056882013
1978-02-28,1978,2,Winter,0.7926164610268387,2.6977944516049384
1978-03-03,1978,3,Spring,0.7793714564999753,2.623916471801971
1978-03-06,1978,3,Spring,0.7659455923134979,2.548777550781441
1978-03-09,1978,3,Spring,0.7527011004191703,2.479777991760037
1978-03-12,1978,3,Spring,0.7393222049236261,2.4184799168747664
1978-03-15,1978,3,Spring,0.7268778703029506,2.3652036021450975
1978-03-18,1978,3,Spring,0.7141752926426808,2.3174290533450055
1978-03-21,1978,3,Spring,0.7019194373781742,2.2729703838013897
1978-03-24,1978,3,Spring,0.6897854512876503,2.2307499091885266
1978-03-27,1978,3,Spring,0.6783665380828797,2.194815743601549
1978-03-30,1978,3,Spring,0.6673969203631144,2.1634792125173625
1978-04-02,1978,4,Spring,0.6575001890647745,2.1393284790736224
1978-04-05,1978,4,Spring,0.6487795911471327,2.125110285156513
1978-04-08,1978,4,Spring,0.6420171219891759,2.125433640304313
