N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,group
16,0.25704716095208324,1.0157120978823542,1.2158165105823455,1.2158165105823455,-0.32804123699729854,0.10761105317071779,464.8098736292927,-2.438492893709827,0.15416995680364143,ZS2-CTH
16,0.6323785742072507,1.257431557741767,1.5934865469099384,1.5934865469099384,-0.6307082129646201,0.3977928499010246,671.0655732885948,-4.32215630694756,0.12487646771479066,ZS3-CHA
14,0.010635717403793623,0.8187383795757374,0.9714853818739501,0.9714853818739501,0.09695096764494013,0.009399490127290227,181.21500656299898,-0.8052105364530191,0.4295811620906437,ZS4-LAR
16,0.38155052819056745,1.1260990484665316,1.5366603426753596,1.5366603426753596,-0.6434183062638615,0.4139871168354563,373.72439125645053,-2.9667006953024986,0.1311065897168342,Total
