Label,Type,Count,Total,Proportion
Satellite,Categorical Agreement,9,14,0.6428571428571429
C09,Categorical Agreement,17,39,0.4358974358974359
Satellite,Timing Window Overlap,2,14,0.14285714285714285
C09,Timing Window Overlap,11,39,0.28205128205128205
