timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
1,0.004600298,0.0001800125,0.2801002,0.0300355,0.6053447,0.516423,0.09081144,0.6493817,0.5065756,0.003001348,0.03032109,0.2612047,0.0458911,1.226974,0.9153004,0.4805386,4.969698,1.766583,0.3950431,0.1314103,8.172534,10.50261,1978-01-02,Fall
2,0.004601344,0.0001800668,0.2805796,0.03013409,0.6183679,0.5139676,0.09272347,0.6751327,0.5251734,0.003007657,0.03096727,0.2631683,0.05469372,1.446907,1.050196,0.5022091,6.033862,1.86927,0.4023281,0.1142532,8.523801,11.37211,1978-01-05,Fall
3,0.004604194,0.0001802188,0.2815966,0.03028884,0.6358925,0.5130336,0.09524448,0.7086449,0.5523238,0.003021359,0.03204,0.2661534,0.06312093,1.654928,1.20545,0.5161366,6.357279,1.881535,0.3959271,0.1104302,8.918201,12.3862,1978-01-08,Fall
4,0.004609536,0.0001805028,0.2831874,0.03049483,0.6561399,0.5136848,0.09810545,0.7456539,0.5851302,0.003043357,0.03350662,0.2701513,0.06977695,1.816821,1.347891,0.523635,6.378107,1.855352,0.3868293,0.1155445,9.301611,13.37053,1978-01-11,Fall
5,0.004617895,0.0001809426,0.2853323,0.03074825,0.6780834,0.5158274,0.101157,0.7840541,0.6212696,0.003073776,0.0352865,0.2750433,0.07444804,1.932709,1.465235,0.5282919,6.297061,1.818378,0.3786944,0.1264313,9.657369,14.24164,1978-01-14,Fall
6,0.004629676,0.0001815551,0.287991,0.03104585,0.7010976,0.5193077,0.1043119,0.8227812,0.6589479,0.003112366,0.03729174,0.280683,0.07744259,2.013364,1.556242,0.5327712,6.195441,1.782461,0.3721818,0.1403239,9.983418,14.97114,1978-01-17,Fall
7,0.004645187,0.0001823525,0.2911192,0.03138458,0.7247729,0.5239618,0.1075155,0.8612577,0.6968166,0.003158715,0.03944304,0.2869322,0.07919133,2.069617,1.624256,0.5382426,6.101474,1.7515,0.3670548,0.1548512,10.28189,15.56125,1978-01-20,Fall
8,0.004664664,0.000183343,0.2946746,0.03176149,0.748821,0.529636,0.1107301,0.8991348,0.733882,0.003212347,0.04167409,0.2936714,0.08007663,2.109476,1.673804,0.5447825,6.022275,1.726032,0.3629532,0.1683313,10.55528,16.02874,1978-01-23,Fall
9,0.004688281,0.000184532,0.2986188,0.03217364,0.7730266,0.5361946,0.1139286,0.9361781,0.7694265,0.003272768,0.04393139,0.3008001,0.08038782,2.138244,1.709169,0.5519404,5.957573,1.705428,0.3595987,0.179889,10.80559,16.39486,1978-01-26,Fall
10,0.004716165,0.0001859227,0.3029168,0.03261812,0.7972229,0.5435194,0.1170901,0.972217,0.8029482,0.003339478,0.04617276,0.3082345,0.08032814,2.159318,1.733914,0.5591615,5.905054,1.688809,0.3568081,0.1893021,11.03437,16.68012,1978-01-29,Fall
