obs_std,mod_std,R,RMSE,Bias,WSS,Group
0.386577627737443,0.358293581740107,0.4079118978936306,0.527169267810142,-0.33628743213684603,0.5717015641278334,TOT
0.6000382373803621,0.3393009717494122,0.18587187679782058,0.7394151290744663,-0.38372950167245196,0.4683721915649355,ZS2-CTH
0.4844071303986021,0.1407728974061415,0.28382322671157545,0.5857128241218037,-0.35679243180711206,0.46404629677346765,ZC2-AMP
0.7874167198671603,0.36294921881703895,0.2597167178725513,0.7986412374051451,0.18579738311532656,0.4518284174699363,ZC1-EUP
0.3630903306215132,0.5233226705000583,0.23329448128653762,0.6987200621546473,-0.4137229452984909,0.4067281344423712,ZC5-CSM
0.4526495800950777,0.18998415611443403,-0.05119431488801253,0.6190442186586218,-0.3652739857574567,0.39416441220959086,ZS3-CHA
0.5986863318412918,0.29211767593376187,-0.08293192241389444,0.8130304788475675,-0.4338814262221346,0.37281198224733736,ZC4-CLG
0.7319461198048824,0.6613886791241536,0.064179765437246,0.9547160196042379,0.021012673147526313,0.3305152205860401,ZS4-LAR
0.852760979358316,0.5584383678308755,-0.09815146117719012,1.1848386668827549,-0.5208701180350275,0.2879585769059103,ZF1-ICT
0.6441503642299071,0.15788526345604445,-0.19610272428737593,0.7048232652714269,-0.1305004499173892,0.20407619383225772,ZC3-DEC
