Label,Type,Count,Total,Proportion
Suchy,Categorical Agreement,8,14,0.5714285714285714
Allen,Categorical Agreement,17,39,0.4358974358974359
Suchy,Timing Window Overlap,5,14,0.35714285714285715
Allen,Timing Window Overlap,11,39,0.28205128205128205
