obs_std,mod_std,R,RMSE,Bias,WSS,Group
5.108934392884897,1.1566730139424346,0.353824368520214,5.684744375135663,-3.009812500636134,0.4497518502947867,TOT
0.8436774849365698,0.226792786563384,0.25740815629339914,0.9349259733830185,-0.45756403457625633,0.43782690506534794,ZC5-CSM
1.1132657946742315,0.32411401246760113,0.41570535210344567,1.081809440496255,-0.3548166378819375,0.4247132486984404,ZC2-AMP
0.5678427399417115,0.03745216373984415,0.003026712025744072,0.7344982066933797,-0.46450867759837605,0.4181425837524342,ZS3-CHA
0.1098660254456917,0.035144083596222536,0.24970785256903832,0.11326586831451305,-0.03810277040574013,0.3921074403538567,ZS2-CTH
1.6743071422481612,0.2507473115466763,0.14569377860049268,1.794064283674304,-0.6890723421745961,0.34294447522858984,ZC4-CLG
0.3104725583504366,0.06113195239004255,0.032200946532058294,0.3284447190948409,-0.09469922413085213,0.27854297355977686,ZC3-DEC
0.25936793058084817,0.013785800293085024,0.22972619821471454,0.2678366562186852,-0.07692540652836731,0.24360713228981878,ZS4-LAR
3.262942855564232,0.30866229237994075,0.13984579056538063,3.3409524596891425,-0.837607010056604,0.2034287738483712,ZC1-EUP
0.3219216388510825,0.010197757443177696,-0.11378856841365192,0.3369326328469263,-0.09507341954741347,0.16773086331453524,ZF1-ICT
