N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group,Pass,Season,ObsSummary
19,0.27320032118899235,0.9275800396697228,1.1860963171989027,1.1860963171989027,-0.14131038441660043,0.01996862474396739,1446.419068440987,-1.273016965114072,0.33137905322992556,ZC1-EUP,ZC,All,log_of_mean
19,0.09565103951599849,0.5927747826149619,0.6742134898306231,0.6742134898306231,0.5912588148644623,0.3495869861549285,1099.6907999004973,-0.09086538612462025,0.7579268460404975,ZC2-AMP,ZC,All,log_of_mean
19,0.40307906763722273,1.0392903247842817,1.473247426557214,1.473247426557214,-0.3142681173770295,0.09876444959970238,5167.517052792876,-1.2808592091373012,0.28034325203214705,ZC3-DEC,ZC,All,log_of_mean
19,-0.17962583270605792,0.8763992166234233,1.1145212745069246,1.1145212745069246,-0.07245634876540796,0.005249922476414436,269.11574945282047,-1.2766584293109084,0.37413952066782796,ZC4-CLG,ZC,All,log_of_mean
19,-0.05847852462797581,0.6562191292883993,0.8088219560360381,0.8088219560360381,0.21274269537453638,0.045259454435222786,384.23019974416235,-1.5261674115010342,0.4770228172455233,ZC5-CSM,ZC,All,log_of_mean
19,0.0760182196424823,0.9158780748558938,1.16971837141431,1.16971837141431,-0.19879633304096253,0.03951998203053329,174.52332836797478,-1.4914432956604675,0.2919471649722185,Total,ZC,All,log_of_mean
19,0.0009752485467861064,1.0372147141643462,1.1823223841294168,1.1823223841294168,-0.11928058608889233,0.014227858217709655,273.76560220721746,-0.9931898601708218,0.2966240209220178,ZC1-EUP,ZC,All,mean_of_logs
19,0.038129791300085925,0.5769619694052992,0.6657369795470506,0.6657369795470506,0.6021350453616396,0.36256661285266384,271.5367534402334,0.004134141480234832,0.7677303726559859,ZC2-AMP,ZC,All,mean_of_logs
19,0.21098812081691085,0.8820863589608801,1.2319217383811867,1.2319217383811867,-0.1653839313264783,0.02735184474100129,448.08413370219745,-1.2390845495699807,0.3101221725992771,ZC3-DEC,ZC,All,mean_of_logs
19,-0.21877998745750976,0.837170980202579,1.025528634585154,1.025528634585154,0.06577754349634764,0.004326685228413905,185.00376467305443,-1.1390695341559844,0.39403658022647925,ZC4-CLG,ZC,All,mean_of_logs
19,-0.15975365799668279,0.6582949619541207,0.7893385227215779,0.7893385227215779,0.29774918136963185,0.08865457500628593,354.2991408782881,-1.238620151504258,0.5265856080912235,ZC5-CSM,ZC,All,mean_of_logs
19,-0.014655507149690276,0.7823736025711764,0.9636032267921512,0.9636032267921512,0.090871947198149,0.00825771078758318,314.9262220261381,-1.1470604618366318,0.43024725165180644,Total,ZC,All,mean_of_logs
11,0.419061010938672,1.1512612002797014,1.4073312912352143,1.4073312912352143,0.1169433457470392,0.01367574611451155,214.34832027226932,-0.6776511867054635,0.5103998534684535,ZC1-EUP,ZC,Winter,log_of_mean
12,0.11329932958168444,0.8490819873856078,1.0530635996003992,1.0530635996003992,0.3449234551282975,0.11897218989764265,127.23668121852786,-0.4110422190680043,0.6368204351218925,ZC2-AMP,ZC,Winter,log_of_mean
12,0.025081784546635844,1.187740128474096,1.4361475395848546,1.4361475395848546,-0.19786883443566514,0.03915207564092866,197.60408303542775,-1.3642429209005353,0.336282844275692,ZC3-DEC,ZC,Winter,log_of_mean
12,-0.12149339178638134,0.9695014175896953,1.1339845326852227,1.1339845326852227,0.29182119461008044,0.08515960962365444,124.90877524453789,-0.3834566759731184,0.596763773951223,ZC4-CLG,ZC,Winter,log_of_mean
12,-0.15242059937846034,1.4408304427772176,1.8482739089640645,1.8482739089640645,-0.03171841501982675,0.0010060578513699711,139.46332773792366,-0.46182118967417973,0.3832457533828698,ZC5-CSM,ZC,Winter,log_of_mean
12,0.12378385174752021,0.9346599000352223,1.243105658014255,1.243105658014255,0.2365298623191585,0.05594637576872008,322.2201119676569,-0.30000842895596724,0.5441946831710492,Total,ZC,Winter,log_of_mean
11,0.12755215229891154,1.1957187591743028,1.3047427446356092,1.3047427446356092,-0.06060869113429388,0.0036734134410122336,263.25416295471945,-1.3321277022649385,0.34816011819498893,ZC1-EUP,ZC,Winter,mean_of_logs
12,0.06494782618290382,0.7174981135138908,0.9038831309749745,0.9038831309749745,0.5135330596948184,0.26371620339952195,181.5124971796206,-0.04532236164412473,0.7342776806708963,ZC2-AMP,ZC,Winter,mean_of_logs
12,-0.20942889184679117,1.2023208621728716,1.4394536401706022,1.4394536401706022,-0.2419936252596537,0.05856091466630971,255.99572806860215,-1.6418904108114494,0.29380841820970316,ZC3-DEC,ZC,Winter,mean_of_logs
12,-0.12074036744536613,0.9403904495868454,1.081798317711755,1.081798317711755,0.3421527000577855,0.11706847015683292,131.52055152320932,-0.312415839061958,0.6266592670489962,ZC4-CLG,ZC,Winter,mean_of_logs
12,-0.23401773915350557,1.3519533626474256,1.7047486885101757,1.7047486885101757,0.02311399905341677,0.0005342569522413514,143.36199563107448,-0.4874330965818583,0.41866961934981806,ZC5-CSM,ZC,Winter,mean_of_logs
12,0.025905880177777497,0.9259098369633784,1.1609260018612129,1.1609260018612129,0.28503861233991856,0.08124701052466637,118.10015305628208,-0.2563710465960889,0.600897797007403,Total,ZC,Winter,mean_of_logs
17,0.1656067436177484,0.7677195823969805,0.9768601664860462,0.9768601664860462,0.6576351201365569,0.4324839512370236,172.59520209119054,0.25706045199739935,0.7933717726160523,ZC1-EUP,ZC,Spring,log_of_mean
17,-0.10046507230007118,0.6907828593320227,0.8244573529096548,0.8244573529096548,0.729014531783109,0.5314621875509457,252.18357717249486,0.405926823572029,0.8434402985046763,ZC2-AMP,ZC,Spring,log_of_mean
17,0.1341736852136057,0.7600526028933196,0.9986010072649838,0.9986010072649838,0.5808457381863567,0.3373817715692536,114.06186116807282,-0.08595531717055072,0.7474633635170973,ZC3-DEC,ZC,Spring,log_of_mean
17,-0.17613680065104434,0.8809067108988335,1.1286663800184689,1.1286663800184689,0.509507522724108,0.2595979157124575,231.23802117045992,-0.034911520574819166,0.7264145696689585,ZC4-CLG,ZC,Spring,log_of_mean
17,0.1111534353193658,0.6878227529973232,0.8598774113909111,0.8598774113909111,0.750164328595683,0.562746519897412,101.98969840678392,0.5368326579660195,0.859696609512596,ZC5-CSM,ZC,Spring,log_of_mean
17,-0.049234807578035424,0.7083470363001052,0.8345357584581792,0.8345357584581792,0.7248177961334088,0.5253608375916917,213.48192612393467,0.38232670092228593,0.8460235537652789,Total,ZC,Spring,log_of_mean
17,-0.11539591039087232,0.6825483941030477,0.8364860410941218,0.8364860410941218,0.7286423511008977,0.5309196758178438,152.79154785166364,0.3212556717009132,0.8402079024361657,ZC1-EUP,ZC,Spring,mean_of_logs
