date,ewe_row,ewe_col,n_depths,min_depth,max_depth,pad_surface,pad_deep,extrap_surface,extrap_deep,cast_nitrogen_int_mmol_m2,cast_nitrogen_avg_mmol_L,year,day_of_year,biweekly,date_rep,zmin_m,zmax_m,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,avg_nitrogen_primary_mmol_m2_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,DE1-POC,N_FLUX_MULT
2017-07-07,40,17,2,0.1,20.0,False,False,False,False,53.73,0.0027,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,53.73,0.0027,0.752579991,2.7,53.73,2017-07-07,4742,0.0022371974773705,9.73174173850566e-05,0.186358362436295,0.0131483767181635,0.967270016670227,1.10120749473572,0.195261865854263,0.817343652248383,0.819738566875458,0.00217566313222051,0.0887724384665489,0.164349123835564,0.0376165173947811,0.891182839870453,0.500358283519745,0.866540908813477,1.29465973377228,2.03013777732849,0.280056416988373,0.0597467198967934,,0.717135
2017-07-07,41,4,2,0.1,20.0,False,False,False,False,42.38699999999999,0.00213,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,42.38699999999999,0.00213,0.5937019928999999,2.13,42.38699999999999,2017-07-07,4742,0.00206119613721967,9.25031417864375e-05,0.190272480249405,0.0416540615260601,0.00519815972074866,1.08530402183533,0.216257408261299,0.989473223686218,1.11090779304504,0.0021482661832124,0.0983293876051903,0.179345920681953,0.0481379926204681,1.23372530937195,0.758657693862915,0.954925835132599,2.12991619110107,2.38311696052551,0.343518108129501,0.0852945074439049,,1.0
2017-07-07,39,30,2,0.1,20.0,False,False,False,False,102.485,0.00515,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,102.485,0.00515,1.4354766495,5.15,102.485,2017-07-07,4742,0.00217994814738631,9.45892243180424e-05,0.185519441962242,0.0279209576547146,0.547781765460968,1.19645917415619,0.197156250476837,0.797830998897552,0.859606683254242,0.00219248328357935,0.0859934315085411,0.154728814959526,0.046132754534483,1.06209588050842,0.529800534248352,1.08726668357849,1.58728635311127,2.75321507453918,0.384535610675812,0.0660499930381775,,1.0
2017-07-07,21,6,2,0.1,20.0,False,False,False,False,99.00249999999998,0.004974999999999999,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,99.00249999999998,0.004974999999999999,1.3866983167499998,4.975,99.00249999999998,2017-07-07,4742,0.00216972222551703,9.62649064604193e-05,0.188457816839218,0.0333557948470116,0.458194375038147,1.05276703834534,0.214567556977272,0.896588683128357,0.929049491882324,0.00219324859790504,0.096702478826046,0.168471798300743,0.0433155000209808,1.0544468164444,0.650170385837555,0.874846339225769,2.16994667053223,1.93476271629333,0.261896908283234,0.0738896653056145,,0.717135
2017-07-07,20,14,2,0.1,20.0,False,False,False,False,141.29,0.0071,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,141.29,0.0071,1.979006643,7.1000000000000005,141.29,2017-07-07,4742,0.00218570372089744,9.67958767432719e-05,0.18820121884346,0.0191370099782944,1.02216958999634,1.13722801208496,0.201498329639435,0.862480580806732,0.888777494430542,0.00220849481411278,0.0910570323467255,0.169821068644524,0.0388441979885101,0.949306428432465,0.544973373413086,0.867971897125244,1.24480247497559,1.99221384525299,0.274220168590546,0.0637770816683769,,0.717135
2017-07-07,19,10,2,0.1,20.0,False,False,False,False,128.355,0.00645,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,128.355,0.00645,1.7978299784999998,6.45,128.355,2017-07-07,4742,0.00218686205334961,9.69935208559036e-05,0.188856482505798,0.0376662500202656,0.00501494249328971,1.14557898044586,0.203153192996979,0.887901961803436,0.914396822452545,0.00221623457036912,0.0918286070227623,0.172730192542076,0.0389104932546616,0.959875345230103,0.562262058258057,0.84482729434967,1.10009562969208,1.9110746383667,0.266807913780212,0.0674953237175941,,0.717135
2017-07-07,17,22,2,0.1,20.0,False,False,False,False,102.485,0.00515,2017,188,14,2017-07-07,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,102.485,0.00515,1.4354766495,5.15,102.485,2017-07-07,4742,0.00213876296766102,9.50650064623915e-05,0.187828108668327,0.0312962308526039,0.507867455482483,1.12119543552399,0.208129823207855,0.866406917572021,0.923420369625092,0.00219368096441031,0.0912132859230042,0.167236849665642,0.0477688834071159,1.13990330696106,0.631275117397308,1.03497624397278,2.21220636367798,2.62624859809875,0.368099510669708,0.071779228746891,,1.0
2017-07-08,68,19,2,0.1,20.0,False,False,False,False,101.53974999999997,0.005102499999999999,2017,189,14,2017-07-08,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,101.53974999999997,0.005102499999999999,1.4222368163249997,5.102499999999999,101.53974999999997,2017-07-07,4742,0.00235096528194845,0.000100761106295977,0.191025376319885,0.0304584577679634,0.486700832843781,1.18617737293243,0.202935814857483,0.863472700119019,0.915030241012573,0.00230111414566636,0.0941782221198082,0.173619478940964,0.041511096060276,1.02588129043579,0.543096303939819,0.919962584972382,0.964904427528381,2.39377641677856,0.359789609909058,0.0791248753666878,,1.0
2017-07-08,69,34,2,0.1,20.0,False,False,False,False,89.05249999999998,0.004475,2017,189,14,2017-07-08,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,89.05249999999998,0.004475,1.2473316517499997,4.475,89.05249999999998,2017-07-07,4742,0.0023160099517554,9.76504234131426e-05,0.185429617762566,0.00953610241413116,1.00751614570618,1.18659162521362,0.201514706015587,0.834692537784576,0.845841884613037,0.00224326248280704,0.0935441553592682,0.155573084950447,0.0421445816755295,0.982800364494324,0.513569414615631,0.988820195198059,1.45027983188629,2.49910116195679,0.357885926961899,0.0688918009400368,,1.0
2017-07-08,77,35,2,0.1,20.0,False,False,False,False,109.44999999999999,0.0055,2017,189,14,2017-07-08,0.1,20.0,1,2,20.0,0.0,0.0,0.0,0.0,109.44999999999999,0.0055,1.533033315,5.5,109.44999999999999,2017-07-07,4742,0.00234092748723924,9.80638724286109e-05,0.185798466205597,0.0218608155846596,1.04276216030121,1.18977546691895,0.207178577780724,0.856834650039673,0.850154519081116,0.0022753335069865,0.0986510887742043,0.15879300236702,0.0402638651430607,0.943922698497772,0.51245790719986,0.935404658317566,1.28940558433533,2.11168813705444,0.283260881900787,0.0660598054528236,,0.717135
