Cruise,Date.Time,DayOfYear,Station,Lat,Lon,Depth.Bottom,SampleNum,Pressure,Temperature,Salinity,DO2,MLD_bvfnoSmooth,bvf_noSmooth,Chlorophyll,Nitrate_plus_Nitrite,Silicate,Diatoms1,Diatoms2,Prasinophytes,Cryptophytes,Dinoflagellates,Haptophytes,Dictyochophytes,Raphidophytes,Cyanobacteria,TchlA,total diatoms,chlidea,Me-chlide a,sum,ratio,Total cells/ml,Total autrophs/ml,centric diatoms,pennate diatoms,prasinophytes,cryptophytes,auto dinoflagellates,prymnesiophytes,dictyochophytes,raphidophytes,chlorophytes,euglenophytes,UID autotroph,unidentified dinoflagellates,unidentified flagellates,Dominant Species,sdomain,ecospace_closest_lat,ecospace_closest_lon,closest_ecospace_time,PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN,ssc-DIA,ssc-FLA,ssc-CIL
2015-017,2015-04-03 20:20:00,94,56,48.773,-123.025,220.0,134,1.3,9.24,27.37,5.57,7.0,0.001302086,1.69,21.2,40.77,1.09,0.0,0.02,0.09,0.01,0.1,0.01,0.0,0.0,1.34,1.1,0.023,0.086,0.109,0.081,1770,1649.0,1610.0,0.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,107.0,Skeletonema costatum,SGI,48.77114868164063,-123.0221481323242,2015-04-05 00:00:00,2.61533260345459,2.25744795799255,0.533597052097321,7.50531180528924e-05,0.619588136672974,2.3240771293640137,0.0957336351275444,0.13370218873023987
2015-017,2015-04-04 01:32:00,94,46,48.856,-123.179,177.0,146,1.5,9.29,27.39,5.57,4.0,0.00116727,2.29,19.06,38.41,1.17,0.03,0.01,0.06,0.01,0.13,0.01,0.0,0.0,1.41,1.2,0.086,0.172,0.258,0.183,,,,,,,,,,,,,,,,,SGI,48.85482025146485,-123.17511749267578,2015-04-05 00:00:00,1.82425093650818,1.56071579456329,0.359734684228897,1.18493318557739,0.90474271774292,2.771768569946289,0.10357236117124557,0.22733664512634277
2015-017,2015-04-04 05:50:00,94,42,49.03,-123.437,318.0,162,1.5,9.41,17.82,7.52,7.0,0.006696624,5.5,8.41,36.38,3.85,0.0,0.04,0.15,0.0,0.15,0.0,0.0,0.0,4.19,3.85,0.36,1.02,1.38,0.33,2367,2245.0,2211.0,0.0,5.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,116.0,Skeletonema costatum,SGS,49.02141189575195,-123.43959808349608,2015-04-05 00:00:00,2.25781345367432,1.31274008750916,0.277023762464523,0.776914119720459,0.641503810882568,2.771768569946289,0.10357236117124557,0.22733664512634277
2015-017,2015-04-04 11:04:00,94,39,49.163,-123.552,378.0,179,1.7,9.5,21.67,7.41,6.0,0.003928876,5.95,7.66,20.62,4.54,0.04,0.13,0.12,0.01,0.51,0.02,0.0,0.0,5.36,4.57,0.28,1.046,1.326,0.247,,,,,,,,,,,,,,,,,SGS,49.16281509399414,-123.56021881103516,2015-04-05 00:00:00,2.19964814186096,1.28214681148529,0.266606211662292,0.704961776733398,0.576984882354736,2.771768569946289,0.10357236117124557,0.22733664512634277
2015-017,2015-04-04 13:57:00,95,GEO1,49.25,-123.748,403.0,180,1.7,9.58,25.44,6.91,5.0,0.001412686,3.34,10.78,16.89,1.5,0.0,0.03,0.1,0.02,0.56,0.01,0.0,0.0,2.22,1.5,0.043,0.256,0.299,0.134,,,,,,,,,,,,,,,,,SGS,49.2464714050293,-123.75408935546876,2015-04-05 00:00:00,1.98268711566925,1.09650766849518,0.226435899734497,0.463450878858566,0.386030495166779,2.771768569946289,0.10357236117124557,0.22733664512634277
2015-017,2015-04-04 15:59:00,95,27,49.319,-123.8,349.0,196,1.9,9.51,26.32,6.66,7.0,0.001191045,1.92,12.26,21.05,0.91,0.0,0.0,0.08,0.01,0.38,0.0,0.01,0.0,1.4,0.91,0.059,0.202,0.261,0.186,738,709.0,521.0,2.0,0.0,24.0,8.0,144.0,6.0,0.0,0.0,0.0,5.0,8.0,21.0,Skeletonema costatum,SGS,49.32265853881836,-123.79879760742188,2015-04-05 00:00:00,1.87342286109924,1.03643214702606,0.214240953326225,0.390482008457184,0.321393996477127,2.771768569946289,0.10357236117124557,0.22733664512634277
2015-017,2015-04-04 20:47:00,95,2,49.402,-124.156,276.0,211,1.5,9.74,25.93,7.97,11.0,0.001352245,17.61,3.6,5.88,11.46,1.01,0.11,0.37,0.01,0.07,0.01,0.01,0.01,13.07,12.47,0.47,0.983,1.453,0.111,5291,5082.0,5005.0,10.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,194.0,Skeletonema costatum,SGS,49.407962799072266,-124.15697479248045,2015-04-05 00:00:00,2.05070042610168,1.41965305805206,0.313111752271652,0.891861915588379,0.701732456684113,2.771768569946289,0.10357236117124557,0.22733664512634277
2015-017,2015-04-05 00:46:00,95,3,49.443,-124.337,324.0,227,2.0,9.64,25.85,8.04,18.0,0.000941439,20.97,2.85,4.9,13.66,1.18,0.19,0.44,0.05,0.0,0.03,0.02,0.0,15.56,14.84,0.709,0.872,1.581,0.102,,,,,,,,,,,,,,,,,SGS,49.45061111450195,-124.3359603881836,2015-04-05 00:00:00,2.01238918304443,1.41460371017456,0.313923567533493,0.909795105457306,0.712427377700806,0.6260929107666016,0.07566295564174652,0.14001455903053284
2015-017,2015-04-05 03:20:00,95,BS,49.483,-124.767,60.0,235,1.7,9.38,27.9,5.95,22.0,0.000635444,1.29,19.84,39.05,0.35,0.0,0.0,0.04,0.02,0.36,0.0,0.0,0.0,0.77,0.35,0.017,0.02,0.037,0.048,,,,,,,,,,,,,,,,,SGN,49.4783592224121,-124.76728057861328,2015-04-05 00:00:00,2.05344033241272,1.55494570732117,0.301978915929794,0.980222642421722,0.865150451660156,0.6260929107666016,0.07566295564174652,0.14001455903053284
2015-017,2015-04-05 05:55:00,95,6,49.509,-124.463,192.0,248,1.6,9.51,26.92,6.71,23.0,0.000858079,3.66,12.51,20.46,1.62,0.09,0.01,0.12,0.0,0.76,0.0,0.0,0.0,2.61,1.72,0.044,0.134,0.178,0.068,,,,,,,,,,,,,,,,,SGN,49.510208129882805,-124.46824645996092,2015-04-05 00:00:00,2.01694679260254,1.43000435829163,0.309642106294632,0.898921012878418,0.723325490951538,0.6260929107666016,0.07566295564174652,0.14001455903053284
