Cruise,Date.Time,DayOfYear,Station,Lat,Lon,Depth.Bottom,SampleNum,Pressure,Temperature,Salinity,DO2,MLD_bvfnoSmooth,bvf_noSmooth,Chlorophyll,Nitrate_plus_Nitrite,Silicate,Diatoms1,Diatoms2,Prasinophytes,Cryptophytes,Dinoflagellates,Haptophytes,Dictyochophytes,Raphidophytes,Cyanobacteria,TchlA,total diatoms,chlidea,Me-chlide a,sum,ratio,Total cells/ml,Total autrophs/ml,centric diatoms,pennate diatoms,prasinophytes,cryptophytes,auto dinoflagellates,prymnesiophytes,dictyochophytes,raphidophytes,chlorophytes,euglenophytes,UID autotroph,unidentified dinoflagellates,unidentified flagellates,Dominant Species,sdomain,ecospace_closest_lat,ecospace_closest_lon,closest_ecospace_time,PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN,ssc-DIA,ssc-FLA,ssc-CIL
2016-062,2016-09-11 21:16:00,256,24,49.503,-124.099,428.0,421,2.0,16.12,27.49,6.39,15.0,0.00205966,3.78,0.88,28.78,0.0,0.2,0.79,1.16,0.0,0.28,0.19,0.17,0.33,3.12,0.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.50614547729492,-124.09828948974608,2016-09-13 00:00:00,1.6875227689743,1.71612572669983,0.574971139431,1.69311988353729,1.16308104991913,0.021720241755247116,0.7158025503158569,0.19415608048439026
2016-062,2016-09-11 23:48:00,256,28,49.401,-123.754,139.0,424,2.0,14.97,27.48,5.62,9.0,0.002011259,3.26,8.71,38.25,0.0,0.0,0.3,1.03,0.09,0.82,0.0,0.56,0.12,2.92,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.39785385131836,-123.76123046875,2016-09-13 00:00:00,1.75604426860809,1.55004048347473,0.581301212310791,1.41245424747467,0.961706340312958,0.021720241755247116,0.7158025503158569,0.19415608048439026
2016-062,2016-09-12 00:57:00,256,GEO1,49.254,-123.749,400.0,435,1.9,16.3,26.4,6.53,6.0,0.002259394,5.01,0.44,33.7,0.0,0.0,0.58,1.45,0.12,1.77,0.14,0.7,0.36,5.12,0.0,0.013,0.0,0.013,0.003,,,,,,,,,,,,,,,,,SGS,49.2464714050293,-123.75408935546876,2016-09-13 00:00:00,1.72657334804535,1.61524450778961,0.513802766799927,1.36987102031708,1.06128513813019,0.03755969554185867,0.9257487654685974,0.200880765914917
2016-062,2016-09-12 03:55:00,256,38,49.199,-123.438,302.0,438,2.0,15.78,25.95,6.18,8.0,0.003207882,4.12,2.01,34.31,0.0,0.0,0.38,1.47,0.13,1.25,0.02,0.15,0.24,3.64,0.0,0.02,0.0,0.02,0.005,,,,,,,,,,,,,,,,,SGS,49.190711975097656,-123.44116973876952,2016-09-13 00:00:00,1.53664219379425,1.60073840618134,0.64443838596344,1.82006120681763,1.17356705665588,0.03755969554185867,0.9257487654685974,0.200880765914917
2016-062,2016-09-12 05:38:00,256,41,49.054,-123.372,243.0,452,2.0,15.25,25.74,6.0,12.0,0.002890715,3.61,5.03,38.62,0.0,0.0,0.46,1.2,0.05,1.04,0.0,0.21,0.21,3.17,0.0,0.012,0.0,0.012,0.004,,,,,,,,,,,,,,,,,SGS,49.061614990234375,-123.37172698974608,2016-09-13 00:00:00,1.77777981758118,1.60461616516113,0.514422178268433,1.7212221622467,1.18809628486633,0.03755969554185867,0.9257487654685974,0.200880765914917
2016-010,2016-09-22 23:53:00,267,SI,48.652,-123.5,180.0,9,1.1,14.46,29.41,7.3,6.0,0.001328354,9.15,6.55,27.63,5.78,0.0,0.1,0.39,0.25,0.68,0.0,0.11,0.02,7.32,5.78,0.136,0.294,0.43,0.059,,,,,,,,,,,,,,,,,SGS,48.65838623046875,-123.49950408935545,2016-09-22 00:00:00,1.49162769317627,1.75463283061981,0.632404804229736,2.109450340271,1.27681303024292,0.17807020246982574,0.37418919801712036,0.19891758263111115
2016-010,2016-09-23 03:53:00,267,56,48.774,-123.027,207.0,23,2.2,11.8,28.73,4.32,14.0,0.000639441,2.19,20.49,45.42,0.18,0.3,0.21,0.45,0.06,0.31,0.09,0.07,0.02,1.71,0.49,0.0,0.0,0.0,0.0,1828,1536.0,4.0,4.0,25.0,383.0,0.0,953.0,0.0,0.0,4.0,0.0,162.0,79.0,212.0,Emiliana huxleii (? Cocco bloom),SGI,48.77114868164063,-123.0221481323242,2016-09-22 00:00:00,2.54352807998657,2.39417457580566,0.692688941955566,0.629150092601776,1.30131554603577,0.21491144597530365,0.14652681350708008,0.11243225634098053
2016-010,2016-09-23 12:04:00,268,22,49.67,-124.272,355.0,27,1.4,14.32,27.02,5.88,11.0,0.001741083,2.96,6.91,37.37,0.2,0.21,0.84,0.79,0.0,0.19,0.08,0.07,0.14,2.52,0.41,0.014,0.0,0.014,0.006,,,,,,,,,,,,,,,,,SGS,49.67061996459961,-124.27959442138672,2016-09-25 00:00:00,1.87998294830322,1.55677807331085,0.478338450193405,1.3770751953125,1.05061304569244,0.21491144597530365,0.14652681350708008,0.11243225634098053
2016-010,2016-09-23 20:37:00,268,16,49.961,-125.147,157.0,38,2.7,11.02,29.89,4.0,81.0,0.000279465,1.57,21.45,49.43,0.0,0.17,0.17,0.5,0.03,0.15,0.08,0.04,0.06,1.19,0.17,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.95338439941406,-125.15059661865234,2016-09-25 00:00:00,2.05841898918152,1.71108400821686,0.495042860507965,1.45122504234314,1.18925631046295,0.21491144597530365,0.14652681350708008,0.11243225634098053
2016-010,2016-09-23 22:34:00,268,14,49.884,-124.994,315.0,54,2.2,13.98,28.21,6.24,10.0,0.000947814,4.41,5.1,35.53,0.19,0.04,0.89,1.31,0.1,0.78,0.09,0.07,0.27,3.74,0.24,0.0,0.0,0.0,0.0,1744,1399.0,4.0,0.0,87.0,633.0,33.0,275.0,17.0,4.0,96.0,0.0,250.0,112.0,233.0,Emiliana huxleii (? Cocco bloom),SGN,49.887741088867195,-124.9930953979492,2016-09-25 00:00:00,1.73639678955078,1.60648798942566,0.549021601676941,1.7241770029068,1.15079474449158,0.21491144597530365,0.14652681350708008,0.11243225634098053
2016-010,2016-09-24 02:33:00,268,12,49.727,-124.681,357.0,71,1.8,14.73,28.28,6.38,18.0,0.001021343,4.79,1.67,31.54,0.0,0.72,1.3,1.43,0.02,0.34,0.28,0.0,0.4,4.5,0.72,0.0,0.0,0.0,0.0,2635,2473.0,0.0,0.0,0.0,1028.0,4.0,1237.0,17.0,0.0,54.0,0.0,133.0,25.0,137.0,Emiliana huxleii (? Cocco bloom),SGN,49.727420806884766,-124.67367553710936,2016-09-25 00:00:00,1.78497433662415,1.67458260059357,0.530776560306549,1.69173169136047,1.1607391834259,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 04:35:00,268,9,49.592,-124.639,165.0,84,1.8,13.51,28.71,5.93,11.0,0.000797164,4.15,8.75,37.14,0.15,0.42,0.79,1.0,0.03,0.55,0.24,0.0,0.18,3.36,0.57,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.58761596679688,-124.63603973388672,2016-09-25 00:00:00,1.61648368835449,1.68661963939667,0.57444703578949,1.91461372375488,1.23354542255402,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 06:40:00,268,BS17,49.484,-124.767,60.0,93,2.1,12.77,28.9,5.62,18.0,0.000453184,9.12,10.84,37.2,4.75,1.36,0.24,0.46,0.01,0.4,0.14,0.08,0.11,7.54,6.11,0.341,0.527,0.868,0.115,,,,,,,,,,,,,,,,,SGN,49.4783592224121,-124.76728057861328,2016-09-25 00:00:00,1.70512402057648,1.71801137924194,0.536330223083496,1.82216882705688,1.28597950935364,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 08:55:00,268,6,49.51,-124.464,192.0,107,2.0,14.18,28.38,6.19,16.0,0.001106352,4.79,5.11,34.19,0.0,0.96,1.15,1.22,0.0,0.37,0.2,0.0,0.17,4.08,0.96,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.510208129882805,-124.46824645996092,2016-09-25 00:00:00,1.72933781147003,1.65621268749237,0.540781855583191,1.79562485218048,1.1952782869339,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 11:05:00,268,3,49.443,-124.336,317.0,124,1.9,14.53,27.87,6.26,14.0,0.001307189,4.71,3.55,33.73,0.33,0.65,0.83,1.24,0.08,0.56,0.13,0.0,0.14,3.95,0.98,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.45061111450195,-124.3359603881836,2016-09-25 00:00:00,1.74515545368195,1.66438150405884,0.529224395751953,1.74497091770172,1.18794667720795,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 14:11:00,269,CPF1,49.366,-124.085,242.0,128,2.0,14.16,27.24,6.09,15.0,0.001268708,5.91,3.83,35.95,0.58,0.0,0.6,1.29,0.11,1.28,0.1,0.23,0.13,4.32,0.58,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.37228393554688,-124.08576965332033,2016-09-25 00:00:00,1.80068230628967,1.58510529994965,0.487632274627686,1.51216876506805,1.13377475738525,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 14:52:00,269,2,49.402,-124.155,279.0,143,1.8,13.74,27.95,5.84,20.0,0.001091914,3.77,7.84,36.55,0.15,0.45,0.6,1.0,0.1,0.59,0.12,0.05,0.1,3.16,0.6,0.0,0.0,0.0,0.0,2286,1649.0,25.0,33.0,46.0,475.0,46.0,916.0,8.0,0.0,33.0,4.0,62.0,117.0,520.0,Emiliana huxleii (? Cocco bloom),SGS,49.407962799072266,-124.15697479248045,2016-09-25 00:00:00,1.78096556663513,1.6185530424118,0.501689851284027,1.61687004566193,1.17332351207733,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 16:26:00,269,24,49.505,-124.1,427.0,147,1.9,14.3,27.15,4.53,19.0,0.000949633,6.88,2.26,30.67,0.4,0.0,0.73,1.7,0.23,1.64,0.1,1.05,0.1,5.94,0.4,0.012,0.0,0.012,0.002,,,,,,,,,,,,,,,,,SGS,49.50614547729492,-124.09828948974608,2016-09-25 00:00:00,1.73419880867004,1.62984454631805,0.511470198631287,1.57170152664185,1.14429533481598,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 20:21:00,269,27,49.319,-123.801,347.0,163,1.7,13.51,28.25,6.01,6.0,0.000686414,4.2,11.58,40.58,0.19,0.08,0.53,1.05,0.15,0.91,0.04,0.24,0.07,3.26,0.27,0.0,0.0,0.0,0.0,3160,2623.0,42.0,17.0,104.0,591.0,117.0,1187.0,8.0,0.0,54.0,12.0,491.0,83.0,454.0,Emiliana huxleii (? Cocco bloom),SGS,49.32265853881836,-123.79879760742188,2016-09-25 00:00:00,1.82018160820007,1.53123891353607,0.462898045778275,1.28855133056641,0.944018065929413,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-24 22:37:00,269,GEO1,49.25,-123.749,404.0,170,1.9,12.66,28.71,5.19,9.0,0.000681233,2.43,,,0.18,0.0,0.35,0.56,0.07,0.64,0.0,0.18,0.05,2.02,0.18,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.2464714050293,-123.75408935546876,2016-09-25 00:00:00,1.9423143863678,1.48854804039001,0.437566101551056,1.27707314491272,0.976263284683228,0.010669535957276821,0.49251261353492737,0.16602757573127747
2016-010,2016-09-25 01:10:00,269,39,49.164,-123.55,366.0,191,2.2,14.03,24.92,6.52,4.0,0.002504605,7.04,7.4,45.27,0.46,0.24,1.2,1.6,0.13,1.18,0.08,0.16,0.08,5.14,0.71,0.02,0.022,0.042,0.008,,,,,,,,,,,,,,,,,SGS,49.16848373413086,-123.54464721679688,2016-09-25 00:00:00,1.84976601600647,1.54694283008575,0.463196635246277,1.43746447563171,1.08077394962311,0.08850686997175217,0.13874591886997223,0.15547096729278564
2016-010,2016-09-25 05:51:00,269,42,49.03,-123.437,315.0,208,2.1,13.78,19.92,6.22,7.0,0.00571523,3.84,11.34,51.82,0.4,0.0,1.03,0.76,0.01,0.57,0.0,0.35,0.04,3.15,0.4,0.0,0.047,0.047,0.015,666,603.0,1.0,4.0,7.0,175.0,17.0,344.0,3.0,10.0,6.0,0.0,36.0,6.0,57.0,Emiliana huxleii (? Cocco bloom),SGS,49.02141189575195,-123.43959808349608,2016-09-25 00:00:00,1.79777145385742,1.64730095863342,0.505843937397003,1.6985536813736,1.18303465843201,0.08850686997175217,0.13874591886997223,0.15547096729278564
2016-010,2016-09-25 10:22:00,269,46,48.857,-123.18,178.0,221,1.8,12.29,28.64,4.62,4.0,0.000879745,3.71,17.12,44.51,0.0,0.91,0.45,0.88,0.11,0.52,0.15,0.04,0.03,3.08,0.91,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGI,48.85482025146485,-123.17511749267578,2016-09-25 00:00:00,1.66483759880066,1.68844509124756,0.557274997234344,1.86724376678467,1.20743691921234,0.08850686997175217,0.13874591886997223,0.15547096729278564
2016-010,2016-09-25 20:08:00,270,62,48.381,-123.044,147.0,233,2.3,10.74,31.14,4.0,40.0,0.000237585,2.22,24.51,45.43,0.36,0.05,0.15,0.78,0.08,0.23,0.01,0.06,0.01,1.73,0.41,0.016,0.031,0.047,0.027,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.08850686997175217,0.13874591886997223,0.15547096729278564
2016-010,2016-09-25 21:20:00,270,63,48.244,-122.976,152.0,237,2.0,10.72,31.3,3.73,21.0,0.00061374,1.74,,,0.41,0.15,0.09,0.26,0.04,0.13,0.01,0.04,0.01,1.13,0.56,0.032,0.028,0.06,0.053,802,602.0,42.0,4.0,14.0,135.0,7.0,281.0,6.0,0.0,4.0,1.0,107.0,30.0,171.0,Emiliana huxleii (? Cocco bloom),,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.08850686997175217,0.13874591886997223,0.15547096729278564
2016-010,2016-09-25 22:51:00,270,65,48.265,-123.164,124.0,247,1.9,11.37,31.0,4.29,79.0,0.000503191,2.49,23.6,45.4,0.39,0.08,0.12,0.69,0.13,0.2,0.01,0.09,0.01,1.73,0.47,0.032,0.043,0.075,0.043,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.08850686997175217,0.13874591886997223,0.15547096729278564
2016-010,2016-09-26 01:54:00,270,ADCP,48.234,-123.301,119.0,258,1.8,11.0,31.38,4.05,38.0,0.000368683,2.13,24.76,45.7,0.32,0.03,0.17,0.4,0.12,0.22,0.0,0.12,0.01,1.39,0.36,0.025,0.024,0.049,0.035,1049,859.0,40.0,10.0,30.0,147.0,13.0,456.0,7.0,17.0,17.0,3.0,120.0,37.0,153.0,Emiliana huxleii (? Cocco bloom),,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21305632591247559,0.15819980204105377,0.14078468084335327
2016-010,2016-09-26 04:39:00,270,69,48.261,-123.72,178.0,272,1.9,9.96,31.7,3.52,74.0,0.000281612,1.06,26.8,46.62,0.22,0.12,0.12,0.24,0.05,0.12,0.0,0.02,0.0,0.9,0.34,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21305632591247559,0.15819980204105377,0.14078468084335327
2016-010,2016-09-26 07:44:00,270,72,48.311,-124.068,189.0,287,1.8,9.97,32.02,3.64,44.0,0.000270535,1.23,26.36,46.28,0.21,0.0,0.34,0.61,0.09,0.42,0.0,0.17,0.0,1.84,0.21,0.0,0.0,0.0,0.0,1257,1012.0,17.0,8.0,46.0,233.0,4.0,466.0,0.0,0.0,0.0,4.0,233.0,37.0,208.0,Emiliana huxleii (? Cocco bloom),,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21305632591247559,0.15819980204105377,0.14078468084335327
2016-010,2016-09-26 11:42:00,270,75,48.47,-124.548,223.0,304,2.2,9.98,32.06,4.01,76.0,0.000404724,0.97,26.67,47.12,0.0,0.02,0.19,0.36,0.02,0.17,0.0,0.08,0.0,0.85,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21305632591247559,0.15819980204105377,0.14078468084335327
2016-010,2016-09-26 14:14:00,271,102,48.5,-124.733,257.0,320,2.2,10.0,32.15,4.09,66.0,0.000281195,1.04,27.03,45.93,0.0,0.0,0.2,0.4,0.02,0.22,0.0,0.04,0.0,0.87,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21305632591247559,0.15819980204105377,0.14078468084335327
2016-010,2016-09-27 00:00:00,271,59,48.629,-123.234,245.0,336,1.8,10.8,30.69,3.89,100.0,0.000324578,2.55,23.86,46.07,0.92,0.19,0.12,0.38,0.05,0.14,0.03,0.06,0.01,1.89,1.11,0.009,0.038,0.047,0.025,902,747.0,50.0,6.0,22.0,175.0,8.0,391.0,0.0,8.0,6.0,0.0,80.0,22.0,133.0,Emiliana huxleii (? Cocco bloom),SGI,48.63237762451172,-123.2319564819336,2016-09-28 00:00:00,2.8767466545105,1.68422329425812,0.619354367256165,6.46423577563837e-05,0.515446782112122,0.02679133601486683,0.13287660479545593,0.12910714745521545
2016-071,2016-10-31 00:46:00,305,SI,48.652,-123.51,187.0,9,1.6,11.45,26.95,5.0,3.0,0.001715367,1.62,20.3,50.67,0.06,0.03,0.21,0.65,0.08,0.28,0.0,0.07,0.0,1.38,0.09,0.016,0.041,0.057,0.041,,,,,,,,,,,,,,,,,SGS,48.65264129638672,-123.51510620117188,2016-10-31 00:00:00,2.17435121536255,1.2415896654129,0.30692258477211,0.853627681732178,0.692050337791443,0.03809059411287308,0.12673893570899963,0.11980052292346954
2016-071,2016-10-31 04:08:00,305,59,48.63,-123.247,212.0,24,2.0,10.3,30.38,4.28,74.0,0.000129943,0.46,26.85,50.62,0.12,0.01,0.06,0.17,0.02,0.02,0.02,0.0,0.01,0.42,0.13,0.0,0.0,0.0,0.0,147,112.0,7.0,4.0,3.0,39.0,6.0,2.0,3.0,0.0,2.0,0.0,45.0,6.0,29.0,mix,SGI,48.62664794921875,-123.2475814819336,2016-10-31 00:00:00,1.24535727500916,0.927736163139343,0.0808282643556595,6.40856342215557e-06,0.0894235894083977,0.03809059411287308,0.12673893570899963,0.11980052292346954
2016-071,2016-10-31 08:52:00,305,102,48.501,-124.734,257.0,39,1.7,,,,61.0,0.000369791,0.75,5.81,16.26,0.07,0.0,0.03,0.32,0.02,0.21,0.0,0.0,0.0,0.65,0.07,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.03809059411287308,0.12673893570899963,0.11980052292346954
2016-071,2016-10-31 18:41:00,306,75,48.47,-124.546,225.0,54,1.7,12.28,29.89,6.02,7.0,0.00075966,1.43,6.29,18.27,0.0,0.0,0.04,0.96,0.04,0.32,0.0,0.0,0.0,1.35,0.0,0.007,0.0,0.007,0.005,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.03809059411287308,0.12673893570899963,0.11980052292346954
2016-071,2016-10-31 21:43:00,306,72,48.315,-124.064,185.0,67,2.1,12.05,30.84,5.74,19.0,0.000307632,,8.38,19.54,0.06,0.0,0.07,0.48,0.04,0.2,0.0,0.02,0.0,0.88,0.06,0.0,0.0,0.0,0.0,420,288.0,16.0,20.0,14.0,99.0,29.0,4.0,4.0,0.0,1.0,0.0,100.0,30.0,102.0,mix,,-999.0,-999.0,2016-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.03809059411287308,0.12673893570899963,0.11980052292346954
2016-071,2016-11-01 00:38:00,306,69,48.26,-123.72,180.0,80,1.6,12.01,30.68,5.8,131.0,0.000454654,0.92,8.19,19.36,0.13,0.0,0.08,0.32,0.02,0.21,0.0,0.0,0.0,0.76,0.13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,-999.0,-999.0,2016-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.024697037413716316,0.13756753504276276,0.15126222372055054
2016-071,2016-11-01 03:21:00,306,66,48.322,-123.235,102.0,90,1.9,10.22,31.0,4.43,82.0,0.000122418,0.45,26.54,49.0,0.03,0.11,0.06,0.17,0.02,0.0,0.01,0.0,0.0,0.41,0.14,0.0,0.0,0.0,0.0,169,127.0,9.0,5.0,2.0,51.0,6.0,0.0,9.0,0.0,0.0,0.0,44.0,9.0,33.0,mix,,-999.0,-999.0,2016-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.024697037413716316,0.13756753504276276,0.15126222372055054
2016-071,2016-11-01 09:40:00,306,56,48.774,-123.027,209.0,105,1.5,10.39,28.67,4.46,6.0,0.000925058,0.45,25.71,53.35,0.03,0.08,0.09,0.16,0.01,0.0,0.02,0.0,0.01,0.4,0.1,0.0,0.0,0.0,0.0,107,73.0,5.0,3.0,5.0,31.0,5.0,0.0,0.0,0.0,3.0,0.0,19.0,6.0,29.0,mix,SGI,48.77114868164063,-123.0221481323242,2016-10-31 00:00:00,2.32404232025146,1.38992309570313,0.326737076044083,0.147208452224731,0.495202511548996,0.024697037413716316,0.13756753504276276,0.15126222372055054
2016-071,2016-11-01 13:48:00,307,46,48.856,-123.18,179.0,118,2.2,10.44,23.38,6.09,6.0,0.00392783,1.1,21.47,56.79,0.0,0.07,0.31,0.5,0.04,0.03,0.02,0.02,0.0,1.0,0.07,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGI,48.85482025146485,-123.17511749267578,2016-11-03 00:00:00,1.94647598266602,1.18903040885925,0.256690949201584,0.603390991687775,0.577406048774719,0.024697037413716316,0.13756753504276276,0.15126222372055054
2016-071,2016-11-01 18:05:00,307,42,49.03,-123.436,322.0,135,2.2,10.47,22.18,6.34,13.0,0.003249779,2.4,20.36,58.51,0.0,0.02,0.49,1.01,0.06,0.04,0.03,0.08,0.01,1.74,0.02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.02141189575195,-123.43959808349608,2016-11-03 00:00:00,1.66801738739014,1.00055944919586,0.223118394613266,0.378616988658905,0.373865604400635,0.024697037413716316,0.13756753504276276,0.15126222372055054
2016-071,2016-11-01 21:37:00,307,39,49.164,-123.55,377.0,157,1.5,10.5,24.43,6.4,5.0,0.002742924,1.35,21.18,54.69,0.0,0.0,0.5,0.65,0.03,0.11,0.02,0.13,0.02,1.47,0.0,0.005,0.0,0.005,0.003,,,,,,,,,,,,,,,,,SGS,49.16848373413086,-123.54464721679688,2016-11-03 00:00:00,1.33672773838043,0.84647673368454,0.1821279078722,0.214228287339211,0.223267570137978,0.024697037413716316,0.13756753504276276,0.15126222372055054
2016-071,2016-11-02 18:49:00,308,IA2,49.396,-122.878,219.0,172,1.9,10.52,14.93,5.65,4.0,0.007306782,0.66,18.53,46.67,0.0,0.06,0.13,0.54,0.03,0.02,0.01,0.0,0.0,0.79,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,49.3938102722168,-122.880615234375,2016-11-03 00:00:00,,,,,,0.0188760869204998,0.12208592891693115,0.12191952764987946
2016-071,2016-11-02 21:50:00,308,IA6,49.3,-123.09,56.0,180,2.1,10.37,24.3,4.49,18.0,0.002151305,0.4,24.04,53.33,0.1,0.01,0.1,0.17,0.01,0.0,0.01,0.0,0.0,0.41,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,-999.0,-999.0,2016-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0188760869204998,0.12208592891693115,0.12191952764987946
2016-071,2016-11-02 23:18:00,308,BI2,49.295,-123.343,149.0,192,2.6,10.32,26.13,5.13,4.0,0.002325632,0.85,24.1,54.21,0.09,0.06,0.29,0.36,0.02,0.01,0.02,0.0,0.0,0.85,0.15,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.28860855102539,-123.34131622314452,2016-11-03 00:00:00,1.35922133922577,0.831031203269958,0.184122964739799,0.222168043255806,0.211507126688957,0.0188760869204998,0.12208592891693115,0.12191952764987946
2016-071,2016-11-03 08:21:00,308,12,49.727,-124.681,355.0,209,1.4,10.79,28.57,5.65,60.0,0.000656034,0.47,23.24,52.85,0.03,0.06,0.14,0.13,0.0,0.05,0.01,0.0,0.0,0.43,0.09,0.0,0.0,0.0,0.0,274,176.0,0.0,3.0,2.0,87.0,7.0,10.0,3.0,0.0,4.0,0.0,59.0,9.0,90.0,mix,SGN,49.727420806884766,-124.67367553710936,2016-11-03 00:00:00,1.87887513637543,1.13764154911041,0.185003489255905,0.223846435546875,0.366871953010559,0.005198317114263773,0.08648543059825897,0.11204919219017029
2016-071,2016-11-04 03:16:00,309,16,49.962,-125.145,156.0,221,2.3,10.35,28.1,5.26,86.0,0.000307209,0.31,24.4,56.47,0.03,0.03,0.07,0.09,0.0,0.05,0.0,0.01,0.01,0.3,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.97072219848633,-125.1448974609375,2016-11-03 00:00:00,1.82629251480103,1.08585846424103,0.201775297522545,0.293513745069504,0.354691207408905,0.009179308079183102,0.10360433161258698,0.12832149863243103
2016-071,2016-11-04 06:43:00,309,14,49.884,-124.993,315.0,237,1.7,10.54,29.01,5.26,87.0,0.000526929,0.3,24.73,55.64,0.02,0.09,0.06,0.07,0.0,0.0,0.01,0.0,0.01,0.26,0.11,0.0,0.0,0.0,0.0,188,103.0,3.0,4.0,0.0,50.0,8.0,1.0,4.0,0.0,1.0,1.0,30.0,11.0,75.0,mix,SGN,49.887741088867195,-124.9930953979492,2016-11-03 00:00:00,2.12760066986084,1.22980451583862,0.162981241941452,0.240338668227196,0.430399090051651,0.009179308079183102,0.10360433161258698,0.12832149863243103
2016-071,2016-11-04 09:50:00,309,9,49.592,-124.639,167.0,250,2.0,10.62,29.09,5.36,52.0,0.000378417,0.29,24.82,55.69,0.01,0.09,0.08,0.06,0.0,0.01,0.02,0.0,0.01,0.28,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.58761596679688,-124.63603973388672,2016-11-03 00:00:00,2.05034399032593,1.22378373146057,0.199624389410019,0.301027983427048,0.458713680505753,0.009179308079183102,0.10360433161258698,0.12832149863243103
2016-071,2016-11-04 11:07:00,309,6,49.51,-124.464,193.0,264,2.3,10.78,28.42,5.8,48.0,0.000660302,0.48,23.06,52.52,0.02,0.1,0.13,0.12,0.0,0.04,0.01,0.0,0.01,0.43,0.11,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGN,49.510208129882805,-124.46824645996092,2016-11-03 00:00:00,1.83238422870636,1.10361039638519,0.190568953752518,0.308415085077286,0.391064912080765,0.009179308079183102,0.10360433161258698,0.12832149863243103
2016-071,2016-11-04 13:46:00,310,3,49.443,-124.337,328.0,281,1.2,10.67,28.77,5.28,54.0,0.000315198,0.32,24.55,54.37,0.01,0.05,0.07,0.06,0.02,0.04,0.01,0.02,0.01,0.28,0.05,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,SGS,49.45061111450195,-124.3359603881836,2016-11-06 00:00:00,1.8228200674057,1.08758151531219,0.200531929731369,0.314514458179474,0.365872174501419,0.009179308079183102,0.10360433161258698,0.12832149863243103
