timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_total_init_used_gN_m2,model_N_bound_init_used_gN_m2,model_N_free_init_used_gN_m2,model_N_free_used_gN_m2
1,0.004600841,0.0001800459,0.2802885,0.0503109,0.6182807,0.8402832,0.1862206,0.8448137,1.036251,0.003003767,0.03096759,0.3986193,0.0729499,1.530051,1.021755,0.5199528,9.584708,1.97096,0.5407103,0.09801375,8.441884,11.18188,1978-01-02,Fall,1978,1,2,1,1.01,4.2381256773263996,1.5879496026736009,5.82607528,4.2381256773263996,1.5879496026736009,1.603829098700337
2,0.004604395,0.0001802686,0.2818238,0.05089112,0.6547627,0.8353549,0.1993282,0.9425315,1.132867,0.003023148,0.03317561,0.3999717,0.1204981,2.45136,1.417599,0.538667,10.39134,1.777454,0.4797981,0.05228772,9.142683,13.28961,1978-01-05,Fall,1978,1,5,1,1.01,4.7613559140416,1.0647193659584007,5.82607528,4.2381256773263996,1.5879496026736009,1.0753665596179847
3,0.004613238,0.0001808062,0.2851815,0.05165947,0.6983317,0.8367066,0.2145215,1.051509,1.270372,0.00306614,0.03721878,0.4049811,0.1713328,3.274697,1.81528,0.4586597,9.025164,1.402974,0.3889425,0.02833927,9.621404,15.25564,1978-01-08,Fall,1978,1,8,1,1.01,4.8384714743392,0.9876038056608003,5.82607528,4.2381256773263996,1.5879496026736009,0.9974798437174083
4,0.004628914,0.0001817262,0.2903501,0.05257922,0.7444748,0.8438208,0.2300491,1.157331,1.432089,0.003134611,0.04305413,0.413149,0.20761,3.71541,2.08146,0.3435495,7.757957,1.137391,0.3394542,0.01750254,9.845462,16.67457,1978-01-11,Fall,1978,1,11,1,1.01,4.8306909888512,0.9953842911488007,5.82607528,4.2381256773263996,1.5879496026736009,1.0053381340602887
5,0.004652518,0.0001830705,0.2970553,0.05363705,0.7915754,0.855532,0.2454772,1.258217,1.603602,0.003227724,0.05032771,0.4235286,0.2261105,3.86097,2.213024,0.2442354,6.978898,0.9939641,0.3201964,0.01278175,9.92138,17.60955,1978-01-14,Fall,1978,1,14,1,1.01,4.82961494716,0.9964603328400008,5.82607528,4.2381256773263996,1.5879496026736009,1.0064249361684008
6,0.004684865,0.0001848692,0.3050138,0.05482576,0.8388661,0.8708004,0.2606483,1.35487,1.773884,0.00334439,0.05862796,0.4353321,0.2306916,3.852881,2.249566,0.1717988,6.547511,0.9241778,0.3154035,0.01086283,9.932167,18.21172,1978-01-17,Fall,1978,1,17,2,1.01,4.841280013059199,0.9847952669408011,5.82607528,4.2381256773263996,1.5879496026736009,0.9946432196102091
7,0.004726576,0.0001871446,0.3140081,0.056139,0.8858536,0.8888593,0.275437,1.447781,1.935227,0.003483921,0.0675621,0.4480196,0.2262696,3.780972,2.227622,0.1218207,6.31345,0.892628,0.3165675,0.010414,9.921817,18.59818,1978-01-20,Fall,1978,1,20,2,1.01,4.860069552921599,0.966005727078401,5.82607528,4.2381256773263996,1.5879496026736009,0.975665784349185
8,0.004778149,0.0001899142,0.3238845,0.05757013,0.9321852,0.9091657,0.2897348,1.537057,2.082686,0.003645991,0.07677822,0.461239,0.216815,3.690356,2.172584,0.08772531,6.185419,0.8800175,0.3197578,0.01093274,9.910705,18.84477,1978-01-23,Fall,1978,1,23,2,1.01,4.8818177639392,0.9442575160608007,5.82607528,4.2381256773263996,1.5879496026736009,0.9537000912214086
9,0.004840002,0.0001931923,0.3345359,0.05911197,0.9775978,0.9313279,0.3034566,1.622588,2.213452,0.003830438,0.08597588,0.4747609,0.2050409,3.601046,2.100648,0.0643068,6.114004,0.8765133,0.3232491,0.01227127,9.907324,18.99846,1978-01-26,Fall,1978,1,26,2,1.01,4.9042321916048,0.9218430883952005,5.82607528,4.2381256773263996,1.5879496026736009,0.9310615192791525
10,0.004912514,0.0001969911,0.3458832,0.06075676,1.021888,0.9550474,0.3165406,1.704179,2.326281,0.004037086,0.09490985,0.4884306,0.1926189,3.520735,2.02178,0.04799852,6.073133,0.8771811,0.326341,0.01445838,9.914571,19.08801,1978-01-29,Fall,1978,1,29,3,1.01,4.926087066593601,0.8999882134063997,5.82607528,4.2381256773263996,1.5879496026736009,0.9089880955404637
11,0.004996034,0.000201322,0.357863,0.06249612,1.064896,0.9800795,0.3289454,1.781626,2.421026,0.004265612,0.1033885,0.5021374,0.1804914,3.451504,1.941957,0.03646094,6.049116,0.8795769,0.3288133,0.01763192,9.932875,19.13085,1978-02-01,Fall,1978,2,32,3,1.01,4.946714633248,0.8793606467520005,5.82607528,4.2381256773263996,1.5879496026736009,0.8881542532195206
12,0.005090901,0.0002061953,0.3704187,0.06432117,1.106489,1.006208,0.3406451,1.854744,2.498272,0.004515454,0.1112692,0.5157958,0.1691372,3.393083,1.864664,0.02817135,6.034833,0.8825342,0.3306668,0.02200997,9.96172,19.13732,1978-02-04,Fall,1978,2,35,3,1.01,4.9657536070927994,0.860321672907201,5.82607528,4.2381256773263996,1.5879496026736009,0.868924889636273
13,0.005193118,0.0002113321,0.3833026,0.06626932,1.082295,0.9962276,0.3322999,1.85478,2.554819,0.004726065,0.121476,0.5233677,0.1516792,3.211979,1.627133,0.0163623,2.700716,0.5250269,0.2046246,0.01194945,9.835534,18.60278,1978-02-07,Fall,1978,2,38,3,1.1,4.1840957029776,1.6419795770224006,5.82607528,4.2381256773263996,1.5879496026736009,1.8061775347246407
14,0.005298102,0.0002164084,0.3958399,0.06809943,1.057371,0.9856038,0.3219055,1.830112,2.564935,0.004944804,0.1296348,0.529761,0.1272408,2.820562,1.345587,0.01229339,2.110728,0.5695657,0.2642964,0.006698153,9.569261,17.72713,1978-02-10,Fall,1978,2,41,3,1.1,3.9074211009824005,1.9186541790176,5.82607528,4.2381256773263996,1.5879496026736009,2.11051959691936
15,0.005405388,0.0002213909,0.4077691,0.06983215,1.032591,0.9747759,0.311373,1.798953,2.545753,0.005169729,0.1355366,0.5349704,0.105743,2.51288,1.111963,0.01014271,2.21982,0.6654193,0.3368521,0.003977704,9.352367,16.96362,1978-02-13,Fall,1978,2,44,4,1.1,3.7903435310543996,2.035731748945601,5.82607528,4.2381256773263996,1.5879496026736009,2.239304923840161
16,0.005514483,0.0002262497,0.4189916,0.07145642,1.007684,0.9624306,0.2997285,1.759517,2.502265,0.005390336,0.1395761,0.5387709,0.08597697,2.213059,0.9107891,0.006387886,1.512472,0.5127804,0.2433982,0.002446544,9.143811,16.21306,1978-02-16,Fall,1978,2,47,4,1.1,3.4579137868112007,2.3681614931887998,5.82607528,4.2381256773263996,1.5879496026736009,2.60497764250768
17,0.00562477,0.0002309483,0.4293394,0.07294204,0.9830112,0.9497705,0.2879699,1.713886,2.436142,0.005608996,0.1416382,0.5413975,0.068214,1.924068,0.7401883,0.004301977,1.498573,0.5270244,0.2493052,0.001594639,8.945852,15.48432,1978-02-19,Fall,1978,2,50,4,1.2,3.2981286507727994,2.527946629227201,5.82607528,4.2381256773263996,1.5879496026736009,3.033535955072641
18,0.005735831,0.0002354753,0.4387989,0.07432209,0.9592881,0.9373984,0.2774608,1.674028,2.363427,0.005828324,0.1420346,0.5430918,0.05612073,1.793008,0.6222181,0.004036895,2.667921,0.8432958,0.4238477,0.001101596,8.870831,15.03085,1978-02-22,Fall,1978,2,53,4,1.2,3.4868025488688,2.3392727311312003,5.82607528,4.2381256773263996,1.5879496026736009,2.80712727735744
19,0.005847427,0.0002398352,0.4475007,0.07560024,0.9363571,0.924937,0.2675787,1.636323,2.288548,0.006042975,0.1414314,0.544111,0.04710588,1.7116,0.531333,0.002884015,2.152627,0.7336779,0.3333792,0.000782088,8.839539,14.68361,1978-02-25,Fall,1978,2,56,4,1.2,3.2785242369952003,2.5475510430048,5.82607528,4.2381256773263996,1.5879496026736009,3.05706125160576
