year,season,group,obs_anom,mod_anom
1996,Winter,ZC1-EUP,-0.3998686136512265,1.5499029561319042
1996,Winter,ZC1-EUP,-0.45585413891608145,1.5499029561319042
1996,Spring,ZC1-EUP,-0.3236498539670343,2.655342398873233
1996,Spring,ZC1-EUP,-0.32897931186328866,2.655342398873233
1997,Winter,ZC1-EUP,-0.4195120136050812,-0.12159240151845101
1997,Spring,ZC1-EUP,-0.3155090293919784,-0.9883043193288282
1997,Spring,ZC1-EUP,-0.2459719461463439,-0.9548652445226066
1997,Summer,ZC1-EUP,-0.4604880512272601,-1.0386835091808295
1997,Summer,ZC1-EUP,-0.603772152398837,-0.002679204615067363
1997,Summer,ZC1-EUP,-0.5883033454816687,-0.002679204615067363
1997,Summer,ZC1-EUP,2.256871348282766,-0.7203453815282378
1997,Fall,ZC1-EUP,-0.10882509924560466,-0.5687929587425953
1997,Fall,ZC1-EUP,-0.3592024380120733,-0.5687929587425953
1997,Fall,ZC1-EUP,-0.3072340359837514,0.25184718781411247
1997,Fall,ZC1-EUP,0.2741720310227907,0.25184718781411247
1997,Winter,ZC1-EUP,-0.3960062376168942,0.4487081945153635
1997,Winter,ZC1-EUP,-0.3847173623799538,0.4487081945153635
1998,Winter,ZC1-EUP,-0.48282767935825643,-0.19607130826385102
1998,Winter,ZC1-EUP,0.20462707996608662,-0.485936026000043
1998,Winter,ZC1-EUP,0.43936708595876706,-0.485936026000043
1998,Winter,ZC1-EUP,0.4960902137071222,-0.7491954962926778
1998,Winter,ZC1-EUP,-0.3806763213285516,-0.7491954962926778
1998,Winter,ZC1-EUP,,-0.7491954962926778
1998,Winter,ZC1-EUP,-0.3148137472036515,-0.7491954962926778
1998,Spring,ZC1-EUP,-0.3299249424886776,-0.8214634256177009
1998,Spring,ZC1-EUP,-0.3110304691795725,-0.7846723227657578
1998,Spring,ZC1-EUP,-0.19361846046734302,-0.7846723227657578
1998,Spring,ZC1-EUP,-0.33205120973104907,-0.716745561051377
1998,Spring,ZC1-EUP,-0.31943223588786485,-0.716745561051377
1998,Spring,ZC1-EUP,-0.02345247816601915,0.038148525793023205
1998,Spring,ZC1-EUP,-0.06456333041625407,0.038148525793023205
1998,Summer,ZC1-EUP,-0.24557872058859265,0.352840161351682
1998,Summer,ZC1-EUP,2.0522148253819137,0.352840161351682
1998,Summer,ZC1-EUP,-0.06417637018988712,0.352840161351682
1998,Summer,ZC1-EUP,8.035747883107296,0.43671469556608866
1998,Fall,ZC1-EUP,0.6518473955271858,0.30913995468068245
1998,Fall,ZC1-EUP,0.7530635465600399,0.3835084229538821
1999,Spring,ZC1-EUP,-0.28418364615248654,-0.7474900205168631
1999,Spring,ZC1-EUP,-0.3108883690085426,-0.7474900205168631
1999,Summer,ZC1-EUP,-0.24769273026267438,0.3802447121346078
1999,Summer,ZC1-EUP,-0.11204861213232921,0.3802447121346078
1999,Summer,ZC1-EUP,-0.5440208310012143,0.3802447121346078
1999,Summer,ZC1-EUP,0.2256917518226201,0.9617390446805113
1999,Summer,ZC1-EUP,-0.2310327630299604,0.9617390446805113
2000,Spring,ZC1-EUP,0.5794143418545784,1.2382967277058037
2000,Spring,ZC1-EUP,0.09379942173084398,1.4000421433512213
2000,Summer,ZC1-EUP,-0.08971896487530293,0.5145202855690185
2000,Summer,ZC1-EUP,0.298318300661532,0.37286285250469975
2001,Spring,ZC1-EUP,-0.26091300440611814,-0.7101947364926754
2001,Spring,ZC1-EUP,-0.2116093931821371,-0.6901637738693389
2001,Summer,ZC1-EUP,1.040291569730408,1.0369495067683907
2001,Summer,ZC1-EUP,,1.0369495067683907
2001,Summer,ZC1-EUP,-0.5029727660980745,1.0369495067683907
2001,Summer,ZC1-EUP,-0.3579357512526962,1.0369495067683907
2001,Summer,ZC1-EUP,-0.09053144709963239,1.0369495067683907
2001,Summer,ZC1-EUP,-0.2864563577163411,1.0369495067683907
2002,Winter,ZC1-EUP,-0.37675960013149024,-0.6534528206585685
2002,Winter,ZC1-EUP,0.993672682423991,-0.6936531989072144
2002,Winter,ZC1-EUP,3.4815283864323643,-0.6936531989072144
2002,Winter,ZC1-EUP,-0.40662719820676085,-0.6936531989072144
2002,Winter,ZC1-EUP,0.19691279529791797,-0.7321640521155741
2002,Winter,ZC1-EUP,-0.029246128317359257,-0.7321640521155741
2002,Winter,ZC1-EUP,1.6591016024470326,-0.7321640521155741
2002,Winter,ZC1-EUP,-0.5028539329241603,-0.7673649839014979
2002,Spring,ZC1-EUP,-0.235245666198534,-0.9516219614356047
2003,Spring,ZC1-EUP,-0.31790701594493664,-0.1929373360301272
2003,Summer,ZC1-EUP,-0.5162419718763137,0.7314539726965303
2003,Fall,ZC1-EUP,-0.3862216283303059,0.9684475068627355
2003,Fall,ZC1-EUP,-0.3707250330127928,2.563413180898722
2003,Winter,ZC1-EUP,0.4032485070040805,2.197353714074051
2003,Winter,ZC1-EUP,1.4455878596213745,2.132876279681638
2003,Winter,ZC1-EUP,1.3097821230071574,2.132876279681638
2003,Winter,ZC1-EUP,0.32543186742698277,2.0583050294302194
2004,Winter,ZC1-EUP,,0.10907135880610616
2004,Winter,ZC1-EUP,,-0.44325527022660377
2004,Spring,ZC1-EUP,0.5750700877801682,-0.6694789292214951
2004,Spring,ZC1-EUP,-0.1890046786292228,-0.6694789292214951
2004,Spring,ZC1-EUP,-0.31286138937082425,-0.6869332012320574
2004,Spring,ZC1-EUP,-0.3211640263584569,-0.6869332012320574
2004,Spring,ZC1-EUP,-0.22921350856411046,-0.6869332012320574
