Year,Bloom Date,Day of Year
1978,1978-02-07,38.0
1979,1979-11-28,332.0
1980,1980-11-27,332.0
1981,1981-01-02,2.0
1982,1982-01-02,2.0
1983,1983-01-02,2.0
1984,,
1985,1985-10-20,293.0
1986,1986-01-08,8.0
1987,1987-11-01,305.0
1988,,
1989,1989-01-02,2.0
1990,1990-01-05,5.0
1991,1991-01-02,2.0
1992,1992-01-02,2.0
1993,1993-11-19,323.0
1994,1994-01-05,5.0
1995,1995-01-02,2.0
1996,1996-01-02,2.0
1997,1997-04-05,95.0
1998,1998-03-03,62.0
1999,1999-04-02,92.0
2000,2000-03-29,89.0
2001,2001-03-27,86.0
2002,2002-04-08,98.0
2003,2003-03-24,83.0
2004,2004-03-11,71.0
2005,2005-03-12,71.0
2006,2006-04-05,95.0
2007,2007-04-11,101.0
2008,2008-04-13,104.0
2009,2009-03-30,89.0
2010,2010-03-24,83.0
2011,2011-04-08,98.0
2012,2012-03-26,86.0
2013,2013-03-18,77.0
2014,2014-03-18,77.0
2015,2015-02-22,53.0
2016,2016-03-17,77.0
2017,2017-03-21,80.0
2018,2018-03-18,77.0
