year,biweekly,avg_obs,avg_model
2015,2,5.25830427045,4.955974643675519
2015,4,6.730155619515,4.180760579800289
2015,5,3.8534882872500003,3.248122177287681
2015,6,4.1887812554625,3.1323312293926406
2015,7,4.358692447875,2.5422268976722067
2015,8,3.664210935346875,2.0957586918613407
2015,9,3.587297957099999,1.8960995221862407
2015,10,2.423324991853125,1.6416445091334804
2015,11,2.43107726259375,1.7563542317602803
2015,12,2.915637735965625,2.1052441748059403
2015,13,3.02342043051,2.1901985325980804
2015,14,2.774093466825,2.2734088021901866
2015,15,2.750401133775,2.4304029517145604
2015,16,3.81533666270625,2.6910446752232806
2015,17,2.871214611496875,2.5071512804518408
2015,19,3.5061168747374998,1.9127473810777609
2015,20,3.904357119975,1.5333628562568005
2016,4,7.0635206821950005,4.441860811280705
2016,5,5.6952187652249995,4.032455777892081
2016,6,4.5644905565250005,3.8654262763513607
2016,7,3.093939963,2.7646264082508005
2016,8,2.228550399275,2.0014654964828633
2016,9,2.24256471085943,1.7415368397980806
2016,10,2.46022812335625,1.7277397335345601
2016,11,1.6717902508406248,1.6954229318684402
2016,12,1.5680491895812498,1.8825029600767806
2016,13,2.6191641909,2.3279311316592004
2016,14,1.84660831125,2.3892725723371204
2016,15,2.1738102703,2.469765133405316
2016,16,2.5452708237281247,2.3462292291812403
2016,17,2.6763625929937502,2.4517953301260804
2016,18,3.48190191669375,2.10998187065696
2016,19,2.8726953823125,1.9787729759908803
2016,20,4.376113281,1.7959099479768006
2016,21,4.32855440656875,2.4652314565155997
2017,5,4.2802986988125005,4.6516744393874605
2017,6,3.3646597097625004,4.273122643881814
2017,7,2.8870966043624997,3.95148926629632
2017,8,2.0975379915824997,3.1822799862021443
2017,9,1.5297482436107142,2.256733157137372
2017,10,1.115659188046875,1.8608826320754002
2017,11,1.20604427724375,1.7807061267291608
2017,12,1.1656860138375,1.7881794794928805
2017,13,1.607129925225,2.009050441143894
2017,14,1.4477409160199999,2.2289058312553283
2017,15,1.429669705125,2.5173451638267736
2017,16,1.4053095734718748,2.2802087375942
2017,17,1.676348702175,2.7057730555736232
2017,18,1.58955424025,2.30432529256672
2017,20,2.1886373349375,1.732215070002841
2017,21,2.7572920411,2.0076149599170137
2018,5,6.2091333424125,3.9184797128226005
2018,6,4.69888647714,3.7211404591239043
2018,7,3.9188744809125,3.5865168186402134
2018,8,3.324504689409375,2.7154308970615206
2018,9,2.8179939663,2.2262590564174407
2018,10,2.9143747255640626,1.7562293950266006
2018,11,2.8009215498375,1.8422858438220806
2018,12,3.071243106128571,1.9242134598182863
2018,13,2.812680612196875,2.0430089948858403
2018,14,3.255306651546429,2.1589579044569605
2018,15,2.838986070215625,2.17259332874528
2018,16,2.82234917458125,2.6503585523962405
2018,17,3.11571600440625,2.6049298126152007
2018,18,3.13342718475,2.5211839142832004
2018,20,3.67980258099375,1.8013045429107202
2018,21,4.812795498000001,1.798460763352214
2018,24,6.3718439238,3.6235115673275207
