Year,Bloom Date,Day of Year
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,,
1995,,
1996,1996-02-04,35.0
1997,1997-04-20,110.0
1998,1998-03-21,80.0
1999,1999-05-02,122.0
2000,2000-04-16,107.0
2001,2001-04-23,113.0
2002,2002-05-05,125.0
2003,2003-04-17,107.0
2004,2004-04-13,104.0
2005,2005-04-26,116.0
2006,2006-05-08,128.0
2007,2007-05-02,122.0
2008,2008-05-13,134.0
2009,2009-04-11,101.0
2010,2010-04-02,92.0
2011,2011-05-02,122.0
2012,2012-04-10,101.0
2013,2013-04-02,92.0
2014,2014-03-30,89.0
2015,2015-04-11,101.0
2016,2016-04-01,92.0
2017,2017-04-02,92.0
2018,2018-04-11,101.0
