N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,assessment,season,group,obs_mean,mod_mean,obs_std,mod_std,scale,aggregation
261,0.020821829941189408,0.3447872499934436,0.4584162536158774,0.4584162536158774,0.2903920426224133,0.0843275384184175,270.3990907859163,0.07785510658764772,0.31278452993456085,tow,Spring,ZC2-AMP,-0.25736202577861067,-0.2365401958374213,0.4773758281444223,0.10635480966128617,log10,matched_tow
225,-0.11616770156109452,0.34910961638678156,0.4726598274736897,0.4726598274736897,0.08044120503856772,0.006470787468056893,126.79944233016447,-0.21743567922351836,0.2713501969612666,tow,Summer,ZC2-AMP,0.15571596367815635,0.03954826211706183,0.4283765406789936,0.20057158199912484,log10,matched_tow
157,0.022415004360732897,0.35312627716193,0.49344469468882807,0.49344469468882807,0.09185315189364471,0.008437001512796966,337.36125333392744,-0.1083321025069357,0.21887998093206518,tow,Fall,ZC2-AMP,0.021918704353682972,0.04433370871441586,0.46870925349740555,0.2016411388907361,log10,matched_tow
694,0.015672745734148015,0.5720380154581971,0.7246223999052708,0.7246223999052708,-0.02478407091088158,0.0006142501709156065,355.5624905249047,-0.20944125557503823,0.25088122789258216,tow,All,ZC3-DEC,-0.8417298791889424,-0.8260571334547945,0.6588997846627371,0.2852485224879575,log10,matched_tow
65,0.10817755288394161,0.5753235034066271,0.7390980587502414,0.7390980587502414,-0.13330850010743048,0.017771156200892792,89.20598109063702,-0.30814195184826576,0.21196072189662174,tow,Winter,ZC3-DEC,-1.206032271642418,-1.0978547187584764,0.6462114141769117,0.26655185825247174,log10,matched_tow
261,-0.37079022291160857,0.5490301871718183,0.6445841593532025,0.6445841593532025,0.30495209943624974,0.09299578295057635,471.53816226090225,-0.3559065200515943,0.471025233808094,tow,Spring,ZC3-DEC,-0.543011186136378,-0.9138014090479866,0.5535600679638832,0.17724622704085324,log10,matched_tow
223,0.051564697455348835,0.45804852914450195,0.6028585373342206,0.6028585373342206,0.017923208760823144,0.0003212414122840475,486.5082750646171,-0.2393381305549933,0.20467493218963062,tow,Summer,ZC3-DEC,-0.7630196437746047,-0.7114549463192561,0.5415274920727684,0.2697475954812549,log10,matched_tow
145,0.614639070685721,0.787287270037859,0.9805250399499227,0.9805250399499227,-0.13842691484356703,0.01916201075310816,64.82188940611968,-1.3275762626639942,0.40770419025057614,tow,Fall,ZC3-DEC,-1.337166471427844,-0.722527400742123,0.6426976754224801,0.33352941544251424,log10,matched_tow
714,-0.09677298607332,0.4466055124883782,0.5611218060783588,0.5611218060783588,0.22717360619101878,0.051607847349832085,174.48044903211007,-0.0024305404709599188,0.39155609172457995,tow,All,ZC4-CLG,-0.12964847396123122,-0.22642146003455116,0.5604411320023561,0.21454206676276966,log10,matched_tow
71,-0.06946559017932455,0.3579558783323607,0.44544223118285475,0.44544223118285475,0.20529619562822957,0.042146527939424305,190.2131757956209,0.012975950281438275,0.32994598122889907,tow,Winter,ZC4-CLG,-0.4456219864187367,-0.5150875765980614,0.4483606824776533,0.12427428174655462,log10,matched_tow
261,-0.193268379032563,0.3827920634140686,0.49612144092463367,0.49612144092463367,0.36477799866820565,0.13306298831238145,221.71679213225545,-0.02543452354353648,0.5014505731507508,tow,Spring,ZC4-CLG,-0.09245681774607395,-0.2857251967786369,0.48992999485064315,0.20501612616763648,log10,matched_tow
225,-0.045703054177853156,0.495059515380921,0.594472516599865,0.594472516599865,0.11528581434442019,0.01329081898905612,119.99178015048449,-0.016181890871310944,0.23981794868578898,tow,Summer,ZC4-CLG,-0.05381736371498911,-0.09952041789284226,0.5897202700053226,0.15832438604762628,log10,matched_tow
157,-0.021895675389188084,0.5233398028237283,0.6530895445780173,0.6530895445780173,-0.07134522732958117,0.005090141462709615,166.92784615961673,-0.111799672335545,0.14379548462016978,tow,Fall,ZC4-CLG,-0.15725931914006944,-0.17915499452925754,0.6193832553147298,0.16643682340713065,log10,matched_tow
715,-0.13442293788130474,0.3336919496223839,0.4165771496138192,0.4165771496138192,0.26322181009252393,0.06928572130838473,247.4632256064615,-0.06281265591966356,0.4187786544110389,tow,All,ZC5-CSM,-0.027183833071369307,-0.16160677095267403,0.40407974866147756,0.16551964269485822,log10,matched_tow
71,-0.07172117800219653,0.2854539084235554,0.34440744055878353,0.34440744055878353,0.07647125999357365,0.005847853605004738,228.54983689433914,-0.07641318378917528,0.29522777398112976,tow,Winter,ZC5-CSM,-0.34652520710034346,-0.41824638510254,0.3319579096818797,0.08800244434933395,log10,matched_tow
262,-0.15761414528651282,0.3511292663572399,0.45988104013138026,0.45988104013138026,0.19103038110373435,0.03649260650463799,377.5659940708691,-0.13610908857019632,0.37281503858583986,tow,Spring,ZC5-CSM,-0.05764883266721066,-0.21526297795372348,0.43145498176365565,0.1677918114656893,log10,matched_tow
225,-0.1631290373017353,0.3182825388992679,0.37841573554567287,0.37841573554567287,0.02986640048942957,0.0008920018781949989,157.06621008739512,-0.30377863593297305,0.38897700717111894,tow,Summer,ZC5-CSM,0.10128857278980086,-0.06184046451193445,0.33141125786801784,0.09267448235976128,log10,matched_tow
157,-0.08293794578993702,0.34849093913375745,0.42250886518133723,0.42250886518133723,-0.10841934160013492,0.011754753633006746,168.45210301203983,-0.1571663239911456,0.2010882232305119,tow,Fall,ZC5-CSM,-0.016045131597456484,-0.09898307738739351,0.3927696599523425,0.09590954709773318,log10,matched_tow
496,-0.48817682793673206,0.8971353942131848,1.0896163761059237,1.0896163761059237,-0.07120477284386509,0.005070119675746427,346.47254897481815,-0.5894551145091531,0.33328831469877984,tow,All,ZF1-ICT,-1.4578439196761663,-1.9460207476128986,0.8642700982253961,0.392080412142817,log10,matched_tow
57,0.1801971353114765,0.6736732784398658,0.8495022557257775,0.8495022557257775,-0.20284487378369223,0.04114604282032203,33.047280450007456,-0.6519958655473559,0.28617510242774324,tow,Winter,ZF1-ICT,-2.065426352867538,-1.8852292175560612,0.6609369901467939,0.38585492243090985,log10,matched_tow
257,-0.863366946637624,1.009477218942286,1.1770023542721584,1.1770023542721584,-0.14509141405664427,0.021051518432956592,372.72415217367205,-2.361085309481899,0.34950994640172817,tow,Spring,ZF1-ICT,-1.0891793266097223,-1.9525462732473466,0.6420037483297742,0.39310175691846627,log10,matched_tow
146,-0.2923817068586849,0.7610169788671124,0.9473160207815566,0.9473160207815566,0.06845526718985524,0.004686123606034472,496.6010962695822,-0.2698952104062391,0.36433573905890704,tow,Summer,ZF1-ICT,-1.6542444322031804,-1.9466261390618653,0.8406417195310165,0.3870211824710137,log10,matched_tow
36,0.33794697549622627,1.000990402108372,1.2984616138324514,1.2984616138324514,-0.09812511602318008,0.009628538394562552,46.467281718518706,-0.27969441176384024,0.3192990663596721,tow,Fall,ZF1-ICT,-2.3311807779323854,-1.9932338024361596,1.1478257899221482,0.4040666632446884,log10,matched_tow
705,-0.18527632558595739,0.5126140116372497,0.6301218551052857,0.6301218551052857,0.386050873227543,0.14903527671974848,164.81402759659903,-0.042885793052700905,0.5853468788889817,tow,All,ZS2-CTH,-1.2163772272183935,-1.401653552804351,0.6170298399662676,0.43503476016479053,log10,matched_tow
70,-0.38542953960686543,0.5042554973025922,0.6026969858500894,0.6026969858500894,0.2090458547482628,0.043700169387431785,36.19725785851781,-0.6798645372788417,0.473473787446801,tow,Winter,ZS2-CTH,-1.699665613800491,-2.085095153407357,0.4650095674802933,0.18610875481779643,log10,matched_tow
261,-0.496076232039583,0.6301022189834615,0.7392315756832698,0.7392315756832698,0.569692393987746,0.3245494237674892,348.0918942787522,-0.23156484338571492,0.6164654890421999,tow,Spring,ZS2-CTH,-1.1621099648931998,-1.658186196932783,0.6661190710009891,0.40525894397616186,log10,matched_tow
220,-0.10202011997475786,0.4151004813755771,0.5065754991785998,0.5065754991785998,0.18196144489593008,0.0331099674286146,82.95833934846756,-0.008045348640192351,0.27354210630350007,tow,Summer,ZS2-CTH,-0.9537188817640676,-1.0557390017388255,0.5045499251024783,0.0835122647242529,log10,matched_tow
154,0.3135102674750555,0.4565987554270722,0.5998519796611231,0.5998519796611231,0.012873609354714332,0.00016572981781778836,29.59261261096679,-0.39476233392541427,0.4207514380897308,tow,Fall,ZS2-CTH,-1.4638993337513835,-1.1503890662763276,0.5079184528512062,0.06649964862666558,log10,matched_tow
714,-0.4854009689159915,0.5853377220839437,0.6825404279097603,0.6825404279097603,0.028611550442434578,0.0008186208187199783,1363.7242083265055,-1.1288323091367074,0.4345364770081789,tow,All,ZS3-CHA,-0.3315512095595633,-0.8169521784755548,0.4677972387365945,0.12105158042081503,log10,matched_tow
71,-0.03304712664920887,0.30667397969930466,0.3754589718645044,0.3754589718645044,0.043804513739345116,0.001918835423940475,59.91762644767845,-0.04411739710994733,0.2442361117557592,tow,Winter,ZS3-CHA,-0.7824737540427339,-0.8155208806919431,0.36744117445054625,0.08767335821338601,log10,matched_tow
261,-0.5232258447853191,0.6144451088241144,0.7017948579510668,0.7017948579510668,0.02905903050692912,0.0008444272540026373,1071.6806662212448,-1.2845326774336692,0.4318634545826312,tow,Spring,ZS3-CHA,-0.3027422979452376,-0.8259681427305567,0.46431369621875695,0.07133347070121375,log10,matched_tow
225,-0.5940140391071838,0.6489094475591008,0.7440734965638566,0.7440734965638566,0.10411637659473308,0.010840219875216281,2518.9889708073456,-1.8494066216449352,0.43316151727155405,tow,Summer,ZS3-CHA,-0.17901321654204272,-0.7730272556492264,0.44079699066146527,0.13861408041860876,log10,matched_tow
157,-0.4714321116295506,0.5718629420725709,0.6653352448780514,0.6653352448780514,-0.2632345040885727,0.0692924041427568,783.208668483707,-1.6554512097294274,0.3711157579301806,tow,Fall,ZS3-CHA,-0.39412874906259543,-0.8655608606921461,0.4082924666184296,0.14800571684163194,log10,matched_tow
663,0.1170248111488311,0.548576958877175,0.6841478334360953,0.6841478334360953,0.30952420236482137,0.09580523184957888,136.3932091753002,0.06422710245506236,0.3769001724283011,tow,All,ZS4-LAR,-1.4819962014724026,-1.3649713903235716,0.7072365950722322,0.173080474341984,log10,matched_tow
66,0.29502724175185524,0.4318491150034209,0.55914680248683,0.55914680248683,0.1050816344175419,0.011042149891861926,20.078860690591295,-0.4113170676559139,0.4275470440187964,tow,Winter,ZS4-LAR,-1.9802374401378815,-1.6852101983860261,0.47066678248850696,0.13022346425267423,log10,matched_tow
253,-0.027140869482423908,0.5072531836271803,0.6437597445893625,0.6437597445893625,0.3752998675292942,0.14084999056750575,128.8130361256037,0.10624966365556543,0.3129121421928056,tow,Spring,ZS4-LAR,-1.2805462879629352,-1.3076871574453592,0.6809507568061284,0.13183791411493714,log10,matched_tow
201,0.1826331298079863,0.6004617933770021,0.7324700605247487,0.7324700605247487,0.11085284522388177,0.012288353294229887,66.42954043446552,-0.05862980727207834,0.32360931365754997,tow,Summer,ZS4-LAR,-1.5497091532799168,-1.3670760234719304,0.7118980752323284,0.1297724262414158,log10,matched_tow
143,0.1977135155503539,0.6026336099222883,0.7337952070839516,0.7337952070839516,0.058803853458564724,0.0034578931815763543,301.8283714023754,-0.09830986434690003,0.3407506190874069,tow,Fall,ZS4-LAR,-1.5132731458966227,-1.3155596303462684,0.7001843970017616,0.14510545278659195,log10,matched_tow
