N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,assessment,season,group,obs_mean,mod_mean,obs_std,mod_std,scale,aggregation
715,-0.18949394526229493,0.3243446666894057,0.39719286080829674,0.39719286080829674,0.4183477799880571,0.17501486502093583,114.44141483073207,-0.0757728754549809,0.5408445600348765,tow,All,Total,0.6897559971908129,0.5002620519285179,0.38294917561454805,0.18970313532844235,log10,matched_tow
71,-0.01123350932088435,0.26059593972919315,0.315873256552742,0.315873256552742,0.20581467533044426,0.04235968058137618,274.4480568394429,0.01065530534955128,0.35628623025105854,tow,Winter,Total,0.2818214694608622,0.2705879601399779,0.3175696886568572,0.12077900640050544,log10,matched_tow
262,-0.24056068953881846,0.34465564430923823,0.4180975459449776,0.4180975459449776,0.4565433657301655,0.20843184479222768,113.99201182764233,-0.1857089736902211,0.5279568411476117,tow,Spring,Total,0.653406544622844,0.41284585508402555,0.38396228282202544,0.15988223259387374,log10,matched_tow
225,-0.22129810729937566,0.3253948488152474,0.3935046060587332,0.3935046060587332,0.14649292021592997,0.021460175673390824,83.65765041329678,-0.5550880788347328,0.4286115064552558,tow,Summer,Total,0.8400844914780742,0.6187863841786987,0.3155530078165357,0.13807502172794398,log10,matched_tow
157,-0.1393096617785231,0.31777391827835216,0.39965337406873597,0.39965337406873597,0.061268319899662214,0.003753807023327345,86.9485422072543,-0.30065213579999606,0.35843319543202223,tow,Fall,Total,0.7194566139233005,0.5801469521447775,0.3504313119965528,0.15553938155865935,log10,matched_tow
691,0.21706010933590927,0.6203512796125772,0.8433431820582998,0.8433431820582998,0.2552410353632105,0.06514798613328368,169.25738589116105,-0.036566734740778095,0.4419037502786668,tow,All,ZC1-EUP,-0.45488534724720586,-0.23782523791129653,0.8283344132259683,0.36200791346692834,log10,matched_tow
63,0.3771682529624186,0.6943900617727693,0.9396844009885236,0.9396844009885236,0.22790255947977692,0.05193957661743326,164.01251266937516,-0.15488358929618173,0.4715549443817276,tow,Winter,ZC1-EUP,-0.9364399214217924,-0.5592716684593738,0.8744055639953481,0.3252872735534083,log10,matched_tow
259,0.25488838431688854,0.552882354308756,0.776826090919991,0.776826090919991,0.45745911225452585,0.20926883938469887,158.18999762457665,0.09146108865679059,0.48003154425133987,tow,Spring,ZC1-EUP,-0.576310508580027,-0.3214221242631385,0.814989545033709,0.2575822263616952,log10,matched_tow
219,0.16629570566430482,0.6478038279596022,0.8550252625095365,0.8550252625095365,-0.057829487685761634,0.0033442496459976565,200.45322111671123,-0.36247815061619804,0.2564211949997861,tow,Summer,ZC1-EUP,-0.26561656089750196,-0.09932085523319718,0.732511037988669,0.368292338352993,log10,matched_tow
150,0.15861389690616037,0.6656706148765708,0.8922973014046623,0.8922973014046623,0.15214361549313365,0.023147679735322498,145.02400362197693,-0.11218351482648448,0.3798131078339285,tow,Fall,ZC1-EUP,-0.3193040755964425,-0.1606901786902821,0.8460993331817679,0.3965402611772431,log10,matched_tow
714,-0.00022957271848256835,0.3450072993576626,0.4687421800803295,0.4687421800803295,0.3557730434582373,0.1265744584515368,220.72803376273976,0.120521464972138,0.48226214155154934,tow,All,ZC2-AMP,-0.08788821341800851,-0.08811778613649107,0.49982895762193824,0.2167121777248758,log10,matched_tow
71,0.2397206286051299,0.3148626801638513,0.4366543214785828,0.4366543214785828,0.19076440665962985,0.03639105884820063,77.88819878532973,-0.42820879623893715,0.4503194625776715,tow,Winter,ZC2-AMP,-0.47969047976555046,-0.2399698511604207,0.3653775933429209,0.13721745202276903,log10,matched_tow
