Label,Type,Count,Total,Proportion
Suchy,Categorical Agreement,10,14,0.7142857142857143
Allen,Categorical Agreement,23,39,0.5897435897435898
Suchy,Timing Window Overlap,5,14,0.35714285714285715
Allen,Timing Window Overlap,19,39,0.48717948717948717
