Group,Model,Level,Stratum,N,Bias,RMSE,MAE,R,WSS,Obs_STD,Model_STD,Centered_RMSE
Diatoms,Ecospace,Season,Spring,236,-0.12945292450817808,1.3929143879633925,1.0415788731321551,0.1871573382797218,0.4659955308375612,1.1746983120525138,0.9891854766824576,1.3868858758137643
Diatoms,Ecospace,Season,Summer,104,0.309537655273111,0.972719410801819,0.7542428181802854,0.2666231834935041,0.498894776493198,0.6361705788358479,0.8584042166016509,0.9221548091934796
Diatoms,Ecospace,Season,Fall,75,0.4411886388812198,1.330072415151096,0.9944629583633823,0.21549670606754437,0.4453779079118626,0.9018818101091022,1.0881239688099877,1.2547689884867284
Diatoms,Ecospace,Season,Winter,49,-0.7304851797939425,0.7895787366631873,0.7304851797939425,0.5879809921116211,0.4431538566720453,0.37049265858977515,0.2219156799932695,0.29970983215778313
Diatoms,Ecospace,sdomain,SGS,240,0.0012063266015285069,1.2880629152124958,0.9529091500373197,0.16857005768852612,0.4370951537420963,0.9998246301464255,0.9979144919948469,1.2880623503238668
Diatoms,Ecospace,sdomain,SGI,77,-1.3265002372144727e-16,1.2439005158156646,0.9581246287878239,0.21617622381592977,0.4979901883722039,0.9934852726704042,0.9934852726704039,1.2439005158156646
Diatoms,Ecospace,sdomain,SGN,147,-0.009204886487789237,1.1728106935147653,0.899037893955619,0.31314998575864933,0.5553355629709489,1.0046137050083257,0.9965928350693501,1.1727745703618113
Diatoms,Ecospace,sdomain_Season,SGS_Spring,119,-0.05216637785502297,1.4606297210271406,1.0992705977459545,0.10281226639630922,0.41231495667083695,1.1427709219631803,1.0332400563132071,1.4596978629049608
Diatoms,Ecospace,sdomain_Season,SGI_Spring,41,-0.23667163047254022,1.4558807458053131,1.1022039001305763,0.12963814036413013,0.4374689386343148,1.2210571861838175,0.9313752197819561,1.436514979154796
Diatoms,Ecospace,sdomain_Season,SGN_Spring,76,-0.19262571539221246,1.2413239691219078,0.9185401713429788,0.3589904354602223,0.5636937988612611,1.1964783956747238,0.9361909592429172,1.2262872950847228
Diatoms,Ecospace,sdomain_Season,SGN_Summer,29,0.35836412080776897,1.045347101427975,0.8314019709415175,0.145408444146881,0.47079752456921375,0.5878212932439232,0.876737525219802,0.982000875448461
Diatoms,Ecospace,sdomain_Season,SGS_Summer,59,0.21124085531718192,0.9225077608666221,0.6877908748196134,0.2683580879144891,0.4662034423110203,0.6756658995444005,0.7999887794619257,0.8979965867997575
Diatoms,Ecospace,sdomain_Season,SGI_Summer,16,0.5835091363290317,1.0155988858034808,0.8594333949430308,0.3059892366635634,0.5006535281876345,0.5074784569898019,0.8316974588093302,0.8312389455901467
Diatoms,Ecospace,sdomain_Season,SGN_Fall,27,0.4633809828549544,1.3160091089224086,1.0600537128777647,0.29452958982541566,0.5348344971232228,0.9076334738076404,1.1418660097081141,1.231729694167973
Diatoms,Ecospace,sdomain_Season,SGS_Fall,37,0.37805391497300217,1.4212480665615377,1.009498521465695,0.11432990325649393,0.3690176656415941,0.991391150931127,1.0657174973545613,1.3700442708461995
Diatoms,Ecospace,sdomain_Season,SGI_Fall,11,0.5990787750006036,1.0082921397165685,0.7828933032112098,0.8310237667003548,0.42166302224538466,0.22056609851066106,0.9849848611260041,0.8110226016320334
Diatoms,Ecospace,sdomain_Season,SGN_Winter,15,-0.6411606656270626,0.6652559960750098,0.6411606656270626,0.41869057476779536,0.2579804567370988,0.15843107892795463,0.17015209890107222,0.17742192977874896
Diatoms,Ecospace,sdomain_Season,SGS_Winter,25,-0.7981555187440094,0.8799540208081077,0.7981555187440094,0.5829975345440108,0.4740495800483141,0.4408475141190604,0.16227123206757704,0.37049540703608863
Diatoms,Ecospace,sdomain_Season,SGI_Winter,9,-0.6913862063218895,0.7111676169844382,0.6913862063218895,0.8970325915043277,0.28611945697537555,0.1418082763853637,0.28153239401511243,0.16656678286846444
Diatoms,Ecospace,All,All,464,-0.0022922412270219507,1.245269458520121,0.9367076785282222,0.22238160891849607,0.4859936085282024,1.0003078779640928,0.996761999054248,1.2452673487862567
Diatoms,SalishSeaCast,Season,Spring,238,0.20856623629463128,1.4445331018760543,0.9720811362847024,0.2369120665455075,0.5103295400066019,1.1708367874296777,1.1429833436279333,1.4293970783143315
Diatoms,SalishSeaCast,Season,Summer,104,-0.04329990699434634,0.9333580999629736,0.4327042748942944,0.0443566385006168,0.272984637374423,0.6361705788358479,0.7103955888943684,0.9323531845930345
Diatoms,SalishSeaCast,Season,Fall,77,-0.4065850312497059,0.9703084581821892,0.4267248555191147,0.15702595574308137,0.3219531767862668,0.891118522720069,0.09900262763361431,0.8810148218864273
Diatoms,SalishSeaCast,Season,Winter,49,-0.2822148266221001,0.4266916340466252,0.28252187155385916,0.6467490549559735,0.50642664421087,0.37049265858977515,0.08937779017690128,0.3200320955779858
Diatoms,SalishSeaCast,sdomain,SGS,241,-9.582007847387244e-17,1.1736757824128734,0.6490946892148413,0.3083727563008011,0.5407843983710157,0.9979231545598282,0.9979231545598282,1.1736757824128734
Diatoms,SalishSeaCast,sdomain,SGI,77,7.029009409152776e-17,1.243653801103086,0.748380090195545,0.2164871195469878,0.5064103952974057,0.9934852726704042,0.993485272670404,1.243653801103086
Diatoms,SalishSeaCast,sdomain,SGN,150,-5.033011044967376e-17,1.2043554166590622,0.7266723570669533,0.2698966595791827,0.5268411817437257,0.9966610925150702,0.9966610925150702,1.2043554166590624
