year,group,anom
1980,Total,-0.2534847681835006
1980,ZC2-AMP,-0.330831139563412
1981,Total,0.5870897624006827
1981,ZC2-AMP,0.6419498861188313
1982,Total,-0.8161796339806779
1982,ZC2-AMP,-0.7884864867691767
1983,Total,1.1019380436763697
1983,ZC2-AMP,0.8631962712302084
1984,Total,-0.16634884787762522
1984,ZC2-AMP,-0.1580902787308515
1985,Total,-0.2285921381573142
1985,ZC2-AMP,-0.515229470910638
1986,Total,-0.8853860758221329
1986,ZC2-AMP,-0.9199122594267499
1987,Total,0.191065627300457
1987,ZC2-AMP,0.48379628121758267
1988,Total,0.08099207081351358
1988,ZC2-AMP,0.47224938585347603
1989,Total,-0.9932201370776323
1989,ZC2-AMP,-1.0147612037349094
1990,Total,-0.09125412377553306
1990,ZC2-AMP,-0.11281297433134292
1991,Total,-1.070524571443965
1991,ZC2-AMP,-1.3879323852387302
1992,Total,2.214924226616859
1992,ZC2-AMP,2.103943562823353
1993,Total,-0.23708769883799505
1993,ZC2-AMP,-0.05256981772433446
1994,Total,1.0459832723206668
1994,ZC2-AMP,1.2863926095385272
1995,Total,0.20277453397676487
1995,ZC2-AMP,-0.04823668258284096
1996,Total,-0.7964096073523957
1996,ZC2-AMP,-0.8412981858402664
1997,Total,-1.0906253766704384
1997,ZC2-AMP,-1.0533686091055923
1998,Total,1.2505431256560315
1998,ZC2-AMP,1.0226097945611747
1999,Total,-0.8690513430790598
1999,ZC2-AMP,-0.7145503666552557
2000,Total,0.24848182367908717
2000,ZC2-AMP,0.24386826066730555
2001,Total,0.38774363845228793
2001,ZC2-AMP,0.28910981518818174
2002,Total,-0.8235874684667087
2002,ZC2-AMP,-0.8674282120207898
2003,Total,1.0453493415819552
2003,ZC2-AMP,1.5810828292840324
2004,Total,1.4220251915326392
2004,ZC2-AMP,1.2388334009686968
2005,Total,0.8677999882792607
2005,ZC2-AMP,0.7137256344522608
2006,Total,-0.28218966494725056
2006,ZC2-AMP,-0.3822798206556907
2007,Total,-0.8819956744539336
2007,ZC2-AMP,-0.36454146878748883
2008,Total,-0.9121880642328445
2008,ZC2-AMP,-0.9902902239446163
2009,Total,-0.7024548223008756
2009,ZC2-AMP,-0.7243791174609454
2010,Total,0.56800323751372
2010,ZC2-AMP,0.2541711283958489
2011,Total,-1.6732464608507853
2011,ZC2-AMP,-1.414053571030319
2012,Total,-1.1703217982775989
2012,ZC2-AMP,-1.239047613040908
2013,Total,0.08086433340262641
2013,ZC2-AMP,-0.12097743282860061
2014,Total,0.4156768682846289
2014,ZC2-AMP,0.4817714778371184
2015,Total,2.0299033839659866
2015,ZC2-AMP,1.9482104721048017
2016,Total,1.968572159241226
2016,ZC2-AMP,2.091308616138714
2017,Total,-1.6751117118838477
2017,ZC2-AMP,-1.6880872796250628
2018,Total,-0.09047064102267999
2018,ZC2-AMP,0.01294517362843349
