Domain,Group,Season,ModelMean,ObsMean,Bias
NSoG,Diatoms,Winter,0.8961932616887379,0.77,0.1261932616887379
NSoG,Diatoms,Spring,2.2696673390007387,6.0,-3.7303326609992613
NSoG,Diatoms,Summer,1.245671816296775,1.16,0.08567181629677512
NSoG,Nano,Winter,0.9970690108824068,1.38,-0.38293098911759305
NSoG,Nano,Spring,1.9064341019317645,1.85,0.05643410193176446
NSoG,Nano,Summer,2.0714859170558304,1.9,0.1714859170558305
NSoG,Other,Winter,0.21846252014355602,0.12,0.09846252014355603
NSoG,Other,Spring,0.4487506626147784,0.26,0.1887506626147784
NSoG,Other,Summer,0.4930545636442964,0.34,0.15305456364429637
CSoG,Diatoms,Winter,0.7744410574950429,0.65,0.12444105749504286
CSoG,Diatoms,Spring,2.220151830159648,8.06,-5.839848169840352
CSoG,Diatoms,Summer,1.2518119987744545,1.34,-0.0881880012255456
CSoG,Nano,Winter,0.8814006726034684,1.57,-0.6885993273965316
CSoG,Nano,Spring,1.892226614653424,1.58,0.31222661465342383
CSoG,Nano,Summer,2.0183795960914344,1.53,0.48837959609143433
CSoG,Other,Winter,0.1846307519978271,0.12,0.06463075199782711
CSoG,Other,Spring,0.4188917797039754,0.19,0.2288917797039754
CSoG,Other,Summer,0.4722233856764761,0.74,-0.2677766143235239
