obs_std,mod_std,R,RMSE,Bias,WSS,Group
0.386577627737443,0.38517190648896166,0.4056952360295495,0.492595406784393,-0.25625314939138716,0.5774081056465361,TOT
0.7874167198671603,0.4447816148693802,0.28085265648851204,0.8110862054979301,0.19165138977378793,0.4899298998510605,ZC1-EUP
0.3630903306215132,0.1730821003935157,0.2262534077844994,0.5120398708311225,-0.3589294690353057,0.47468198988347976,ZC5-CSM
0.6000382373803621,0.20655561267179842,0.04944218803701716,0.902570365095901,-0.6512894987929496,0.4453477887767555,ZS2-CTH
0.7319461198048824,0.2879500736485091,0.2619192225442148,0.7156625417168688,0.0626000043633148,0.44426006905793136,ZS4-LAR
0.4844071303986021,0.24264347773549527,0.2790581015401239,0.4947437961694086,-0.12978940499114872,0.42567801478399003,ZC2-AMP
0.4526495800950777,0.11368226430511127,-0.14837781829121557,0.72524210755701,-0.5411933992869019,0.40704684229787247,ZS3-CHA
0.5986863318412918,0.24422940585311093,0.135816181167158,0.6166268330227818,-0.04327287045248739,0.37140617008290744,ZC4-CLG
0.852760979358316,0.5708214882074851,-0.07846582935577573,1.149140396905326,-0.43714402149494686,0.2701884936439499,ZF1-ICT
0.6441503642299071,0.586863447734653,-0.05554899713072913,0.9068210191511751,-0.1448715860496851,0.13596191090732446,ZC3-DEC
