date,year,month,season,ZC2-AMP,Total
1978-01-02,1978,1,Winter,0.8999329793548725,3.130888931482478
1978-01-05,1978,1,Winter,0.8869430760378844,3.0906597120586454
1978-01-08,1978,1,Winter,0.8769293490453269,3.0420978204876374
1978-01-11,1978,1,Winter,0.8723297152274434,2.9948926248177257
1978-01-14,1978,1,Winter,0.8741571135266728,2.965717934163112
1978-01-17,1978,1,Winter,0.8808433285112044,2.9707193291684764
1978-01-20,1978,1,Winter,0.8904225756849908,3.0040339116267614
1978-01-23,1978,1,Winter,0.90196802338669,3.043655962961316
1978-01-26,1978,1,Winter,0.9135728759786175,3.075777057271481
1978-01-29,1978,1,Winter,0.9210892435093099,3.1118685044396623
1978-02-01,1978,2,Winter,0.9209898456451308,3.1466513174841735
1978-02-04,1978,2,Winter,0.9128918542932913,3.1531416066199514
1978-02-07,1978,2,Winter,0.8975122279916434,3.1237189000821566
1978-02-10,1978,2,Winter,0.8815512839084625,3.0785032850471428
1978-02-13,1978,2,Winter,0.8672421991175554,3.0286731117245096
1978-02-16,1978,2,Winter,0.8521685248166142,2.973241276070362
1978-02-19,1978,2,Winter,0.8361588080887788,2.908104356359865
1978-02-22,1978,2,Winter,0.8212290429266879,2.839746041229093
1978-02-25,1978,2,Winter,0.806685371580166,2.7702136536001607
1978-02-28,1978,2,Winter,0.792773817514238,2.697934564881996
1978-03-03,1978,3,Spring,0.7795237110789643,2.624007915998538
1978-03-06,1978,3,Spring,0.766091965403711,2.5488208409197286
1978-03-09,1978,3,Spring,0.7528410356464645,2.479772592619279
1978-03-12,1978,3,Spring,0.7394552556492325,2.418425640563557
1978-03-15,1978,3,Spring,0.7270036422254864,2.365100378691464
1978-03-18,1978,3,Spring,0.714293453552707,2.3172796714351507
1978-03-21,1978,3,Spring,0.7020298268935696,2.2727783313133925
1978-03-24,1978,3,Spring,0.6898878745435945,2.230516699640383
1978-03-27,1978,3,Spring,0.6784608922129268,2.194542230457569
1978-03-30,1978,3,Spring,0.6674832245233138,2.163166790661167
1978-04-02,1978,4,Spring,0.6575783821431646,2.1389787415637755
1978-04-05,1978,4,Spring,0.6488494480397656,2.124726073142871
1978-04-08,1978,4,Spring,0.6420787255962086,2.125021513158242
1978-04-11,1978,4,Spring,0.6357703356825966,2.1344361044073983
1978-04-14,1978,4,Spring,0.6305982726824132,2.1553271308280797
1978-04-17,1978,4,Spring,0.6278661798520573,2.1919440221436934
1978-04-20,1978,4,Spring,0.6270628045839263,2.2424036718882467
1978-04-23,1978,4,Spring,0.6270697648067792,2.2861820841694978
1978-04-26,1978,4,Spring,0.6309484269148596,2.3440948598805473
1978-04-29,1978,4,Spring,0.6360063353940428,2.4142264457757796
1978-05-02,1978,5,Spring,0.6427478241232899,2.4994951872039346
1978-05-05,1978,5,Spring,0.6517749347555409,2.5994005363478774
1978-05-08,1978,5,Spring,0.6648997420010543,2.716695735984512
1978-05-11,1978,5,Spring,0.6807300519913363,2.8432912820483542
1978-05-14,1978,5,Spring,0.7006296648746888,2.978730028918049
1978-05-17,1978,5,Spring,0.7231447543962468,3.1099014143378554
1978-05-20,1978,5,Spring,0.7478461032982278,3.232065097448044
1978-05-23,1978,5,Spring,0.7729108692718305,3.3411639583195942
1978-05-26,1978,5,Spring,0.7986488537217874,3.4299565182267826
1978-05-29,1978,5,Spring,0.8271116049324285,3.5121311951073704
1978-06-01,1978,6,Summer,0.8568397852471087,3.5773721542119343
1978-06-04,1978,6,Summer,0.8850954693254368,3.6330475816399077
1978-06-07,1978,6,Summer,0.9140154992717965,3.682695200807437
1978-06-10,1978,6,Summer,0.9419583309484807,3.7272012585419354
1978-06-13,1978,6,Summer,0.9700323192816893,3.7622004598469507
1978-06-16,1978,6,Summer,0.9983204910429795,3.7971842733895356
1978-06-19,1978,6,Summer,1.0245642466787452,3.8267264560053893
1978-06-22,1978,6,Summer,1.0499782892473648,3.8529806587456523
1978-06-25,1978,6,Summer,1.0741215992316078,3.874212772867832
1978-06-28,1978,6,Summer,1.0965493753980189,3.8814251892845735
1978-07-01,1978,7,Summer,1.1181642159305847,3.8745513483821266
1978-07-04,1978,7,Summer,1.1387909097361626,3.8609876281939846
1978-07-07,1978,7,Summer,1.1561294937119304,3.835623341896774
1978-07-10,1978,7,Summer,1.170200275574083,3.799964965646666
1978-07-13,1978,7,Summer,1.1822912113827044,3.7651499498379737
1978-07-16,1978,7,Summer,1.1912267864823232,3.7236278985140667
1978-07-19,1978,7,Summer,1.1981127783848495,3.6752121330316827
1978-07-22,1978,7,Summer,1.203098583808067,3.626795171554163
1978-07-25,1978,7,Summer,1.206297825560209,3.581781901301968
1978-07-28,1978,7,Summer,1.2078900554942766,3.5380614731125615
1978-07-31,1978,7,Summer,1.2069222221766596,3.4899807467311694
1978-08-03,1978,8,Summer,1.2053230486805682,3.445350066245935
1978-08-06,1978,8,Summer,1.2025114907074,3.402544501200798
1978-08-09,1978,8,Summer,1.1991877417370929,3.3644758789208615
1978-08-12,1978,8,Summer,1.1944063396904876,3.329445607549355
1978-08-15,1978,8,Summer,1.1903762661796493,3.2999111153270233
1978-08-18,1978,8,Summer,1.1858838982619844,3.2733115451968073
1978-08-21,1978,8,Summer,1.1803255866599673,3.246222622105844
1978-08-24,1978,8,Summer,1.1738094712346159,3.225477448227013
1978-08-27,1978,8,Summer,1.167145900404531,3.2165097012983948
1978-08-30,1978,8,Summer,1.1604470180026183,3.220812612267861
1978-09-02,1978,9,Fall,1.155118291237972,3.2363573741445153
1978-09-05,1978,9,Fall,1.151203416947633,3.256873757507362
1978-09-08,1978,9,Fall,1.148684113879404,3.2811918094076225
1978-09-11,1978,9,Fall,1.1457090045179479,3.301731601692533
1978-09-14,1978,9,Fall,1.1435290603431105,3.3300492788081177
1978-09-17,1978,9,Fall,1.1427445863548977,3.3674407747653365
1978-09-20,1978,9,Fall,1.1436208861643495,3.415881638286448
1978-09-23,1978,9,Fall,1.1448117830323221,3.463928322299137
1978-09-26,1978,9,Fall,1.1473883888927512,3.50822539534619
1978-09-29,1978,9,Fall,1.1510422780027982,3.5529723403366535
1978-10-02,1978,10,Fall,1.1547640049015313,3.578313769358531
1978-10-05,1978,10,Fall,1.1584824015163473,3.596892696276571
1978-10-08,1978,10,Fall,1.162170656841307,3.621278309145833
1978-10-11,1978,10,Fall,1.1641405260400848,3.6531265261538284
1978-10-14,1978,10,Fall,1.1659976989721126,3.6943250919578325
1978-10-17,1978,10,Fall,1.168159764927709,3.7238509235237633
1978-10-20,1978,10,Fall,1.1697577846271607,3.75432339292224
1978-10-23,1978,10,Fall,1.1708079167966474,3.776973109582382
1978-10-26,1978,10,Fall,1.1710725149144288,3.7969395595119106
1978-10-29,1978,10,Fall,1.170150174870227,3.7971709629660895
1978-11-01,1978,11,Fall,1.1683189603947057,3.781940631798622
1978-11-04,1978,11,Fall,1.1654433734773828,3.74865545488189
1978-11-07,1978,11,Fall,1.161061838395975,3.697639095199183
1978-11-10,1978,11,Fall,1.1552469634393259,3.6323470946216636
1978-11-13,1978,11,Fall,1.146520637719239,3.5561355953347635
1978-11-16,1978,11,Fall,1.1337618779024405,3.48047930607217
1978-11-19,1978,11,Fall,1.1173933091984194,3.4035821723704243
1978-11-22,1978,11,Fall,1.1001225239410544,3.323415566648791
1978-11-25,1978,11,Fall,1.0821470485180888,3.239324615168192
1978-11-28,1978,11,Fall,1.0609985788308653,3.147725044461281
1978-12-01,1978,12,Winter,1.0399248211905994,3.0582920773274638
1978-12-04,1978,12,Winter,1.018165617752345,2.969168246227956
1978-12-07,1978,12,Winter,0.9982374735337253,2.887040587378676
1978-12-10,1978,12,Winter,0.9721448922095275,2.7921955084593444
1978-12-13,1978,12,Winter,0.9471080114675702,2.697661582252575
1978-12-16,1978,12,Winter,0.9226098410934572,2.6075148506462256
1978-12-19,1978,12,Winter,0.898080986013516,2.516236193182967
1978-12-22,1978,12,Winter,0.8737256047140495,2.4307962263169514
1978-12-26,1978,12,Winter,0.8512653800515166,2.3488204994811346
1979-01-02,1979,1,Winter,0.8291076111651386,2.2668906377597584
1979-01-05,1979,1,Winter,0.8071180250527358,2.1882640640025945
1979-01-08,1979,1,Winter,0.7845278143099671,2.1146115333891915
1979-01-11,1979,1,Winter,0.7603636140384025,2.0411040649319827
1979-01-14,1979,1,Winter,0.7377814403593649,1.973146052308052
1979-01-17,1979,1,Winter,0.716536140017311,1.9097323278783072
1979-01-20,1979,1,Winter,0.696051053272816,1.8508631261877548
1979-01-23,1979,1,Winter,0.6762186881711533,1.7947416732543715
1979-01-26,1979,1,Winter,0.6581269742520401,1.7449792080123243
1979-01-29,1979,1,Winter,0.6390669136347741,1.695128397242142
1979-02-01,1979,2,Winter,0.6178789585919311,1.6401046864081108
1979-02-04,1979,2,Winter,0.5986450943860473,1.5903826350973194
1979-02-07,1979,2,Winter,0.5802697898799674,1.5437174338004032
1979-02-10,1979,2,Winter,0.5629208388773415,1.4994143092793044
1979-02-13,1979,2,Winter,0.5474053666624779,1.460687176907323
1979-02-16,1979,2,Winter,0.532198088379398,1.4258577102901624
1979-02-19,1979,2,Winter,0.5169104813832341,1.3912975118019093
1979-02-22,1979,2,Winter,0.5027004505778105,1.3591090147049087
1979-02-25,1979,2,Winter,0.48933987702862025,1.3306156682988477
1979-02-28,1979,2,Winter,0.4769368667680576,1.3043707214008735
1979-03-03,1979,3,Spring,0.4656779817933554,1.2798966653085484
1979-03-06,1979,3,Spring,0.4549524801582967,1.2570710902582638
1979-03-09,1979,3,Spring,0.445000430799903,1.239691236816639
1979-03-12,1979,3,Spring,0.4354347498252318,1.2287828541567571
1979-03-15,1979,3,Spring,0.4270065485195394,1.2245818648747984
1979-03-18,1979,3,Spring,0.41927586037457387,1.225411342565867
1979-03-21,1979,3,Spring,0.412440092195355,1.228820765248835
1979-03-24,1979,3,Spring,0.4062221693859536,1.234723596161965
1979-03-27,1979,3,Spring,0.4009027155048303,1.2457121885686537
1979-03-30,1979,3,Spring,0.39630587372186515,1.2604054613282967
1979-04-02,1979,4,Spring,0.3927912940423967,1.2810016900636696
1979-04-05,1979,4,Spring,0.3904823298064736,1.3118356384287184
1979-04-08,1979,4,Spring,0.3898217625257402,1.3560962178845277
1979-04-11,1979,4,Spring,0.3899276284648067,1.4095433124272305
1979-04-14,1979,4,Spring,0.3913655131613951,1.4754736136043964
1979-04-17,1979,4,Spring,0.39491510178943595,1.5559990975269895
1979-04-20,1979,4,Spring,0.4003855112684327,1.6494750862348693
1979-04-23,1979,4,Spring,0.4070923653095146,1.7372848650600803
1979-04-26,1979,4,Spring,0.41720136956063936,1.8388848805563498
1979-04-29,1979,4,Spring,0.428723980677184,1.9524211380558447
1979-05-02,1979,5,Spring,0.4421543577665583,2.0796836124010425
1979-05-05,1979,5,Spring,0.4578315046121381,2.2205635083058817
1979-05-08,1979,5,Spring,0.4774837582570162,2.377610968102668
1979-05-11,1979,5,Spring,0.5000053252583485,2.5426607510583574
1979-05-14,1979,5,Spring,0.5266136983285046,2.7155376123902277
1979-05-17,1979,5,Spring,0.5560763563308978,2.8821311031811243
1979-05-20,1979,5,Spring,0.5880808580897631,3.0372018134169028
1979-05-23,1979,5,Spring,0.6207264420918143,3.1750024220210835
1979-05-26,1979,5,Spring,0.6544333363029956,3.289834593550108
1979-05-29,1979,5,Spring,0.690873003612303,3.396083843131285
1979-06-01,1979,6,Summer,0.7289161248073742,3.4836588217788766
1979-06-04,1979,6,Summer,0.7656426131391484,3.5591351321273743
1979-06-07,1979,6,Summer,0.802945471915868,3.625885843740554
1979-06-10,1979,6,Summer,0.8387179152456136,3.6851254791535917
1979-06-13,1979,6,Summer,0.8749399691382208,3.733398337722153
1979-06-16,1979,6,Summer,0.9112811507334658,3.7802134681731223
1979-06-19,1979,6,Summer,0.9449409469990411,3.8196111409988744
1979-06-22,1979,6,Summer,0.9780264118587868,3.855040855401093
1979-06-25,1979,6,Summer,1.0096078788814107,3.884234290031553
1979-06-28,1979,6,Summer,1.038579392704076,3.8974278318511346
1979-07-01,1979,7,Summer,1.06678374726065,3.895892105955724
1979-07-04,1979,7,Summer,1.0930553000801688,3.886208411415183
1979-07-07,1979,7,Summer,1.1154460640565322,3.8635433053625983
1979-07-10,1979,7,Summer,1.1342320182679826,3.8299175084529953
1979-07-13,1979,7,Summer,1.151132720617073,3.797110594373987
1979-07-16,1979,7,Summer,1.164558763051675,3.757148676204049
1979-07-19,1979,7,Summer,1.1752166012369938,3.709477034975183
1979-07-22,1979,7,Summer,1.183739653438271,3.661595480731326
1979-07-25,1979,7,Summer,1.190128620262433,3.6168588982102734
1979-07-28,1979,7,Summer,1.1944616670445296,3.5730575377156013
1979-07-31,1979,7,Summer,1.1958794157051302,3.5241577122758474
1979-08-03,1979,8,Summer,1.1963044027282992,3.4788699546249826
1979-08-06,1979,8,Summer,1.1952674611418408,3.43537051025105
1979-08-09,1979,8,Summer,1.1932849343826504,3.396362869832887
1979-08-12,1979,8,Summer,1.1898509568646822,3.3605684152699102
1979-08-15,1979,8,Summer,1.186746275002637,3.330019198753206
1979-08-18,1979,8,Summer,1.1832909509228409,3.302317850034442
1979-08-21,1979,8,Summer,1.1787054800996524,3.274485721411314
1979-08-24,1979,8,Summer,1.1730593738263815,3.2531545728857987
1979-08-27,1979,8,Summer,1.1671634454535884,3.2436872877039633
1979-08-30,1979,8,Summer,1.161144727967761,3.2474950742279334
1979-09-02,1979,9,Fall,1.1564392974262974,3.262585304483572
1979-09-05,1979,9,Fall,1.1530772345762967,3.2821719573808252
1979-09-08,1979,9,Fall,1.1510183199581532,3.3056737432546237
1979-09-11,1979,9,Fall,1.1484300087252461,3.3256724462291576
1979-09-14,1979,9,Fall,1.1465831283674568,3.3535792136793967
1979-09-17,1979,9,Fall,1.1460901390747558,3.3906410373577414
1979-09-20,1979,9,Fall,1.1472245621939676,3.4387840739585567
1979-09-23,1979,9,Fall,1.1486390415264491,3.486537348226589
1979-09-26,1979,9,Fall,1.1514129422623143,3.530543122751122
1979-09-29,1979,9,Fall,1.1552394941711701,3.575006452103505
1979-10-02,1979,10,Fall,1.1591092434113128,3.6000552122466782
1979-10-05,1979,10,Fall,1.1629547415423418,3.618350578889818
1979-10-08,1979,10,Fall,1.1667457781788664,3.6424750132319565
1979-10-11,1979,10,Fall,1.1688013907300165,3.674073899618177
1979-10-14,1979,10,Fall,1.170732123252199,3.7150604680622705
1979-10-17,1979,10,Fall,1.172959675842654,3.7443831028459216
1979-10-20,1979,10,Fall,1.1746105425883613,3.774669898180701
1979-10-23,1979,10,Fall,1.1757019422608874,3.7971348128382556
1979-10-26,1979,10,Fall,1.1759993801026958,3.8169537620332115
1979-10-29,1979,10,Fall,1.1750995657776786,3.8170337979453004
1979-11-01,1979,11,Fall,1.1732824462797506,3.801629015118945
1979-11-04,1979,11,Fall,1.170414178705755,3.768147759657438
1979-11-07,1979,11,Fall,1.1660299712536293,3.716889071819559
1979-11-10,1979,11,Fall,1.1602046879637593,3.651323670136194
1979-11-13,1979,11,Fall,1.1514583175372726,3.574831482907138
1979-11-16,1979,11,Fall,1.1386674641295453,3.4989109565010947
1979-11-19,1979,11,Fall,1.1222546150283221,3.4217479549264658
1979-11-22,1979,11,Fall,1.1049354214295926,3.341306901535025
1979-11-25,1979,11,Fall,1.0869117509913184,3.2569563517543614
1979-11-28,1979,11,Fall,1.0657034461417056,3.165067920659885
1979-12-01,1979,12,Winter,1.044570815750598,3.0753487434391147
1979-12-04,1979,12,Winter,1.0227513574346683,2.985939975917198
1979-12-07,1979,12,Winter,1.0027740151595375,2.903577753956821
1979-12-10,1979,12,Winter,0.9766073459295391,2.8084284573816953
1979-12-13,1979,12,Winter,0.9514954413795437,2.713566051054455
1979-12-16,1979,12,Winter,0.9269221829825317,2.6230880419395373
1979-12-19,1979,12,Winter,0.9023142026574379,2.5314542189093934
1979-12-22,1979,12,Winter,0.8778796994397791,2.445659326113832
1979-12-26,1979,12,Winter,0.855344891071745,2.363336351845296
1980-01-02,1980,1,Winter,0.8331094916009164,2.2810376475115817
1980-01-05,1980,1,Winter,0.8110416643717581,2.2020480905580664
1980-01-08,1980,1,Winter,0.7883713544535372,2.128047589110793
1980-01-11,1980,1,Winter,0.7641221934098882,2.0541969949373717
1980-01-14,1980,1,Winter,0.741460584511444,1.985917441107345
1980-01-17,1980,1,Winter,0.7201388475291639,1.9221972026178136
1980-01-20,1980,1,Winter,0.6995801443951533,1.8630383020724646
1980-01-23,1980,1,Winter,0.6796740988384874,1.8066316455101774
1980-01-26,1980,1,Winter,0.6615146586302564,1.7566086733587594
