Year,Bloom Date,Day of Year
1978,1978-01-02,2
1979,1979-04-02,92
1980,1980-04-01,92
1981,1981-03-18,77
1982,1982-03-27,86
1983,1983-03-18,77
1984,1984-03-29,89
1985,1985-04-08,98
1986,1986-04-08,98
1987,1987-03-30,89
1988,1988-04-10,101
1989,1989-04-08,98
1990,1990-03-27,86
1991,1991-04-11,101
1992,1992-03-11,71
1993,1993-03-30,89
1994,1994-03-27,86
1995,1995-03-30,89
1996,1996-04-10,101
1997,1997-04-05,95
1998,1998-03-06,65
1999,1999-04-11,101
2000,2000-03-26,86
2001,2001-03-27,86
2002,2002-04-11,101
2003,2003-03-24,83
2004,2004-03-14,74
2005,2005-03-15,74
2006,2006-04-05,95
2007,2007-04-11,101
2008,2008-04-13,104
2009,2009-03-30,89
2010,2010-03-21,80
2011,2011-04-08,98
2012,2012-03-26,86
2013,2013-03-18,77
2014,2014-03-18,77
2015,2015-02-22,53
2016,2016-03-17,77
2017,2017-03-24,83
2018,2018-03-21,80
