Group,Model,Level,Stratum,N,Bias,RMSE,MAE,R,WSS,Obs_STD,Model_STD,Centered_RMSE
Diatoms,Ecospace,Season,Spring,236,-0.08931203085803005,1.4510075617588682,1.0618121338019713,0.10608703130004755,0.4247912129752668,1.1746983120525138,0.9808097154460875,1.448256298251601
Diatoms,Ecospace,Season,Summer,104,0.5224967047650287,1.007650953282936,0.8173856257069947,0.21430808899314535,0.45095271742870235,0.6361705788358479,0.7331884703570893,0.8616017857233678
Diatoms,Ecospace,Season,Fall,75,0.1481258112103833,1.2834269592888339,0.9966971065479521,0.2020772831422593,0.458502380016909,0.9018818101091022,1.1015254665663672,1.274850384901165
Diatoms,Ecospace,Season,Winter,49,-0.9272459955751983,0.9813310085469229,0.9272459955751983,0.5020566261913905,0.3738654100173322,0.37049265858977515,0.16235057943632691,0.32128711773969465
Diatoms,Ecospace,sdomain,SGS,240,0.0012063266015288842,1.3488793061963582,1.0056170430139992,0.08820373407013835,0.38971674303998505,0.9998246301464255,0.9979144919948469,1.3488787667766513
Diatoms,Ecospace,sdomain,SGI,77,3.835315903250541e-16,1.2134878363781756,0.9262977543376099,0.25403578857954273,0.5275032181074562,0.9934852726704042,0.9934852726704041,1.2134878363781758
Diatoms,Ecospace,sdomain,SGN,147,-0.009204886487789237,1.2320632075446418,0.9735380137259729,0.24198731543857321,0.507181839365489,1.0046137050083257,0.9965928350693503,1.23202882167989
Diatoms,Ecospace,sdomain_Season,SGS_Spring,119,-0.06009546436472345,1.5283478116237008,1.1170469877122422,-0.0057954881594065415,0.34827907562828986,1.1427709219631803,1.0064684188280362,1.527165861476003
Diatoms,Ecospace,sdomain_Season,SGI_Spring,41,-0.1996984244061237,1.4257593145310397,1.069849408182748,0.1941857361308145,0.48681231778801937,1.2210571861838175,0.9842073028285041,1.4117047008003234
Diatoms,Ecospace,sdomain_Season,SGN_Spring,76,-0.0755084687163412,1.3355939115853925,0.9709900829475758,0.23607654246578436,0.5041224196602188,1.1964783956747238,0.9354022419308946,1.333457748792995
Diatoms,Ecospace,sdomain_Season,SGN_Summer,29,0.5114600489860349,1.01531397725703,0.8583638733938396,-0.019216518203635322,0.38185212516074774,0.5878212932439232,0.6397531324659675,0.8770810057826424
Diatoms,Ecospace,sdomain_Season,SGS_Summer,59,0.5024213433800852,0.9826328292679344,0.7672894449728209,0.3009606996554087,0.469918344675209,0.6756658995444005,0.7492118965606664,0.8444762109563868
Diatoms,Ecospace,sdomain_Season,SGI_Summer,16,0.6165285384714341,1.0820699228696653,0.9278422182318544,0.04389227249881909,0.36772562191223546,0.5074784569898019,0.7528424103864667,0.8892513026301625
Diatoms,Ecospace,sdomain_Season,SGN_Fall,27,0.11930431067523098,1.288887374280781,1.1390465513033912,0.26658462176761116,0.518080220285902,0.9076334738076404,1.1809732715584966,1.283353865866587
Diatoms,Ecospace,sdomain_Season,SGS_Fall,37,0.09912344387085391,1.3884862004719176,1.007564148468351,0.12106451169322704,0.40897545626253606,0.991391150931127,1.0945054340629263,1.3849434904631037
Diatoms,Ecospace,sdomain_Season,SGI_Fall,11,0.383695639029629,0.8176214783914831,0.6107411465978034,0.8092073651173404,0.4869573878517308,0.22056609851066106,0.8887580034572589,0.7219989878917553
Diatoms,Ecospace,sdomain_Season,SGN_Winter,15,-0.9112021666726224,0.9246671438054284,0.9112021666726224,0.45704507830547736,0.20065962193477915,0.15843107892795463,0.1421436418104754,0.15722575579213238
Diatoms,Ecospace,sdomain_Season,SGS_Winter,25,-1.0347819215551042,1.1028644551486588,1.0347819215551042,0.5708175065402717,0.4165789852529672,0.4408475141190604,0.1311682076285156,0.38149230824889996
Diatoms,Ecospace,sdomain_Season,SGI_Winter,9,-0.655274804913085,0.6628747833148424,0.655274804913085,0.9214455510493127,0.2936932289077304,0.1418082763853637,0.21423059183444026,0.1000895019510916
Diatoms,Ecospace,All,All,464,-0.002292241227021698,1.2908862189485513,0.9822911754850728,0.16436595510748708,0.45104060714490424,1.0003078779640928,0.9967619990542481,1.2908841837676392
Diatoms,SalishSeaCast,Season,Spring,238,0.20856623629463128,1.4445331018760543,0.9720811362847024,0.2369120665455075,0.5103295400066019,1.1708367874296777,1.1429833436279333,1.4293970783143315
Diatoms,SalishSeaCast,Season,Summer,104,-0.04329990699434634,0.9333580999629736,0.4327042748942944,0.0443566385006168,0.272984637374423,0.6361705788358479,0.7103955888943684,0.9323531845930345
Diatoms,SalishSeaCast,Season,Fall,77,-0.4065850312497059,0.9703084581821892,0.4267248555191147,0.15702595574308137,0.3219531767862668,0.891118522720069,0.09900262763361431,0.8810148218864273
Diatoms,SalishSeaCast,Season,Winter,49,-0.2822148266221001,0.4266916340466252,0.28252187155385916,0.6467490549559735,0.50642664421087,0.37049265858977515,0.08937779017690128,0.3200320955779858
Diatoms,SalishSeaCast,sdomain,SGS,241,-9.582007847387244e-17,1.1736757824128734,0.6490946892148413,0.3083727563008011,0.5407843983710157,0.9979231545598282,0.9979231545598282,1.1736757824128734
Diatoms,SalishSeaCast,sdomain,SGI,77,7.029009409152776e-17,1.243653801103086,0.748380090195545,0.2164871195469878,0.5064103952974057,0.9934852726704042,0.993485272670404,1.243653801103086
Diatoms,SalishSeaCast,sdomain,SGN,150,-5.033011044967376e-17,1.2043554166590622,0.7266723570669533,0.2698966595791827,0.5268411817437257,0.9966610925150702,0.9966610925150702,1.2043554166590624
