timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
20,0.004435429,0.0001714244,0.2556517,0.02765465,0.4825163,0.4508869,0.07084909,0.4618603,0.2457911,0.002592413,0.01949907,0.2239283,0.01254025,0.4867782,0.1733204,0.118091,0.5861127,0.7468855,0.03791432,0.2340864,3.093792,5.595035,1978-02-28,Winter
21,0.004409294,0.0001701167,0.2526387,0.02736429,0.4702555,0.4429217,0.06912323,0.4444886,0.2297229,0.002548014,0.01853523,0.2200236,0.01204779,0.4686108,0.1547357,0.1172933,0.710224,0.7881507,0.04549478,0.2257408,2.999454,5.340834,1978-03-03,Spring
22,0.004380729,0.0001686978,0.2495027,0.02707022,0.4591981,0.4347717,0.06756579,0.4303578,0.215796,0.00250242,0.01760654,0.216074,0.0120455,0.4691642,0.1531711,0.1169481,1.105654,0.8176708,0.06321673,0.2167929,2.920852,5.173624,1978-03-06,Spring
23,0.004349906,0.000167179,0.2462926,0.02677813,0.4496707,0.4266309,0.06621214,0.4198988,0.2040836,0.002455724,0.01674287,0.2121689,0.01247983,0.4841045,0.1592159,0.1169888,1.373648,0.8356301,0.07239566,0.2078977,2.86622,5.098878,1978-03-09,Spring
24,0.00431697,0.0001655693,0.2430358,0.02648051,0.4398879,0.4185924,0.06483776,0.4083748,0.1931193,0.002408352,0.01594544,0.2083402,0.0127329,0.4812195,0.1566599,0.1161442,0.8124135,0.8480268,0.06928055,0.1997632,2.815295,5.002989,1978-03-12,Spring
25,0.004281897,0.0001638674,0.2397144,0.02617134,0.4290008,0.4105481,0.06334041,0.3939437,0.1822906,0.002361136,0.01518094,0.2045274,0.01265985,0.4588315,0.1489384,0.1148073,0.5460123,0.8653543,0.0771483,0.1923153,2.754389,4.842516,1978-03-15,Spring
26,0.004244672,0.0001620729,0.2363182,0.02585296,0.4175503,0.4024359,0.06178892,0.3782248,0.1715864,0.002312933,0.0144326,0.2006977,0.01241796,0.4321547,0.1280097,0.114308,0.3687257,0.8874562,0.06615661,0.1860288,2.696676,4.658564,1978-03-18,Spring
27,0.004205341,0.000160189,0.2328543,0.02553368,0.4069542,0.3942718,0.06035833,0.3648295,0.1620721,0.002264324,0.01370343,0.1968615,0.01248408,0.4235924,0.1233319,0.113514,0.862386,0.9041196,0.0791568,0.1802804,2.645766,4.5265,1978-03-21,Spring
28,0.004164075,0.000158226,0.2293568,0.02521491,0.3970008,0.3861856,0.0590194,0.3528652,0.1536641,0.002215725,0.01301659,0.1930847,0.01273109,0.4201981,0.1210307,0.1134024,0.6271049,0.9191601,0.08743578,0.1745378,2.60398,4.430001,1978-03-24,Spring
29,0.004120975,0.0001561898,0.2258352,0.02489731,0.3876584,0.3781986,0.05776725,0.3422445,0.1461308,0.002166845,0.01236905,0.1893726,0.0131066,0.4221706,0.1207352,0.1133381,0.9680689,0.9301855,0.08908918,0.1692684,2.571007,4.363883,1978-03-27,Spring
