year,biweekly,ewe_row,ewe_col,date_rep,avg_nitrogen_mmol_m2_obs,avg_nitrogen_mmol_L_obs,n_casts,mean_n_depths,mean_max_depth,frac_pad_surface,frac_pad_deep,frac_extrap_surface,frac_extrap_deep,zmin_m,zmax_m,avg_nitrogen_primary_mmol_m2_obs,avg_nitrogen_gN_m2_obs,avg_nitrogen_umol_L_obs,model_time,model_t_idx,NK1-COH,NK2-CHI,NK3-FOR,ZF1-ICT,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS1-JEL,ZS2-CTH,ZS3-CHA,ZS4-LAR,PZ1-CIL,PZ2-DIN,PZ3-HNF,PP1-DIA,PP2-NAN,PP3-PIC,BA1-BAC,DE1-POC,N_FLUX_MULT
2000,9,143,42,2000-04-25 00:00:00,439.023896495,0.02206150233643216,1,4.0,19.235224,1.0,1.0,0.0,0.0,0.1,20.0,439.023896495,6.149276011036516,22.06150233643216,2000-04-25,2678,0.00348041439428926,0.000168460261193104,0.218756183981895,0.0139542017132044,0.863995969295502,0.555302619934082,0.168164238333702,0.555291652679443,0.8064284324646,0.00221601035445929,0.0148860458284616,0.107923850417137,0.0961879938840866,1.24902927875519,1.09499049186707,0.573736071586609,3.41466641426086,2.00256395339966,0.430523306131363,0.0862865000963211,,1.577698
2000,9,135,32,2000-04-25 00:00:00,236.92542700499996,0.011905800352010049,1,4.0,18.937725,1.0,1.0,0.0,0.0,0.1,20.0,236.92542700499996,3.318543378430933,11.905800352010049,2000-04-25,2678,0.0036070360802114,0.000177387351868674,0.217141062021255,0.0731196478009224,0.00546680064871907,0.588639080524445,0.168022349476814,0.557446241378784,0.805778026580811,0.00219604093581438,0.0166684705764055,0.107204847037792,0.0989593341946602,1.24824833869934,1.09283697605133,0.61160409450531,3.50038361549377,1.90589141845703,0.368899405002594,0.0739742517471313,,1.0
2000,9,139,59,2000-04-27 00:00:00,451.63735733,0.022695344589447237,1,4.0,18.93753,1.0,1.0,0.0,0.0,0.1,20.0,451.63735733,6.325948972914111,22.695344589447238,2000-04-28,2679,0.00271880114451051,0.000137407856527716,0.190912276506424,0.0231090243905783,0.768649756908417,0.565795958042145,0.172751545906067,0.560863971710205,0.787185490131378,0.00212362944148481,0.0177615862339735,0.100586928427219,0.098136842250824,1.28094244003296,1.08688735961914,0.587583303451538,3.4882640838623,2.122633934021,0.406147748231888,0.0809540450572968,,1.577698
2000,9,112,50,2000-04-27 00:00:00,368.49451263,0.018517312192462314,1,4.0,18.937084,1.0,1.0,0.0,0.0,0.1,20.0,368.49451263,5.161392090054621,18.517312192462313,2000-04-28,2679,0.00234958273358643,0.000114405011117924,0.149950310587883,0.0184810739010572,1.41759872436523,0.589195847511292,0.159125074744225,0.45841720700264,0.581055164337158,0.00205672578886151,0.018801948055625,0.0618503987789154,0.136640697717667,1.34035992622375,1.11012697219849,0.720051825046539,3.54917669296265,1.93687987327576,0.347594320774078,0.06232950091362,,1.0
2000,9,130,55,2000-04-27 00:00:00,464.57099926,0.02334527634472362,1,4.0,19.631393,1.0,1.0,0.0,0.0,0.1,20.0,464.57099926,6.507106615335042,23.34527634472362,2000-04-28,2679,0.00253721885383129,0.000127685882034712,0.174935236573219,0.0445355027914047,1.00481784343719,0.588104844093323,0.170831739902496,0.53288996219635,0.714496612548828,0.00209294562228024,0.0191730316728354,0.0916026011109352,0.102081783115864,1.18780136108398,1.03085708618164,0.60262006521225,3.05304503440857,1.71178424358368,0.323624908924103,0.0695507749915123,,1.0
2000,9,57,19,2000-04-28 00:00:00,328.922981425,0.016528793036432163,1,4.0,19.134531,1.0,1.0,0.0,0.0,0.1,20.0,328.922981425,4.607125523925547,16.528793036432162,2000-04-28,2679,0.0022965301759541,0.000116999493911862,0.153409495949745,0.0324186384677887,1.10580790042877,0.53449934720993,0.145642980933189,0.404672086238861,0.592203259468079,0.00188346649520099,0.0163948535919189,0.0256262086331844,0.116130128502846,1.10385513305664,0.949081361293793,0.630694627761841,3.35318732261658,1.80373072624207,0.332561314105988,0.0524601005017757,,0.925104
2000,9,64,23,2000-04-28 00:00:00,283.82400934,0.014262513032160805,1,4.0,18.440676,1.0,1.0,0.0,0.0,0.1,20.0,283.82400934,3.975437751622578,14.262513032160804,2000-04-28,2679,0.00246538943611085,0.000122259807540104,0.154173538088799,0.0191785059869289,1.50048899650574,0.569430589675903,0.147821754217148,0.413322925567627,0.586570560932159,0.0019383846083656,0.018062274903059,0.0272114723920822,0.122250683605671,1.13187253475189,0.957357883453369,0.677960574626923,3.37508630752563,1.80755984783173,0.313806802034378,0.0504857525229454,,0.745821
2000,9,71,30,2000-04-28 00:00:00,290.569428955,0.014601478841959798,1,4.0,18.639025,1.0,1.0,0.0,0.0,0.1,20.0,290.569428955,4.0699188205439985,14.601478841959798,2000-04-28,2679,0.00259905611164868,0.000124798287288286,0.151989504694939,0.0240684617310762,1.33717107772827,0.534661650657654,0.141215085983276,0.372006475925446,0.535296738147736,0.00193115102592856,0.0152039574459195,0.0278908554464579,0.128092929720879,1.10270726680756,0.984872102737427,0.677026808261871,3.03680634498596,1.73425245285034,0.274207979440689,0.0498906411230564,,0.788849
2000,9,101,50,2000-04-28 00:00:00,340.91197511999997,0.017131255031155777,1,4.0,18.441147,1.0,1.0,0.0,0.0,0.1,20.0,340.91197511999997,4.7750517619133035,17.131255031155778,2000-04-28,2679,0.00236218539066613,0.00011340274795657,0.1453617811203,0.00942308269441128,1.29286015033722,0.538873612880707,0.147065609693527,0.3966363966465,0.527407586574554,0.00196477794088423,0.0150880254805088,0.0476406887173653,0.145656988024712,1.28309237957001,1.172856092453,0.722027242183685,3.26118445396423,1.8629310131073,0.311872392892838,0.0588205344974995,,1.0
2000,9,20,9,2000-04-29 00:00:00,362.616278705,0.01822192355301508,1,4.0,19.233015,1.0,1.0,0.0,0.0,0.1,20.0,362.616278705,5.079057430937324,18.221923553015078,2000-04-28,2679,0.00193819880951196,0.000106921826954931,0.151384919881821,0.015075484290719,1.28353381156921,0.530411779880524,0.151698052883148,0.404555380344391,0.604277312755585,0.0017847140552476,0.0167901217937469,0.0245506856590509,0.111373372375965,1.09445321559906,0.957474827766418,0.597072005271912,3.74715304374695,1.98990058898926,0.397828102111816,0.0615856349468231,,1.577698
2000,9,38,18,2000-04-29 00:00:00,387.12280168999996,0.0194534071201005,1,5.0,19.629831,1.0,1.0,0.0,0.0,0.1,20.0,387.12280168999996,5.4223129464313224,19.4534071201005,2000-04-28,2679,0.00205359468236566,0.00010913705045823,0.151412084698677,0.00981280393898487,1.38403367996216,0.538346767425537,0.143001452088356,0.406669735908508,0.579434812068939,0.00179714860860258,0.0164279732853174,0.0248867869377136,0.117672078311443,1.04546189308167,0.901351392269135,0.660120725631714,4.12859058380127,2.15520524978638,0.399411410093307,0.0491225942969322,,1.312358
2000,9,48,14,2000-04-29 00:00:00,467.288046635,0.023481811388693468,1,4.0,19.134386,1.0,1.0,0.0,0.0,0.1,20.0,467.288046635,6.5451634828024545,23.48181138869347,2000-04-28,2679,0.00210398994386196,0.000110931381641421,0.152280405163765,0.0321875810623169,0.841869533061981,0.51341187953949,0.145344436168671,0.407574057579041,0.626628816127777,0.0018231465946883,0.0153766144067049,0.0249623749405146,0.111975260078907,1.120197057724,0.990122973918915,0.591283679008484,3.30347537994385,1.78847515583038,0.346752017736435,0.0573322437703609,,1.018332
2000,15,11,5,2000-07-20 00:00:00,408.24043586,0.020514594766834173,1,4.0,19.82768,1.0,1.0,0.0,0.0,0.1,20.0,408.24043586,5.718101312960262,20.514594766834172,2000-07-21,2707,0.001888791564852,0.00010866633238038,0.191814422607422,0.0517500638961792,0.910295724868774,1.14765083789825,0.265675783157349,0.965599894523621,1.1313374042511,0.00282273930497468,0.145580723881721,0.0397644191980362,0.0643292516469955,1.14596855640411,0.674824178218842,0.958938896656036,1.99593663215637,2.40218424797058,0.337394595146179,0.057705145329237,,0.968133
2000,18,12,4,2000-09-01 00:00:00,443.70579807499996,0.022296773772613066,1,4.0,19.728548,1.0,1.0,0.0,0.0,0.1,20.0,443.70579807499996,6.214854001897102,22.296773772613065,2000-09-01,2721,0.00219127722084522,0.000133873647428118,0.217516779899597,0.059534315019846,0.692455649375916,1.14408946037292,0.268274009227753,0.665006041526794,0.801405668258667,0.00407110899686813,0.111922033131123,0.0349814742803574,0.067610003054142,0.705369353294373,0.495518147945404,1.04967951774597,2.0602593421936,1.48269581794739,0.175739482045174,0.0492201000452042,,1.577698
2001,1,101,50,2001-01-13 00:00:00,521.0851883,0.026185185341708547,1,4.0,19.928265,1.0,1.0,0.0,0.0,0.1,20.0,521.0851883,7.29868390696161,26.185185341708547,2001-01-14,2764,0.00390983046963811,0.000216127518797293,0.219465464353561,0.0109339822083712,0.880355596542358,0.900266230106354,0.161849394440651,0.329329282045364,0.379587411880493,0.004921137355268,0.0185865834355354,0.0532709024846554,0.0242260582745075,0.130410313606262,0.189040824770927,0.468712866306305,0.391518235206604,0.650856971740723,0.118008464574814,0.142211884260178,,1.0
2001,1,113,49,2001-01-13 00:00:00,514.366705735,0.025847573152512564,1,4.0,19.928509,1.0,1.0,0.0,0.0,0.1,20.0,514.366705735,7.204580137218424,25.847573152512563,2001-01-14,2764,0.00373024307191372,0.000211900551221333,0.225096166133881,0.0209346022456884,0.983283817768097,0.923021376132965,0.173801243305206,0.369698703289032,0.393445819616318,0.0051101166754961,0.020281421020627,0.0682820826768875,0.0258861184120178,0.151130244135857,0.205294996500015,0.502230703830719,0.584467709064484,0.738455533981323,0.129099726676941,0.130895957350731,,1.0
2001,11,139,29,2001-05-29 00:00:00,72.81393915000001,0.003658991917085428,1,3.0,19.929295,1.0,1.0,0.0,0.0,0.1,20.0,72.81393915000001,1.0198830014923053,3.658991917085428,2001-05-29,2809,0.00349676422774792,0.000168844446307048,0.228318780660629,0.0602730773389339,1.16750288009644,0.712182998657227,0.213427469134331,0.882980942726135,1.16215765476227,0.00222459365613759,0.0410876870155334,0.137616381049156,0.0943760797381401,1.34162735939026,0.993842542171478,0.80754154920578,3.84106492996216,2.2705979347229,0.352536916732788,0.0724466890096664,,1.0
2001,13,12,4,2001-06-28 00:00:00,321.699937335,0.01616582599673367,1,4.0,19.728548,1.0,1.0,0.0,0.0,0.1,20.0,321.699937335,4.5059545122701445,16.16582599673367,2001-06-28,2819,0.00186733494047076,9.93855865090154e-05,0.17661190032959,0.0506151989102364,0.923164427280426,0.87504255771637,0.256265759468079,0.97532457113266,1.24680197238922,0.00205310503952205,0.111383885145187,0.0365957096219063,0.0790176466107368,0.91827791929245,0.683872580528259,0.913302958011627,2.73648595809937,1.76853883266449,0.228647217154503,0.0699996575713158,,1.455785
2001,13,113,49,2001-06-28 00:00:00,169.73045003,0.00852916834321608,1,4.0,19.63108,1.0,1.0,0.0,0.0,0.1,20.0,169.73045003,2.3773634944352007,8.52916834321608,2001-06-28,2819,0.0025109532289207,0.000120341042929795,0.179193019866943,0.0192908123135567,3.14411759376526,1.14644002914429,0.271854400634766,1.05263590812683,0.993517994880676,0.00281916838139296,0.144014060497284,0.096848152577877,0.0831184983253479,1.16712689399719,0.757451593875885,1.01451671123505,2.39712452888489,2.04666495323181,0.262154817581177,0.0693689584732056,,1.0
2001,13,64,23,2001-06-29 00:00:00,156.13488063,0.007845973901005027,1,4.0,19.630339,1.0,1.0,0.0,0.0,0.1,20.0,156.13488063,2.186934432520221,7.845973901005027,2001-06-28,2819,0.00257343472912908,0.000120535070891492,0.176775634288788,0.0210045911371708,2.85572838783264,0.983396410942078,0.231608346104622,0.82636421918869,0.885581791400909,0.00234094355255365,0.117355480790138,0.0389190427958965,0.0721045732498169,1.00761044025421,0.591814637184143,0.883693814277649,1.42255318164825,1.82819271087646,0.238963916897774,0.0459443181753159,,0.717135
2001,19,143,42,2001-09-18 00:00:00,440.85017250500005,0.02215327500025126,1,4.0,19.730944,1.0,1.0,0.0,0.0,0.1,20.0,440.85017250500005,6.174856111225784,22.15327500025126,2001-09-17,2846,0.00420437706634402,0.00023818199406378,0.364177972078323,0.03105603531003,3.09319281578064,1.62461054325104,0.372997403144836,1.38568603992462,1.24754810333252,0.00629820488393307,0.146141707897186,0.200104534626007,0.0619065575301647,1.37334823608398,0.949837565422058,0.986598670482635,3.3121190071106,2.16602802276611,0.283483803272247,0.0928653478622437,,1.577698
2001,19,136,30,2001-09-18 00:00:00,220.2849617,0.011069596065326634,1,2.0,19.929207,1.0,1.0,0.0,0.0,0.1,20.0,220.2849617,3.08546537304339,11.069596065326634,2001-09-17,2846,0.0041941199451685,0.000237476226175204,0.346173226833344,0.0423475801944733,2.26245808601379,1.52598166465759,0.316063493490219,1.06359267234802,1.05376017093658,0.00587059510871768,0.120775014162064,0.167865291237831,0.0585224144160748,1.38928759098053,0.807470262050629,1.02936542034149,2.43340873718262,2.32134675979614,0.322236567735672,0.0537460260093212,,1.0
