date,group,obs_biomass,model_biomass
2005-02-23,ZF1-ICT,0.0135413459769222,0.0198781
2005-03-06,ZF1-ICT,0.0456182998738871,0.01881354
2005-03-22,ZF1-ICT,0.102071760045436,0.01784553
2005-04-09,ZF1-ICT,0.287383824003998,0.01713466
2005-05-13,ZF1-ICT,0.002219489987923,0.01781913
2005-06-23,ZF1-ICT,0.006658469998244,0.02166422
2005-09-24,ZF1-ICT,,0.02893849
2006-04-11,ZF1-ICT,0.0051613379991962,0.01615084
2006-04-11,ZF1-ICT,,0.01615084
2006-04-23,ZF1-ICT,0.496737780012491,0.0158541
2006-04-23,ZF1-ICT,0.0663999336061189,0.0158541
2006-04-23,ZF1-ICT,1.15855397287355,0.0158541
2006-09-07,ZF1-ICT,,0.02709677
2006-09-08,ZF1-ICT,0.0236297250053865,0.02709677
2006-09-08,ZF1-ICT,,0.02709677
2006-09-08,ZF1-ICT,,0.02709677
2007-02-02,ZF1-ICT,0.0034725599909947,0.02355313
2007-02-22,ZF1-ICT,0.0109644695956264,0.02108338
2007-04-29,ZF1-ICT,0.124471200107789,0.01651554
2007-04-29,ZF1-ICT,0.0890366398448713,0.01651554
2007-05-28,ZF1-ICT,0.0049582260174381,0.01753611
2007-06-30,ZF1-ICT,0.0153791820004439,0.02099877
2007-10-10,ZF1-ICT,,0.02982703
2008-02-17,ZF1-ICT,0.0202120799987988,0.02017759
2008-02-17,ZF1-ICT,0.091599899989184,0.02017759
2008-03-02,ZF1-ICT,0.001322143199208,0.01867388
2008-03-03,ZF1-ICT,0.0084674351995033,0.01867388
2008-03-09,ZF1-ICT,0.0044747640017509,0.01814496
2008-05-28,ZF1-ICT,0.0400982399955446,0.01668116
2008-06-18,ZF1-ICT,,0.01894479
2008-06-18,ZF1-ICT,,0.01894479
2008-06-18,ZF1-ICT,,0.01894479
2008-07-04,ZF1-ICT,,0.02063547
2008-07-04,ZF1-ICT,,0.02063547
2008-07-04,ZF1-ICT,,0.02063547
2008-07-04,ZF1-ICT,0.0028440300007186,0.02063547
2008-07-05,ZF1-ICT,,0.02104989
2008-07-05,ZF1-ICT,,0.02104989
2008-07-05,ZF1-ICT,0.0240294599961759,0.02104989
2008-07-05,ZF1-ICT,,0.02104989
2008-10-24,ZF1-ICT,0.0092924160000575,0.03045533
2008-10-24,ZF1-ICT,,0.03045533
2008-10-24,ZF1-ICT,,0.03045533
2008-10-25,ZF1-ICT,3.17016007627032e-05,0.03045533
2008-10-25,ZF1-ICT,,0.03045533
2008-10-25,ZF1-ICT,,0.03045533
2008-11-05,ZF1-ICT,,0.03051684
2008-11-05,ZF1-ICT,,0.03051684
2008-11-05,ZF1-ICT,0.0032556131985162,0.03051684
2008-11-20,ZF1-ICT,,0.02974667
2008-11-24,ZF1-ICT,,0.02951869
2008-11-24,ZF1-ICT,,0.02951869
2008-11-25,ZF1-ICT,0.0130653431971816,0.02951869
2009-02-25,ZF1-ICT,0.0191759400464278,0.01964003
2009-02-26,ZF1-ICT,0.0038467799960694,0.01964003
2009-02-26,ZF1-ICT,0.0048773339993908,0.01964003
2009-02-26,ZF1-ICT,0.0198506784012382,0.01964003
2009-02-27,ZF1-ICT,0.015583427989188,0.0193572
2009-02-27,ZF1-ICT,0.0073102848008181,0.0193572
2009-02-27,ZF1-ICT,0.0192672899987387,0.0193572
2009-02-28,ZF1-ICT,0.0276897599896124,0.0193572
2009-02-28,ZF1-ICT,0.0105594300057254,0.0193572
2009-04-14,ZF1-ICT,0.0306061349930278,0.01627851
2009-04-15,ZF1-ICT,1.08591940804773,0.01627851
2009-04-15,ZF1-ICT,0.320831280047877,0.01627851
2009-05-16,ZF1-ICT,0.0015592499990781,0.01646289
2009-05-16,ZF1-ICT,0.005954256,0.01646289
2009-05-17,ZF1-ICT,0.102498858014484,0.01646289
2009-06-04,ZF1-ICT,0.0647697960066994,0.01826783
2009-06-16,ZF1-ICT,0.0951690600005506,0.01965897
2009-07-03,ZF1-ICT,,0.02143875
2009-07-03,ZF1-ICT,,0.02143875
2009-07-03,ZF1-ICT,,0.02143875
2009-07-03,ZF1-ICT,,0.02143875
2009-07-04,ZF1-ICT,0.0046135320003076,0.02143875
2009-07-04,ZF1-ICT,0.0027197100007446,0.02143875
2009-07-04,ZF1-ICT,0.005527725000525,0.02143875
2009-07-04,ZF1-ICT,,0.02143875
2009-07-05,ZF1-ICT,,0.02143875
2009-07-05,ZF1-ICT,,0.02143875
2009-07-05,ZF1-ICT,,0.02143875
2009-07-05,ZF1-ICT,,0.02143875
2009-07-05,ZF1-ICT,,0.02143875
2009-09-13,ZF1-ICT,,0.02566978
2009-10-08,ZF1-ICT,,0.02666907
2009-10-09,ZF1-ICT,,0.02666907
2009-10-09,ZF1-ICT,,0.02666907
2009-10-09,ZF1-ICT,,0.02666907
2009-10-09,ZF1-ICT,,0.02666907
2009-10-09,ZF1-ICT,,0.02666907
2009-10-10,ZF1-ICT,,0.02682438
2009-10-10,ZF1-ICT,,0.02682438
2009-10-10,ZF1-ICT,,0.02682438
2009-10-10,ZF1-ICT,,0.02682438
2009-10-11,ZF1-ICT,,0.02682438
2009-10-11,ZF1-ICT,0.0118804140002768,0.02682438
2009-10-11,ZF1-ICT,0.002914715999419,0.02682438
2009-10-11,ZF1-ICT,,0.02682438
2009-10-11,ZF1-ICT,0.193288724952726,0.02682438
2010-02-09,ZF1-ICT,0.0092370599996673,0.01944748
2010-02-10,ZF1-ICT,0.0001864799995867,0.01944748
2010-02-10,ZF1-ICT,0.0025244100010382,0.01944748
2010-02-10,ZF1-ICT,0.0204205049961183,0.01944748
2010-02-10,ZF1-ICT,0.0001493100027474,0.01944748
2010-02-12,ZF1-ICT,0.0051253439953332,0.01915388
2010-02-13,ZF1-ICT,0.0002992499984256,0.01915388
2010-06-04,ZF1-ICT,0.0224242199993956,0.01787191
2010-06-16,ZF1-ICT,0.0078700020015166,0.01905086
2010-06-16,ZF1-ICT,,0.01905086
2010-06-28,ZF1-ICT,0.0503630400058598,0.0202283
2010-07-03,ZF1-ICT,0.0141523199848731,0.02096061
2010-07-03,ZF1-ICT,,0.02096061
2010-07-03,ZF1-ICT,0.0069455400003675,0.02096061
2010-07-07,ZF1-ICT,,0.02134985
2010-07-07,ZF1-ICT,0.161072100004716,0.02134985
2010-09-13,ZF1-ICT,,0.02624273
2010-10-10,ZF1-ICT,0.0028620899980545,0.02804415
2010-10-22,ZF1-ICT,,0.02879958
2010-10-22,ZF1-ICT,,0.02879958
2010-10-23,ZF1-ICT,,0.02879958
2011-02-20,ZF1-ICT,0.0077184071963213,0.01971934
2011-02-23,ZF1-ICT,0.0026252099993529,0.01941639
2011-02-23,ZF1-ICT,,0.01941639
2011-02-27,ZF1-ICT,0.0132117300038468,0.01883145
2011-06-02,ZF1-ICT,0.0674824248051043,0.01594436
2011-06-02,ZF1-ICT,6.0605999169534e-05,0.01594436
2011-06-25,ZF1-ICT,0.0044839199988374,0.01810361
2011-09-11,ZF1-ICT,0.0150401915990117,0.02411019
2011-09-11,ZF1-ICT,,0.02411019
2012-05-21,ZF1-ICT,0.0938037828117156,0.01496332
2012-05-21,ZF1-ICT,0.0478079279930331,0.01496332
2012-05-21,ZF1-ICT,0.101848529998956,0.01496332
2012-06-14,ZF1-ICT,0.0462205800036288,0.01732414
2012-06-14,ZF1-ICT,0.004051404000255,0.01732414
2012-06-15,ZF1-ICT,0.047965007990829,0.01732414
2012-06-15,ZF1-ICT,0.109578268815803,0.01732414
2012-06-15,ZF1-ICT,0.0469472640005914,0.01732414
2012-06-15,ZF1-ICT,0.018759908999467,0.01732414
2012-06-16,ZF1-ICT,0.0020863499996795,0.01732414
2012-06-17,ZF1-ICT,,0.01757512
2012-09-21,ZF1-ICT,,0.02475444
2012-09-22,ZF1-ICT,,0.02475444
2012-09-22,ZF1-ICT,,0.02475444
2012-09-22,ZF1-ICT,,0.02475444
2012-09-22,ZF1-ICT,,0.02475444
2012-09-22,ZF1-ICT,,0.02475444
2013-03-01,ZF1-ICT,0.0061525800045756,0.01800153
2013-03-04,ZF1-ICT,0.110935188023718,0.01774155
2013-03-04,ZF1-ICT,0.0508869900176091,0.01774155
2013-03-05,ZF1-ICT,0.0051659999822138,0.01748948
2013-03-05,ZF1-ICT,0.0339590999776003,0.01748948
2013-03-06,ZF1-ICT,0.0103093199981043,0.01748948
2013-03-06,ZF1-ICT,0.0821582999152261,0.01748948
2013-04-11,ZF1-ICT,0.231022155001212,0.0153736
2013-04-11,ZF1-ICT,0.19392913183131,0.0153736
2013-04-11,ZF1-ICT,0.051382232995448,0.0153736
2013-04-12,ZF1-ICT,0.104789495962632,0.0153736
2013-04-12,ZF1-ICT,0.293576858449251,0.0153736
2013-04-12,ZF1-ICT,0.267032026744928,0.0153736
2013-06-26,ZF1-ICT,0.0193384799999761,0.02019059
2013-06-29,ZF1-ICT,,0.02046452
2013-06-30,ZF1-ICT,0.0422365440005914,0.0207558
2013-06-30,ZF1-ICT,,0.0207558
2013-06-30,ZF1-ICT,,0.0207558
2013-06-30,ZF1-ICT,0.0059957729992219,0.0207558
2013-07-01,ZF1-ICT,,0.0207558
2013-09-15,ZF1-ICT,0.0469451429941395,0.02477586
2013-09-15,ZF1-ICT,,0.02477586
2013-09-15,ZF1-ICT,0.0516934908008715,0.02477586
2013-09-28,ZF1-ICT,,0.02536836
2013-09-28,ZF1-ICT,,0.02536836
2013-09-30,ZF1-ICT,,0.02536836
2013-09-30,ZF1-ICT,,0.02536836
2014-03-09,ZF1-ICT,0.0224495669466711,0.01781406
2014-03-09,ZF1-ICT,0.0127814400012862,0.01781406
2014-03-09,ZF1-ICT,0.130288157949317,0.01781406
2014-03-18,ZF1-ICT,0.00713285999985,0.01717512
2014-03-19,ZF1-ICT,0.0022302000174308,0.01717512
2014-03-19,ZF1-ICT,0.0002869020019425,0.01717512
2014-04-04,ZF1-ICT,0.202335839994179,0.01627003
2014-04-05,ZF1-ICT,0.034827739715477,0.01627003
2014-04-05,ZF1-ICT,0.0923729184336142,0.01627003
2014-04-05,ZF1-ICT,0.0626972808553418,0.01627003
2014-04-06,ZF1-ICT,1.27794757858622,0.01627003
2014-04-06,ZF1-ICT,0.0284443320169746,0.01627003
2014-06-07,ZF1-ICT,0.0722544732085513,0.01903328
2014-06-07,ZF1-ICT,0.0678394079988469,0.01903328
2014-06-16,ZF1-ICT,0.0028013999990329,0.02002283
2014-06-16,ZF1-ICT,0.0061407359998857,0.02002283
2014-06-16,ZF1-ICT,0.0205033499964279,0.02002283
2014-06-17,ZF1-ICT,0.0056692398003043,0.02002283
2014-06-17,ZF1-ICT,0.0484596461911311,0.02002283
2014-06-17,ZF1-ICT,0.0578067840052255,0.02002283
2014-06-22,ZF1-ICT,,0.02056382
2014-06-23,ZF1-ICT,0.0053589899996915,0.02056382
2014-06-23,ZF1-ICT,,0.02056382
2014-06-23,ZF1-ICT,,0.02056382
2014-06-23,ZF1-ICT,0.0038540249993495,0.02056382
2014-06-23,ZF1-ICT,,0.02056382
2014-06-23,ZF1-ICT,0.0206569440012613,0.02056382
2014-09-02,ZF1-ICT,0.0042743609998904,0.02490257
2014-09-02,ZF1-ICT,0.054443381997564,0.02490257
