Group,Model,Level,Stratum,N,Bias,RMSE,MAE,R,WSS,Obs_STD,Model_STD,Centered_RMSE
Diatoms,Ecospace,Season,Spring,236,-0.11037766957160719,1.3893919275266366,1.0352163815428088,0.1576937377178731,0.4435174757857808,1.1746983120525138,0.9419627158017518,1.3850006131175985
Diatoms,Ecospace,Season,Summer,104,0.4653911301099535,1.008605949583701,0.8048936715329151,0.22108776574178904,0.4576964726160957,0.6361705788358479,0.7854489914272059,0.894816773172374
Diatoms,Ecospace,Season,Fall,75,0.3478188868555756,1.2865884326796528,0.9950126795793934,0.22646531666245803,0.46224094021360806,0.9018818101091022,1.0775473126669857,1.23868148329247
Diatoms,Ecospace,Season,Winter,49,-1.0102359991029013,1.0631646431685635,1.0102359991029013,0.5486798787651238,0.372473471047285,0.37049265858977515,0.32075949032191436,0.33127373062212767
Diatoms,Ecospace,sdomain,SGS,240,0.0012063266015284253,1.307989700912411,0.9976993069263279,0.14264596388658374,0.42055849944544044,0.9998246301464255,0.9979144919948468,1.307989144629675
Diatoms,Ecospace,sdomain,SGI,77,5.767392335715099e-16,1.2503954120547567,0.9691028333389463,0.20796954697668388,0.4884973537220906,0.9934852726704042,0.9934852726704039,1.250395412054757
Diatoms,Ecospace,sdomain,SGN,147,-0.009204886487788935,1.1949975916226008,0.9393113672013957,0.28691406744539716,0.535131117933954,1.0046137050083257,0.99659283506935,1.1949621391695064
Diatoms,Ecospace,sdomain_Season,SGS_Spring,119,-0.04920560223281665,1.4422039722098303,1.0788878272961608,0.07470038856362436,0.39091731439810706,1.1427709219631803,0.9679145710784955,1.4413643211092464
Diatoms,Ecospace,sdomain_Season,SGI_Spring,41,-0.22714275338868856,1.4631665759267711,1.1101619528704612,0.12650447789011568,0.43018249164498645,1.2210571861838175,0.9432294194129315,1.445428171336188
Diatoms,Ecospace,sdomain_Season,SGN_Spring,76,-0.14316855874023524,1.2580650665669255,0.9264049280022472,0.31128574208534593,0.5311257296748513,1.1964783956747238,0.8914711759517471,1.2498921855521323
Diatoms,Ecospace,sdomain_Season,SGN_Summer,29,0.5013646318626315,1.0520716862954298,0.8625162335262012,0.09660698931485635,0.44852520869026724,0.5878212932439232,0.7731529871732156,0.9249261262510413
Diatoms,Ecospace,sdomain_Season,SGS_Summer,59,0.41313344308036454,0.9852952023419244,0.7664634831417191,0.23695293136319157,0.42042579740857067,0.6756658995444005,0.767748381455811,0.8944984035573103
Diatoms,Ecospace,sdomain_Season,SGI_Summer,16,0.592889379104834,1.013081880018618,0.8421640976126197,0.20637650450870262,0.4550388375314197,0.5074784569898019,0.7591408367523287,0.8214725070060118
Diatoms,Ecospace,sdomain_Season,SGN_Fall,27,0.3485771665620284,1.2570592477868185,1.0457614817606067,0.3097128989966784,0.5558643646397277,0.9076334738076404,1.1260400263173176,1.2077631851476307
Diatoms,Ecospace,sdomain_Season,SGS_Fall,37,0.26719765893391617,1.3883642013609685,1.0195306820672885,0.14173093042797458,0.39542912248176365,0.991391150931127,1.0855226603819668,1.3624098380006344
Diatoms,Ecospace,sdomain_Season,SGI_Fall,11,0.617138148767137,0.961218410468736,0.7879777931298602,0.7799216415278764,0.4216322512411248,0.22056609851066106,0.8959194903849155,0.7369405253887961
Diatoms,Ecospace,sdomain_Season,SGN_Winter,15,-0.9615643780425452,0.9955697832269794,0.9615643780425452,0.42729992814989415,0.1904484430632296,0.15843107892795463,0.2822568972079216,0.25797895292885376
Diatoms,Ecospace,sdomain_Season,SGS_Winter,25,-1.1246480588889762,1.1745541823370684,1.1246480588889762,0.6432925384725113,0.42777544975606463,0.4408475141190604,0.3122862432482722,0.33873923729434896
Diatoms,Ecospace,sdomain_Season,SGI_Winter,9,-0.7735440903532863,0.8184543553041178,0.7735440903532863,0.8887116855830364,0.2667148520324394,0.1418082763853637,0.3853916793907903,0.2673893640289121
Diatoms,Ecospace,All,All,464,-0.00229224122702179,1.2636396798358915,0.9744558681207386,0.19926925577409155,0.4692094073590338,1.0003078779640928,0.996761999054248,1.2636376007724335
Diatoms,SalishSeaCast,Season,Spring,238,0.20856623629463128,1.4445331018760543,0.9720811362847024,0.2369120665455075,0.5103295400066019,1.1708367874296777,1.1429833436279333,1.4293970783143315
Diatoms,SalishSeaCast,Season,Summer,104,-0.04329990699434634,0.9333580999629736,0.4327042748942944,0.0443566385006168,0.272984637374423,0.6361705788358479,0.7103955888943684,0.9323531845930345
Diatoms,SalishSeaCast,Season,Fall,77,-0.4065850312497059,0.9703084581821892,0.4267248555191147,0.15702595574308137,0.3219531767862668,0.891118522720069,0.09900262763361431,0.8810148218864273
Diatoms,SalishSeaCast,Season,Winter,49,-0.2822148266221001,0.4266916340466252,0.28252187155385916,0.6467490549559735,0.50642664421087,0.37049265858977515,0.08937779017690128,0.3200320955779858
Diatoms,SalishSeaCast,sdomain,SGS,241,-9.582007847387244e-17,1.1736757824128734,0.6490946892148413,0.3083727563008011,0.5407843983710157,0.9979231545598282,0.9979231545598282,1.1736757824128734
Diatoms,SalishSeaCast,sdomain,SGI,77,7.029009409152776e-17,1.243653801103086,0.748380090195545,0.2164871195469878,0.5064103952974057,0.9934852726704042,0.993485272670404,1.243653801103086
Diatoms,SalishSeaCast,sdomain,SGN,150,-5.033011044967376e-17,1.2043554166590622,0.7266723570669533,0.2698966595791827,0.5268411817437257,0.9966610925150702,0.9966610925150702,1.2043554166590624
