N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group
16,0.002097822369870002,1.0566696648157106,1.2677157679824687,1.2677157679824687,0.2643065795924459,0.06985796801585795,204.81553119402517,-0.5764530033508919,0.5498819063957461,ZS2-CTH
14,-0.08724164010705016,0.9615700426545006,1.187778548957057,1.187778548957057,0.2530563499264513,0.06403751623809857,205.77229288710333,-0.6336850518732169,0.5316754646968407,ZS4-LAR
16,0.4787710504684374,1.6755877620195236,2.4643115530376276,2.4643115530376276,-0.7238158097138376,0.5239093263916984,214.64627770687866,-2.274744980124268,0.10144371748016767,ZS3-CHA
16,0.4996465781632507,1.8252072574951983,2.470534824945958,2.470534824945958,-0.7568263285884854,0.572786091644726,278.2840732702209,-2.757039727474829,0.03530699692635808,Total
